date,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
1926-07-31,2.36,0.09,,-5.19,1.29,8.65,2.49,50.21,-0.49,8.08,,5.33,0.9,8.16,,0.5,2.48,-8.21,4.06,,5.44,3.18,14.56,-0.65,1.13,,,5.64,1.48,-1.35,7.04,0.83,,5.91,3.63,1.33,1.35,,7.7,1.93,-23.79,0.08,1.88,4.61,-0.54,2.9,-5.77,5.2
1926-08-31,2.23,2.71,,27.03,6.52,16.81,-0.76,42.98,-3.58,-2.5,,3.84,4.27,5.47,,7.83,4.61,7.37,2.18,,2.07,2.1,4.25,-6.59,1.72,,,0.55,0.94,3.64,-1.7,2.17,,1.51,3.69,-4.7,6.89,,-2.37,4.85,5.39,-0.76,-0.13,10.71,2.57,5.31,0.32,6.76
1926-09-30,-0.57,1.59,,4.02,1.26,8.33,6.48,-4.91,0.72,-0.5,,4.04,-0.26,5.42,,2.3,-0.12,-12.05,0.16,,0.36,-0.57,5.02,-7.09,2.88,,,1.76,0.3,-3.59,2.05,2.42,,0.83,4.2,-6.05,-0.63,,-5.54,0.1,-7.87,0.25,-0.56,-1.8,0.72,-3.06,-4.83,-3.58
1926-10-31,-0.46,-3.67,,-3.31,1.07,-1.4,-5.09,5.37,-4.66,0.12,,3.47,-1.77,-4.75,,0.99,-4.42,-8.59,-3.85,,0.95,-5.73,-8.11,-13.36,-5.45,,,-3.2,2.24,-1.04,-3.27,-0.11,,1.83,-2.47,-3.92,0.21,,-5.08,-2.63,-15.38,-2.19,-4.11,-11.93,-4.28,-5.75,-0.95,-8.47
1926-11-30,6.75,6.26,,7.29,4.56,0.0,1.83,-6.62,-0.53,1.87,,4.41,5.76,5.18,,3.19,2.2,2.25,4.21,,3.35,5.08,-0.65,6.56,7.89,,,8.46,-0.48,0.05,4.4,1.63,,0.78,3.28,1.31,4.25,,3.85,1.61,4.67,6.54,4.33,-2.02,3.58,2.21,5.13,4.16
1926-12-31,-3.28,0.18,,-4.09,2.55,2.48,2.16,-3.29,2.56,0.47,,-3.33,1.15,5.54,,5.88,3.63,0.76,3.39,,5.02,-2.49,10.5,9.17,2.38,,,1.85,1.43,2.94,-0.18,1.99,,5.16,4.37,-0.5,10.14,,-4.63,3.67,9.65,0.57,1.51,-2.45,3.26,7.95,-1.59,-2.44
1927-01-31,-3.66,-0.16,,0.59,-0.33,1.73,1.88,1.21,4.07,-0.92,,5.45,4.96,0.23,,-1.46,-1.83,-3.55,-0.38,,1.19,-1.02,-0.82,-2.29,-0.59,,,4.17,-3.07,1.67,-1.79,1.88,,5.86,0.73,1.48,-3.01,,-2.49,1.41,-17.93,-2.69,1.66,-5.37,-0.82,-1.56,-3.07,-4.13
1927-02-28,7.65,3.66,,12.83,1.49,-6.22,2.43,10.31,4.56,2.78,,5.19,0.69,9.69,,7.64,4.07,8.01,3.67,,7.87,4.3,9.62,-3.92,4.72,,,5.2,5.64,1.12,4.54,3.97,,5.86,6.82,5.82,3.68,,5.45,5.19,3.49,3.49,6.73,8.3,0.66,4.3,1.98,0.27
1927-03-31,-0.6,2.76,,-13.56,5.59,-8.89,1.89,-7.83,-0.08,0.91,,1.24,0.93,6.16,,-5.39,3.43,5.21,1.48,,-2.23,0.41,1.56,0.0,-1.79,,,4.56,5.38,-7.03,0.37,5.62,,-4.0,6.01,-12.3,6.26,,-9.66,0.95,-20.47,-0.3,-3.45,-8.09,7.34,-4.3,-1.41,2.28
1927-04-30,5.39,2.11,,2.86,4.44,-0.41,-4.05,3.77,1.43,5.95,,-0.37,3.68,2.94,,0.47,-0.73,-8.67,-0.34,,1.82,6.29,2.9,-11.48,-0.61,,,2.92,1.1,-5.79,1.71,-2.07,,0.76,4.73,8.82,1.43,,4.9,0.78,-10.75,4.38,7.06,-5.99,3.09,0.69,8.18,4.71
1927-05-31,4.12,6.62,,11.62,12.13,-5.03,0.61,-1.48,10.5,3.38,,5.91,3.6,3.85,,14.11,7.92,-10.44,3.22,,8.75,8.23,5.56,32.15,10.78,,,0.25,3.11,4.96,9.23,3.35,,16.71,5.58,-0.2,5.63,,5.39,7.03,-4.01,2.25,4.69,8.69,12.58,4.34,10.56,1.63
1927-06-30,-3.42,-1.95,,10.05,-2.69,-3.52,-8.13,-6.0,-3.03,1.19,,3.67,-0.4,-1.74,,1.47,-4.41,-13.86,-3.52,,-2.29,3.5,-3.39,14.49,-4.17,,,-1.96,-3.35,-3.13,-3.58,-2.16,,1.56,-1.96,2.01,5.41,,5.42,-2.06,-4.18,-0.7,1.32,-10.57,0.85,3.59,0.04,-3.82
1927-07-31,6.05,4.83,,4.52,4.39,2.64,0.93,-0.53,5.49,6.21,,11.44,9.34,17.72,,4.82,6.91,-0.8,10.35,,9.61,14.69,13.73,-2.78,12.21,,,8.74,2.19,2.92,5.5,3.73,1.77,2.37,4.8,14.15,6.89,,12.02,6.03,11.11,10.13,4.68,3.34,13.37,3.91,0.75,6.81
1927-08-31,1.99,2.4,,-3.98,3.83,7.57,6.03,0.66,0.5,1.19,,-2.28,1.09,2.1,,0.49,-1.11,-2.11,4.36,,0.89,7.06,7.37,30.33,3.62,,,1.17,2.43,-0.26,3.26,0.43,2.86,7.99,7.3,-11.41,0.75,,3.76,-1.66,-2.58,7.69,0.55,5.04,0.11,2.16,3.07,5.92
1927-09-30,7.38,5.78,,7.01,4.64,0.33,4.78,1.13,2.53,4.67,,8.74,4.7,5.97,,2.15,4.95,-0.99,2.96,,5.3,0.12,6.27,17.65,3.49,,,6.75,1.47,3.48,8.29,6.55,-1.39,7.19,4.94,9.7,3.01,,3.37,4.3,5.6,7.6,5.96,4.59,8.17,-0.51,6.46,0.43
