date,MOM
1927-01-31,0.57
1927-02-28,-1.51
1927-03-31,3.52
1927-04-30,4.35
1927-05-31,2.78
1927-06-30,0.54
1927-07-31,4.17
1927-08-31,1.36
1927-09-30,1.94
1927-10-31,-0.9
1927-11-30,-0.23
1927-12-31,3.11
1928-01-31,-0.45
1928-02-29,-1.07
1928-03-31,4.75
1928-04-30,-5.85
1928-05-31,2.64
1928-06-30,1.69
1928-07-31,2.54
1928-08-31,3.68
1928-09-30,3.49
1928-10-31,5.17
1928-11-30,1.87
1928-12-31,1.44
1929-01-31,2.43
1929-02-28,3.07
1929-03-31,-0.62
1929-04-30,2.07
1929-05-31,-2.19
1929-06-30,8.31
1929-07-31,2.96
1929-08-31,4.4
1929-09-30,2.96
1929-10-31,2.44
1929-11-30,-2.04
1929-12-31,5.42
1930-01-31,-5.46
1930-02-28,1.12
1930-03-31,-4.23
1930-04-30,4.13
1930-05-31,-0.76
1930-06-30,5.84
1930-07-31,-2.14
1930-08-31,3.87
1930-09-30,11.59
1930-10-31,6.27
1930-11-30,-1.34
1930-12-31,12.51
1931-01-31,-11.1
1931-02-28,-13.58
1931-03-31,9.71
1931-04-30,10.97
1931-05-31,9.22
1931-06-30,-17.54
1931-07-31,8.39
1931-08-31,-3.32
1931-09-30,9.3
1931-10-31,2.9
1931-11-30,8.03
1931-12-31,12.92
1932-01-31,-9.94
1932-02-29,1.48
1932-03-31,10.04
1932-04-30,7.63
1932-05-31,12.54
1932-06-30,1.92
1932-07-31,-45.63
1932-08-31,-52.61
1932-09-30,2.46
1932-10-31,4.62
1932-11-30,-0.96
1932-12-31,4.64
1933-01-31,-2.44
1933-02-28,4.6
1933-03-31,4.24
1933-04-30,-17.05
1933-05-31,-5.54
1933-06-30,4.25
1933-07-31,-0.35
1933-08-31,7.54
1933-09-30,1.64
1933-10-31,-2.13
1933-11-30,6.46
1933-12-31,4.01
1934-01-31,-3.48
1934-02-28,0.09
1934-03-31,-0.67
1934-04-30,-4.81
1934-05-31,-2.39
1934-06-30,-0.79
1934-07-31,8.8
1934-08-31,2.56
1934-09-30,-0.06
1934-10-31,6.88
1934-11-30,3.77
1934-12-31,4.53
1935-01-31,3.1
1935-02-28,14.46
1935-03-31,2.37
1935-04-30,-4.75
1935-05-31,-3.59
1935-06-30,2.66
1935-07-31,-4.79
1935-08-31,-6.46
1935-09-30,8.31
1935-10-31,1.82
1935-11-30,-7.14
1935-12-31,3.7
1936-01-31,-2.95
1936-02-29,2.53
1936-03-31,1.63
1936-04-30,-7.67
1936-05-31,2.5
1936-06-30,0.56
1936-07-31,2.49
1936-08-31,0.6
1936-09-30,1.41
1936-10-31,0.68
1936-11-30,2.04
1936-12-31,2.13
1937-01-31,-1.99
1937-02-28,2.72
1937-03-31,3.33
1937-04-30,-3.54
1937-05-31,0.57
1937-06-30,0.78
1937-07-31,-0.45
1937-08-31,-1.86
1937-09-30,-6.81
1937-10-31,-1.46
1937-11-30,-1.32
1937-12-31,4.85
1938-01-31,-1.74
1938-02-28,-2.84
1938-03-31,15.78
1938-04-30,-9.85
1938-05-31,6.98
1938-06-30,-24.87
1938-07-31,-6.77
1938-08-31,3.49
1938-09-30,2.42
1938-10-31,-7.53
1938-11-30,3.32
1938-12-31,2.31
1939-01-31,-2.99
1939-02-28,3.12
1939-03-31,-1.86
1939-04-30,2.73
1939-05-31,3.52
1939-06-30,2.24
1939-07-31,-0.69
1939-08-31,5.91
1939-09-30,-31.45
1939-10-31,6.58
1939-11-30,-0.29
1939-12-31,5.42
1940-01-31,1.74
1940-02-29,1.67
1940-03-31,-0.55
1940-04-30,3.36
1940-05-31,2.89
1940-06-30,-2.46
1940-07-31,1.06
1940-08-31,-1.78
1940-09-30,-0.06
1940-10-31,-5.76
1940-11-30,1.31
1940-12-31,3.54
1941-01-31,-4.75
1941-02-28,1.07
1941-03-31,2.46
1941-04-30,3.03
1941-05-31,2.61
1941-06-30,-0.68
1941-07-31,-1.51
1941-08-31,0.18
1941-09-30,-1.67
1941-10-31,4.82
1941-11-30,4.41
1941-12-31,0.4
1942-01-31,-3.63
1942-02-28,-0.72
1942-03-31,-0.26
1942-04-30,-0.83
1942-05-31,-4.77
1942-06-30,-1.38
1942-07-31,0.79
1942-08-31,-0.08
1942-09-30,-0.92
1942-10-31,-4.41
1942-11-30,-1.07
1942-12-31,3.09
1943-01-31,-0.3
1943-02-28,-1.63
1943-03-31,4.72
1943-04-30,5.86
1943-05-31,5.9
1943-06-30,-1.32
1943-07-31,-4.51
1943-08-31,0.9
1943-09-30,1.73
1943-10-31,-0.69
1943-11-30,-4.47
1943-12-31,5.92
1944-01-31,0.75
1944-02-29,0.34
1944-03-31,2.62
1944-04-30,0.51
1944-05-31,1.9
1944-06-30,-5.79
1944-07-31,0.14
1944-08-31,4.74
1944-09-30,-1.17
1944-10-31,-1.32
1944-11-30,1.36
1944-12-31,3.35
1945-01-31,0.03
1945-02-28,3.2
1945-03-31,-3.07
1945-04-30,4.71
1945-05-31,0.15
1945-06-30,4.15
1945-07-31,-2.68
1945-08-31,-1.3
1945-09-30,1.39
1945-10-31,0.17
1945-11-30,4.31
1945-12-31,1.25
1946-01-31,3.77
1946-02-28,-1.43
1946-03-31,2.7
1946-04-30,3.04
1946-05-31,-0.58
1946-06-30,-2.51
1946-07-31,0.22
1946-08-31,-0.05
1946-09-30,0.7
1946-10-31,0.91
1946-11-30,0.28
1946-12-31,0.09
1947-01-31,-6.32
1947-02-28,-0.49
1947-03-31,4.1
1947-04-30,5.41
1947-05-31,3.37
1947-06-30,-1.84
1947-07-31,-3.38
1947-08-31,3.4
