industry,quarter,industry_fe,industry_nn_predicted_fe,industry_linear_predicted_fe,n_firms,industry_sentiment
Computers,2023Q2,0.03406876197380003,,,1,
Computers,2023Q3,0.034226034423800296,,,1,
Computers,2023Q4,0.03028468430260298,,,1,
Computers,2024Q1,0.03688697318007663,,,1,
Computers,2024Q2,0.030188241591578194,,,1,
Computers,2024Q3,0.031157441309498164,,,1,
Computers,2024Q4,0.02439189473241686,,,1,
Computers,2025Q1,0.03317135944819066,,,1,
Computers,2025Q2,0.0301509380059042,,,1,
Computers,2025Q3,0.024942816730652656,,,1,
Computers,2025Q4,0.020724726881058628,,,1,
Computers,2026Q1,0.02464464692482916,,,1,
