analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Warren Lau,8,0.0249687857604345,-0.0249687857604345,-0.002990271864223669,28.75,Aletheia Capital,2859,1,-28.75,0.8165246491628725,0.6892059908507523,1.0533086289686668,0.853013089660764,0.4444444444444444,0.3791169287381173
Jay Goldberg,2,0.021775032324931012,-0.021775032324931012,-0.0008195007046817443,58.0,Seaport Research Partners,1321,1,-58.0,1.7832004288824803,2.692112534834752,0.5074752694769702,1.660929411064734,0.16666666666666666,0.276821568510789
Eui-Young Ko,3,0.023500104791699505,-0.023500104791699505,-0.0024560223723333234,44.333333333333336,iM Securities,2140,1,-44.333333333333336,1.2610606314427417,1.1821422447362615,0.762508520065683,1.0685704654148955,0.23076923076923078,0.24659318432651436
Ananda Baruah,3,0.023989151395994945,-0.023989151395994945,-0.002742664148513459,27.666666666666668,Loop Capital Markets,1009,1,-27.666666666666668,1.1130374615038285,0.9176663294529848,1.0735246793202111,1.0347428234256748,0.23076923076923078,0.23878680540592498
Craig Moffett,7,0.025145925994928067,-0.025145925994928067,-0.0038053270089405023,45.857142857142854,MoffettNathanson Research,3177,1,-45.857142857142854,0.7629083704623262,-0.06282135937701502,0.7340727569338407,0.47805325600638393,0.4117647058823529,0.19684545835556985
Peng Rui Huang,2,0.021902383849019238,-0.021902383849019238,-0.001793136272468996,89.0,Capital Securities Asia,1128,1,-89.0,1.7446540487900364,1.7937677039645217,-0.07101478673645197,1.1558023220060354,0.16666666666666666,0.19263372033433923
Melissa Fairbanks,2,0.022858179367119508,-0.022858179367119508,-0.002280013495446938,58.5,Raymond James,402,1,-58.5,1.4553567074733837,1.3445404458388626,0.4981447846993343,1.0993473126705269,0.16666666666666666,0.18322455211175448
Dan Ives,6,0.025320691419357815,-0.025320691419357815,-0.0030605337825344342,78.66666666666667,Wedbush Securities,590,1,-78.66666666666667,0.7100108922003506,0.6243773904895803,0.12181523200135531,0.48540117156376206,0.375,0.18202543933641077
Edison Lee,7,0.02596793637900981,-0.02596793637900981,-0.003627400612624833,56.857142857142854,Jefferies,512,1,-56.857142857142854,0.514104715134261,0.10134608036515728,0.5288020918258521,0.3814176291084235,0.4117647058823529,0.15705431786817436
Tony Shen,2,0.03109068542398852,-0.03109068542398852,-0.0005363024819252,54.0,SPDB International,3451,1,-54.0,-1.036433711631296,2.9534111849068374,0.5821191476980568,0.8330322069911994,0.16666666666666666,0.1388387011651999
