analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Jack Zhou,China Renaissance Securities (US),2903,AAPL-US,2026Q1,2026,0.026960516324981018,3867012.0,3571,20260428,1
Eui-Young Ko,iM Securities,2140,AAPL-US,2026Q1,2026,0.0254039483675019,3867012.0,3571,20260401,28
Barton Crockett,Rosenblatt Securities,2623,AAPL-US,2026Q1,2026,0.024948367501898258,3867012.0,3571,20260130,89
Amit Daryanani,Evercore ISI,1772,AAPL-US,2026Q1,2026,0.024530751708428254,3867012.0,3571,20260108,111
Mark C. Newman,Bernstein Research,1140,AAPL-US,2026Q1,2026,,3867012.0,3571,20260209,79
Krish Sankar,TD Cowen,917,AAPL-US,2026Q1,2026,0.02464464692482916,3867012.0,3571,20260130,89
Aaron Rakers,Wells Fargo Securities,596,AAPL-US,2026Q1,2026,0.02403720577069097,3867012.0,3571,20260414,15
Craig Moffett,MoffettNathanson Research,3177,AAPL-US,2026Q1,2026,0.024606681852695524,3867012.0,3571,20260224,64
James Kelleher,Argus Research,376,AAPL-US,2026Q1,2026,0.025897494305239185,3867012.0,3571,20260130,89
Ben Reitzes,Melius Research,3130,AAPL-US,2026Q1,2026,0.024340926347760066,3867012.0,3571,20260130,89
Jay Goldberg,Seaport Research Partners,1321,AAPL-US,2026Q1,2026,0.022594533029612757,3867012.0,3571,20260402,27
Tom Forte,Maxim Group,1063,AAPL-US,2026Q1,2026,0.024834472285497348,3867012.0,3571,20260130,89
Dan Ives,Wedbush Securities,590,AAPL-US,2026Q1,2026,0.02464464692482916,3867012.0,3571,20260130,89
Martin Yang,Oppenheimer,498,AAPL-US,2026Q1,2026,0.023315869400151866,3867012.0,3571,20260130,89
Laura Martin,Needham,477,AAPL-US,2026Q1,2026,0.024454821564160973,3867012.0,3571,20260130,89
Melissa Fairbanks,Raymond James,402,AAPL-US,2026Q1,2026,0.025138192862566446,3867012.0,3571,20260130,89
Warren Lau,Aletheia Capital,2859,AAPL-US,2026Q1,2026,0.02491040242976462,3867012.0,3571,20260417,12
Brian J. White,"Monness, Crespi, Hardt",1080,AAPL-US,2026Q1,2026,0.025252088078967356,3867012.0,3571,20251031,180
Ben Bollin,Cleveland Research Company,2295,AAPL-US,2026Q1,2026,0.024847091875474566,3867012.0,3571,20260416,13
Xiao Yu Han,First Shanghai,1701,AAPL-US,2026Q1,2026,0.02464464692482916,3867012.0,3571,20260415,14
Ananda Baruah,Loop Capital Markets,1009,AAPL-US,2026Q1,2026,0.025062262718299165,3867012.0,3571,20260416,13
Helena Wang,Phillip Securities,651,AAPL-US,2026Q1,2026,0.024530751708428254,3867012.0,3571,20260130,89
Edison Lee,Jefferies,512,AAPL-US,2026Q1,2026,0.024796507213363708,3867012.0,3571,20260130,89
