analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Charles Shi,6,0.03413126737120007,-0.03413126737120007,-0.010948236382678445,42.833333333333336,Needham,477,1,-42.833333333333336,0.2815625416515815,0.2955894497260601,1.092160371970054,0.5564374544492319,0.375,0.20866404541846195
Jay Goldberg,1,0.017460772136175823,-0.017460772136175823,,12.0,Seaport Research Partners,1321,1,-12.0,2.3457957078189966,,2.174790832417029,2.2602932701180127,0.09090909090909091,0.2054812063743648
Mehdi Hosseini,6,0.033046039757528504,-0.033046039757528504,-0.009719272964265061,74.66666666666667,Susquehanna Financial Group,974,1,-74.66666666666667,0.4159414429019202,0.7339779533374329,-0.02558242773466103,0.374778989501564,0.375,0.1405421210630865
Rita Tung,2,0.045730733599903345,-0.045730733599903345,-0.001249663822223402,89.0,Fubon Securities,1084,1,-89.0,-1.1547476915814707,3.7552064311926783,-0.5288592904289303,0.6905331497274257,0.16666666666666666,0.11508885828790429
Chandler B. Converse,6,0.03544742070486725,-0.03544742070486725,-0.012153436609929248,52.833333333333336,Cleveland Research Company,2295,1,-52.833333333333336,0.118589137153701,-0.13432239000849544,0.7410369793926566,0.24176790884595403,0.375,0.09066296581723277
Garvit Bhandari,1,0.019438008568024537,-0.019438008568024537,,79.0,GSBR Research,3718,1,-79.0,2.1009633280705193,,-0.17773589785153304,0.9616137151094931,0.09090909090909091,0.08741942864631756
Heping Qin,1,0.035703289615136524,-0.035703289615136524,,22.0,Guotai Haitong Securities China,1094,1,-22.0,0.08690602976410906,,1.8236674398396318,0.9552867348018704,0.09090909090909091,0.08684424861835185
Brian Chin,6,0.03733405785294116,-0.03733405785294116,-0.014027785617162327,31.0,Stifel Nicolaus,548,1,-31.0,-0.11502473685980287,-0.8029289931140574,1.5076563865199741,0.19656755218203795,0.375,0.07371283206826423
Melissa Weathers,9,0.03812119353571867,-0.03812119353571867,-0.01131647677584859,62.666666666666664,Deutsche Bank Research,77,1,-62.666666666666664,-0.21249224215919207,0.16423293210120218,0.395765643358216,0.11583544443340871,0.47368421052631576,0.054869421047404124
Joe Quatrochi,10,0.03907268727968547,-0.03907268727968547,-0.010645336545915084,68.4,Wells Fargo Securities,596,1,-68.4,-0.3303114740420308,0.4036380736259077,0.19445489828050794,0.08926049928812828,0.5,0.04463024964406414
Vijay Rakesh,8,0.038417016027675444,-0.038417016027675444,-0.012195966929958904,54.625,Mizuho Securities USA,1802,1,-54.625,-0.24912262359576254,-0.14949355220629673,0.678127371555873,0.09317039858460457,0.4444444444444444,0.041409066037602034
Blayne Curtis,5,0.032800790076270646,-0.032800790076270646,-0.012007684404656936,75.4,Jefferies,512,1,-75.4,0.4463096184664251,-0.08233053230952694,-0.0513314765236702,0.10421586987774263,0.3333333333333333,0.03473862329258087
Pierre Ferragu,10,0.0402343190002975,-0.0402343190002975,-0.011564550381612231,58.5,New Street Research,1634,1,-58.5,-0.4741511555124169,0.07574159445292418,0.5420670569321315,0.047885831957546275,0.5,0.023942915978773138
Mark Lipacis,6,0.03549127297402502,-0.03549127297402502,-0.012589931289727099,74.16666666666667,Evercore ISI,1772,1,-74.16666666666667,0.11315910600399733,-0.2900261698312889,-0.008026258105791164,-0.06163110731102759,0.375,-0.023111665241635347
Jed Dorsheimer,6,0.0351104541049273,-0.0351104541049273,-0.012022615530573957,89.0,William Blair,198,1,-89.0,0.160314210205239,-0.0876566745281833,-0.5288592904289303,-0.1520672515839582,0.375,-0.05702521934398433
Christian Schwab,5,0.03290162865037647,-0.03290162865037647,-0.012933031466583974,107.2,Craig Hallum Capital Group,1026,1,-107.2,0.43382322702072007,-0.4124148193773159,-1.1679038649197937,-0.3821651524254632,0.3333333333333333,-0.12738838414182105
N. Quinn Bolton,1,0.06223868479805156,-0.06223868479805156,,64.0,Needham,477,1,-64.0,-3.198853753715569,,0.34894919101456295,-1.424952281350503,0.09090909090909091,-0.12954111648640937
Louis Miscioscia,6,0.03584373718257716,-0.03584373718257716,-0.013363905233384191,95.0,Daiwa Securities Co. Ltd.,467,1,-95.0,0.06951503311216838,-0.5661135406271345,-0.7395333259753688,-0.4120439444967783,0.375,-0.15451647918629186
Steve Barger,9,0.04046904967386661,-0.04046904967386661,-0.012394948598356412,84.66666666666667,KeyBanc Capital Markets,618,1,-84.66666666666667,-0.503216809211784,-0.2204731066404681,-0.37670582031205835,-0.3667985787214368,0.47368421052631576,-0.17374669518383848
Srini Pajjuri,4,0.035252029073795405,-0.035252029073795405,-0.015604627007348864,96.75,RBC Capital Markets,1269,2,-96.75,0.14278361245654947,-1.3654104527890696,-0.8009799196764132,-0.6745355866696444,0.2857142857142857,-0.19272445333418411
Krish Sankar,9,0.03791335476089755,-0.03791335476089755,-0.011233332784249352,109.22222222222223,TD Cowen,917,1,-109.22222222222223,-0.18675649249172094,0.19389156108506825,-1.2389088176410008,-0.4105912496825512,0.47368421052631576,-0.19449059195489266
C.J. Muse,6,0.036785167500283045,-0.036785167500283045,-0.013261988928580338,104.16666666666667,Cantor Fitzgerald,1190,1,-104.16666666666667,-0.047058089524351934,-0.529758563996306,-1.061396435837983,-0.5460710297862137,0.375,-0.20477663616983013
Craig A. Ellis,8,0.038148252779892144,-0.038148252779892144,-0.012558577777760963,111.75,B Riley Securities,765,1,-111.75,-0.21584286782968556,-0.2788419319704577,-1.3276650085425092,-0.6074499361142175,0.4444444444444444,-0.26997774938409663
James Kelleher,6,0.036631943613029426,-0.036631943613029426,-0.013746266769355638,115.66666666666667,Argus Research,376,1,-115.66666666666667,-0.02808505810213598,-0.7025072681226797,-1.46518833730199,-0.7319268878422687,0.375,-0.27447258294085075
