analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Jay Goldberg,1,0.017460772136175823,-0.017460772136175823,,12.0,Seaport Research Partners,1321,1,-12.0,2.3457957078189966,,2.174790832417029,2.2602932701180127,0.09090909090909091,0.2054812063743648,,,,,,,,,,1,,,2.2602932701180127,0.2054812063743648
Vijay Rakesh,8,0.038417016027675444,-0.038417016027675444,-0.012195966929958904,54.625,Mizuho Securities USA,1802,1,-54.625,-0.24912262359576254,-0.14949355220629673,0.678127371555873,0.09317039858460457,0.4444444444444444,0.041409066037602034,0.05068653673032761,5.755266300782034,0.20274614692131043,-0.0012558369602513149,-0.00028057531611000566,-0.0021456525495501056,-0.0013695351909117246,,,8,0.5870300782975499,1.2280061043626842,0.37687932502912447,0.1675019222351664
Brian Chin,6,0.03733405785294116,-0.03733405785294116,-0.014027785617162327,31.0,Stifel Nicolaus,548,1,-31.0,-0.11502473685980287,-0.8029289931140574,1.5076563865199741,0.19656755218203795,0.375,0.07371283206826423,0.04990324708902507,2.2888301553089243,0.19961298835610028,-0.0012412393382134784,-0.0008486217164669417,-0.002205671253497677,-0.0012120806216362901,,,6,0.5714730647238255,0.909076181371688,0.3746947094794505,0.14051051605479392
Rita Tung,2,0.045730733599903345,-0.045730733599903345,-0.001249663822223402,89.0,Fubon Securities,1084,1,-89.0,-1.1547476915814707,3.7552064311926783,-0.5288592904289303,0.6905331497274257,0.16666666666666666,0.11508885828790429,,,,,,,,,,2,,,0.6905331497274257,0.11508885828790429
Garvit Bhandari,1,0.019438008568024537,-0.019438008568024537,,79.0,GSBR Research,3718,1,-79.0,2.1009633280705193,,-0.17773589785153304,0.9616137151094931,0.09090909090909091,0.08741942864631756,,,,,,,,,,1,,,0.9616137151094931,0.08741942864631756
Heping Qin,1,0.035703289615136524,-0.035703289615136524,,22.0,Guotai Haitong Securities China,1094,1,-22.0,0.08690602976410906,,1.8236674398396318,0.9552867348018704,0.09090909090909091,0.08684424861835185,,,,,,,,,,1,,,0.9552867348018704,0.08684424861835185
Chandler B. Converse,6,0.03544742070486725,-0.03544742070486725,-0.012153436609929248,52.833333333333336,Cleveland Research Company,2295,1,-52.833333333333336,0.118589137153701,-0.13432239000849544,0.7410369793926566,0.24176790884595403,0.375,0.09066296581723277,0.04720761401171817,2.582854345776171,0.18883045604687268,-0.0011331636919133044,-0.0005734576026465927,-0.001975657162255121,-0.0011516012771484682,,,6,0.5988082833145449,-0.1884974420045127,0.13420157113333736,0.05032558917500151
Pierre Ferragu,10,0.0402343190002975,-0.0402343190002975,-0.011564550381612231,58.5,New Street Research,1634,1,-58.5,-0.4741511555124169,0.07574159445292418,0.5420670569321315,0.047885831957546275,0.5,0.023942915978773138,0.04807755949881132,7.871632306440938,0.19231023799524527,-0.0007048310584357349,-0.00034509675418891664,-0.0015218309591988619,-0.001256713995106133,,,10,0.5164626308975269,0.16571590715149773,0.07734335075603413,0.038671675378017065
Blayne Curtis,5,0.032800790076270646,-0.032800790076270646,-0.012007684404656936,75.4,Jefferies,512,1,-75.4,0.4463096184664251,-0.08233053230952694,-0.0513314765236702,0.10421586987774263,0.3333333333333333,0.03473862329258087,,,,,,,,,,5,,,0.10421586987774263,0.03473862329258087
Charles Shi,6,0.03413126737120007,-0.03413126737120007,-0.010948236382678445,42.833333333333336,Needham,477,1,-42.833333333333336,0.2815625416515815,0.2955894497260601,1.092160371970054,0.5564374544492319,0.375,0.20866404541846195,0.0442950812216105,2.5522568653000666,0.177180324886442,-0.0009090831800283548,-0.00033693234914230146,-0.001601955920094927,-0.001111012606178097,,,6,0.5542413287249152,-1.3743855343238818,0.07373170725595346,0.027649390220982548
