firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
AMAT-US,2026-04-30,2026Q2,2026,20260514,3.5119,3674
AMAT-US,2026-01-30,2026Q1,2026,20260212,2.5357,3674
AMAT-US,2025-10-31,2025Q4,2025,20251113,2.3772,3674
AMAT-US,2025-07-31,2025Q3,2025,20250814,2.2182,3674
AMAT-US,2025-04-30,2025Q2,2025,20250515,2.6318,3674
AMAT-US,2025-01-31,2025Q1,2025,20250213,1.4469,3674
AMAT-US,2024-10-31,2024Q4,2024,20241114,2.0906,3674
AMAT-US,2024-07-31,2024Q3,2024,20240815,2.0468,3674
AMAT-US,2024-04-30,2024Q2,2024,20240516,2.0598,3674
AMAT-US,2024-01-31,2024Q1,2024,20240215,2.4122,3674
AMAT-US,2023-10-31,2023Q4,2023,20231116,2.38,3674
AMAT-US,2023-07-31,2023Q3,2023,20230817,1.8505,3674
