analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Mark Lipacis,Evercore ISI,1772,AMAT-US,2026Q2,2026,0.019514056123095643,313209.03,3674,20260213,89
Brian Chin,Stifel Nicolaus,548,AMAT-US,2026Q2,2026,0.020147785748688182,313209.03,3674,20260511,2
Srini Pajjuri,RBC Capital Markets,1269,AMAT-US,2026Q2,2026,0.01895637405257421,313209.03,3674,20260213,89
C.J. Muse,Cantor Fitzgerald,1190,AMAT-US,2026Q2,2026,0.018981723237597913,313209.03,3674,20260213,89
Stacy A. Rasgon,Bernstein Research,1140,AMAT-US,2026Q2,2026,,313209.03,3674,20260213,89
Craig A. Ellis,B Riley Securities,765,AMAT-US,2026Q2,2026,0.01994499226849857,313209.03,3674,20260213,89
Melissa Weathers,Deutsche Bank Research,77,AMAT-US,2026Q2,2026,0.019184516717787523,313209.03,3674,20260213,89
Tammy Qiu,Berenberg,577,AMAT-US,2026Q2,2026,,313209.03,3674,20260507,6
Jay Goldberg,Seaport Research Partners,1321,AMAT-US,2026Q2,2026,0.017460772136175823,313209.03,3674,20260501,12
Jed Dorsheimer,William Blair,198,AMAT-US,2026Q2,2026,0.020274531673806686,313209.03,3674,20260213,89
Pierre Ferragu,New Street Research,1634,AMAT-US,2026Q2,2026,0.01964080204821415,313209.03,3674,20260427,16
Chandler B. Converse,Cleveland Research Company,2295,AMAT-US,2026Q2,2026,0.019541101168597426,313209.03,3674,20260302,72
Timm Schulze-Melander,Rothschild & Co Redburn,1652,AMAT-US,2026Q2,2026,,313209.03,3674,20260305,69
Mehdi Hosseini,Susquehanna Financial Group,974,AMAT-US,2026Q2,2026,0.01979289715835636,313209.03,3674,20260408,35
Joe Quatrochi,Wells Fargo Securities,596,AMAT-US,2026Q2,2026,0.019514056123095643,313209.03,3674,20260212,90
Steve Barger,KeyBanc Capital Markets,618,AMAT-US,2026Q2,2026,0.019361961012953434,313209.03,3674,20260213,89
Louis Miscioscia,Daiwa Securities Co. Ltd.,467,AMAT-US,2026Q2,2026,0.018677533017313494,313209.03,3674,20260218,84
Krish Sankar,TD Cowen,917,AMAT-US,2026Q2,2026,0.018981723237597913,313209.03,3674,20260213,89
Garvit Bhandari,GSBR Research,3718,AMAT-US,2026Q2,2026,0.019438008568024537,313209.03,3674,20260223,79
James Kelleher,Argus Research,376,AMAT-US,2026Q2,2026,0.018347993612005373,313209.03,3674,20260217,85
Vijay Rakesh,Mizuho Securities USA,1802,AMAT-US,2026Q2,2026,0.018550787092194987,313209.03,3674,20260213,89
Christian Schwab,Craig Hallum Capital Group,1026,AMAT-US,2026Q2,2026,0.018854977312479402,313209.03,3674,20260213,89
