firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
AMAT-US,2026-04-30,2026Q2,2026,20260514,20260430,394.49,313209.03,313209.03,
AMAT-US,2026-01-30,2026Q1,2026,20260212,20260129,341.34,270928.88,270928.88,
AMAT-US,2025-10-31,2025Q4,2025,20251113,20251030,232.55,185259.2,185259.2,
AMAT-US,2025-07-31,2025Q3,2025,20250814,20250731,180.06,143443.44,143443.44,
AMAT-US,2025-04-30,2025Q2,2025,20250515,20250501,148.96,119540.14,119540.14,
AMAT-US,2025-01-31,2025Q1,2025,20250213,20250130,181.72,147636.75,147636.75,
AMAT-US,2024-10-31,2024Q4,2024,20241114,20241031,181.58,149695.3,149695.3,
AMAT-US,2024-07-31,2024Q3,2024,20240815,20240801,196.3,161830.53,161830.53,
AMAT-US,2024-04-30,2024Q2,2024,20240516,20240502,197.91,163864.5,163864.5,
AMAT-US,2024-01-31,2024Q1,2024,20240215,20240201,166.97,138734.92,138734.92,
AMAT-US,2023-10-31,2023Q4,2023,20231116,20231102,138.51,115868.305,115868.305,
AMAT-US,2023-07-31,2023Q3,2023,20230817,20230803,147.81,124123.07,124123.07,
