firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
AMD-US,2023Q2,0.05701178665309929,,,189909.97,3674,Electronic Equipment
AMD-US,2023Q3,0.05874453110138862,,,169871.69,3674,Electronic Equipment
AMD-US,2023Q4,0.043500692957036666,,,256444.3,3674,Electronic Equipment
AMD-US,2024Q1,0.041172152208491374,,,264174.25,3674,Electronic Equipment
AMD-US,2024Q2,0.0411044776119403,,,286976.53,3674,Electronic Equipment
AMD-US,2024Q3,0.04333950459652707,,,253518.98,3674,Electronic Equipment
AMD-US,2024Q4,0.05405626431141643,,,198436.89,3674,Electronic Equipment
AMD-US,2025Q1,0.06479248782749825,,,140140.88,3674,Electronic Equipment
AMD-US,2025Q2,0.03391933815925543,,,250863.66,3674,Electronic Equipment
AMD-US,2025Q3,0.02307482250136537,,,386285.5,3674,Electronic Equipment
AMD-US,2025Q4,0.02424844774060021,,,377575.38,3674,Electronic Equipment
AMD-US,2026Q1,0.020885795634292947,,,463815.06,3674,Electronic Equipment
