industry,quarter,industry_fe,industry_nn_predicted_fe,industry_linear_predicted_fe,n_firms,industry_sentiment
Electronic Equipment,2023Q2,0.057011786653099285,,,1,
Electronic Equipment,2023Q3,0.05874453110138862,,,1,
Electronic Equipment,2023Q4,0.043500692957036666,,,1,
Electronic Equipment,2024Q1,0.041172152208491374,,,1,
Electronic Equipment,2024Q2,0.0411044776119403,,,1,
Electronic Equipment,2024Q3,0.04333950459652707,,,1,
Electronic Equipment,2024Q4,0.05405626431141643,,,1,
Electronic Equipment,2025Q1,0.06479248782749825,,,1,
Electronic Equipment,2025Q2,0.03391933815925543,,,1,
Electronic Equipment,2025Q3,0.02307482250136537,,,1,
Electronic Equipment,2025Q4,0.02424844774060021,,,1,
Electronic Equipment,2026Q1,0.020885795634292947,,,1,
