analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Kevin Rottinghaus,4,0.028333676728048596,-0.028333676728048596,-0.0057030526709082666,33.75,Edgewater Research,3222,1,-33.75,0.9352387019468847,1.2920363832202137,1.2062849010950532,1.1445199954207173,0.2857142857142857,0.32700571297734776,,,,,,,,,,4,,,1.1445199954207173,0.32700571297734776
Barney Yao,4,0.029575004982260573,-0.029575004982260573,-0.0053275854112824214,43.75,Haitong International Research,2898,1,-43.75,0.7940640387398831,1.3577331174500198,0.8484198739347653,1.0000723433748895,0.2857142857142857,0.2857349552499684,,,,,,,,,,4,,,1.0000723433748895,0.2857349552499684
Christopher Rolland,6,0.03724863554703357,-0.03724863554703357,-0.014510386013003685,6.5,Susquehanna Financial Group,974,1,-6.5,-0.07864807981613818,-0.24901153245036495,2.1814671001068375,0.6179358292801115,0.375,0.23172593598004182,0.044080834319619566,2.680188720177297,0.17632333727847826,-0.002058848069636585,-0.002745269169614183,-0.002480267366583427,0.0005486056081318164,,,6,0.827868798432462,0.8712306862281182,0.6812595435171132,0.25547232881891746
Stefan Chang,2,0.026847546353016435,-0.026847546353016435,-0.0037824122533995728,34.5,Aletheia Capital,2859,1,-34.5,1.1042543949877626,1.628097117745592,1.1794450240580314,1.303932178930462,0.16666666666666666,0.21732202982174367,,,,,,,,,,2,,,1.303932178930462,0.21732202982174367
John N. Vinh,5,0.03358990833917776,-0.03358990833917776,-0.012208130259278954,29.2,KeyBanc Capital Markets,618,1,-29.2,0.33745425216794805,0.15382168537059135,1.3691134884529839,0.620129808663841,0.3333333333333333,0.20670993622128034,,,,,,,,,,5,,,0.620129808663841,0.20670993622128034
Myoung-Sub Song,1,0.020956096875109846,-0.020956096875109846,,6.0,iM Securities,2140,1,-6.0,1.7742813544341378,,2.199360351464852,1.9868208529494948,0.09090909090909091,0.18062007754086318,,,,,,,,,,1,,,1.9868208529494948,0.18062007754086318
Simon Leopold,2,0.021435796302081984,-0.021435796302081984,-0.0017778118386562042,82.0,Raymond James,402,1,-82.0,1.7197257565786985,1.978848607544169,-0.5204138549533357,1.059386836389844,0.16666666666666666,0.17656447273164066,,,,,,,,,,2,,,1.059386836389844,0.17656447273164066
Matthew D. Ramsay,2,0.04478491566646818,-0.04478491566646818,-0.0006390412648911679,14.5,TD Cowen,917,1,-14.5,-0.9357395091659118,2.1781030187221697,1.8951750783786072,1.0458461959782885,0.16666666666666666,0.17430769932971474,,,,,,,,,,2,,,1.0458461959782885,0.17430769932971474
Gil Luria,1,0.022291820450630953,-0.022291820450630953,,11.0,DA Davidson,556,1,-11.0,1.6223712329396804,,2.020427837884708,1.8213995354121941,0.09090909090909091,0.16558177594656312,,,,,,,,,,1,,,1.8213995354121941,0.16558177594656312
Siyu Cai,2,0.021806625603836838,-0.021806625603836838,-0.0015045628386391747,88.0,Mega Intl Invst Serv,1175,1,-88.0,1.6775518178119837,2.0266598786269467,-0.7351328712495083,0.9896929417298074,0.16666666666666666,0.16494882362163454,,,,,,,,,,2,,,0.9896929417298074,0.16494882362163454
Li Xiong,1,0.014714531781708187,-0.014714531781708187,,69.0,Guosen Securities,1894,1,-69.0,2.484126511793366,,-0.055189319644961474,1.2144685960742023,0.09090909090909091,0.11040623600674566,,,,,,,,,,1,,,1.2144685960742023,0.11040623600674566
