firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
AMD-US,2026-03-31,2026Q1,2026,20260505,0.8382,3674
AMD-US,2025-12-31,2025Q4,2025,20260203,0.9163,3674
AMD-US,2025-09-30,2025Q3,2025,20251104,0.7575,3674
AMD-US,2025-06-30,2025Q2,2025,20250805,0.535,3674
AMD-US,2025-03-31,2025Q1,2025,20250506,0.436,3674
AMD-US,2024-12-31,2024Q4,2024,20250204,0.295,3674
AMD-US,2024-09-30,2024Q3,2024,20241029,0.4713,3674
AMD-US,2024-06-28,2024Q2,2024,20240730,0.1619,3674
AMD-US,2024-03-29,2024Q1,2024,20240430,0.075,3674
AMD-US,2023-12-29,2023Q4,2023,20240130,0.4097,3674
AMD-US,2023-09-29,2023Q3,2023,20231031,0.1836,3674
AMD-US,2023-06-30,2023Q2,2023,20230801,0.0166,3674
