firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Ben Reitzes,Melius Research,3130,6.7,20251105,180,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,C.J. Muse,Cantor Fitzgerald,1190,7.75,20260501,3,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Stacy A. Rasgon,Bernstein Research,1140,,20260415,19,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,John N. Vinh,KeyBanc Capital Markets,618,7.95,20260402,32,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Matthew Bryson,Wedbush Securities,590,6.61,20260501,3,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Blayne Curtis,Jefferies,512,6.86,20260410,24,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Srini Pajjuri,RBC Capital Markets,1269,6.7,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Myoung-Sub Song,iM Securities,2140,6.8,20260428,6,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Mark Lipacis,Evercore ISI,1772,7.03,20260223,70,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Christopher Rolland,Susquehanna Financial Group,974,7.33,20260428,6,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Aaron Rakers,Wells Fargo Securities,596,6.16,20260406,28,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Ross Seymore,Deutsche Bank Research,77,7.126418,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Gus Richard,Northland Securities,1093,6.6,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Gil Luria,DA Davidson,556,7.18,20260423,11,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Pierre Ferragu,New Street Research,1634,6.71,20260417,17,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Ruben Roy,Stifel Nicolaus,548,6.85,20260417,17,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Rick Schafer,Oppenheimer,498,6.78,20260416,18,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Kevin Rottinghaus,Edgewater Research,3222,7.22,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Kevin Cassidy,Rosenblatt Securities,2623,7.0,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Chandler B. Converse,Cleveland Research Company,2295,7.20185,20260414,20,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Joshua Buchalter,TD Cowen,917,6.8524,20260408,26,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,6.7,20260212,81,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Vijay Rakesh,Mizuho Securities USA,1802,6.7437,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Stefan Chang,Aletheia Capital,2859,7.4,20260327,38,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Dawei Wang,Bocom International,1746,6.653,20260227,66,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Siyu Cai,Mega Intl Invst Serv,1175,7.47,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Barney Yao,Haitong International Research,2898,6.73,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Purdy Ho,Huatai Research,1271,9.7,20260224,69,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Cody Acree,"Benchmark, a StoneX Company",1124,6.75,20260203,90,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,William Stein,Truist Securities,852,6.6115,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Gary Mobley,Loop Capital Markets,1009,6.67,20260126,98,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Simon Leopold,Raymond James,402,6.4307,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Ling Ji Cao,First Shanghai,1701,7.0,20251105,180,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,sean Hao,Fubon Securities,1084,5.79,20260204,89,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,Han Jing Wen,China International Capital,898,6.13,20251106,179,0.8382,284.49,463815.06
AMD-US,2026-03-31,2026Q1,2026,20260505,20260504,James Kelleher,Argus Research,376,6.72,20260204,89,0.8382,284.49,463815.06
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Ben Reitzes,Melius Research,3130,6.73,20251003,122,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Srini Pajjuri,RBC Capital Markets,1269,6.54,20260113,20,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,C.J. Muse,Cantor Fitzgerald,1190,6.4,20251105,89,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Matthew Bryson,Wedbush Securities,590,6.1,20251105,89,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Mark Lipacis,Evercore ISI,1772,6.18,20251110,84,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Aaron Rakers,Wells Fargo Securities,596,5.91,20251105,89,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Blayne Curtis,Jefferies,512,6.78,20260114,19,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Christopher Rolland,Susquehanna Financial Group,974,7.4,20260128,5,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Stacy A. Rasgon,Bernstein Research,1140,,20251031,94,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Gary Mobley,Loop Capital Markets,1009,6.66,20260126,7,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Ross Seymore,Deutsche Bank Research,77,6.5,20251105,89,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Barney Yao,Haitong International Research,2898,8.92,20260123,10,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Harsh Kumar,Piper Sandler Companies,570,5.87,20251105,89,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,6.6,20251111,83,0.9163,231.92,377575.38
AMD-US,2025-12-31,2025Q4,2025,20260203,20260202,Kevin Rottinghaus,Edgewater Research,3222,7.36,20260120,13,0.9163,231.92,377575.38
