analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Ben Reitzes,Melius Research,3130,AMD-US,2026Q1,2026,0.020604590671025345,463815.06,3674,20251105,180
C.J. Muse,Cantor Fitzgerald,1190,AMD-US,2026Q1,2026,0.024295405813912617,463815.06,3674,20260501,3
Stacy A. Rasgon,Bernstein Research,1140,AMD-US,2026Q1,2026,,463815.06,3674,20260415,19
John N. Vinh,KeyBanc Capital Markets,618,AMD-US,2026Q1,2026,0.024998418222081622,463815.06,3674,20260402,32
Matthew Bryson,Wedbush Securities,590,AMD-US,2026Q1,2026,0.020288235087349293,463815.06,3674,20260501,3
Blayne Curtis,Jefferies,512,AMD-US,2026Q1,2026,0.021167000597560548,463815.06,3674,20260410,24
Srini Pajjuri,RBC Capital Markets,1269,AMD-US,2026Q1,2026,0.020604590671025345,463815.06,3674,20260204,89
Myoung-Sub Song,iM Securities,2140,AMD-US,2026Q1,2026,0.020956096875109846,463815.06,3674,20260428,6
Mark Lipacis,Evercore ISI,1772,AMD-US,2026Q1,2026,0.021764561144504202,463815.06,3674,20260223,70
Christopher Rolland,Susquehanna Financial Group,974,AMD-US,2026Q1,2026,0.022819079756757708,463815.06,3674,20260428,6
Aaron Rakers,Wells Fargo Securities,596,AMD-US,2026Q1,2026,0.018706457168969032,463815.06,3674,20260406,28
Ross Seymore,Deutsche Bank Research,77,AMD-US,2026Q1,2026,0.022103476396358398,463815.06,3674,20260204,89
Gus Richard,Northland Securities,1093,AMD-US,2026Q1,2026,0.02025308446694084,463815.06,3674,20260204,89
Gil Luria,DA Davidson,556,AMD-US,2026Q1,2026,0.022291820450630953,463815.06,3674,20260423,11
Pierre Ferragu,New Street Research,1634,AMD-US,2026Q1,2026,0.020639741291433793,463815.06,3674,20260417,17
Ruben Roy,Stifel Nicolaus,548,AMD-US,2026Q1,2026,0.021131849977152097,463815.06,3674,20260417,17
Rick Schafer,Oppenheimer,498,AMD-US,2026Q1,2026,0.020885795634292947,463815.06,3674,20260416,18
Kevin Rottinghaus,Edgewater Research,3222,AMD-US,2026Q1,2026,0.022432422932264755,463815.06,3674,20260204,89
Kevin Cassidy,Rosenblatt Securities,2623,AMD-US,2026Q1,2026,0.02165910928327885,463815.06,3674,20260204,89
Chandler B. Converse,Cleveland Research Company,2295,AMD-US,2026Q1,2026,0.022368624556223418,463815.06,3674,20260414,20
Joshua Buchalter,TD Cowen,917,AMD-US,2026Q1,2026,0.021140286126050126,463815.06,3674,20260408,26
Louis Miscioscia,Daiwa Securities Co. Ltd.,467,AMD-US,2026Q1,2026,0.020604590671025345,463815.06,3674,20260212,81
Vijay Rakesh,Mizuho Securities USA,1802,AMD-US,2026Q1,2026,0.02075819888221027,463815.06,3674,20260204,89
Stefan Chang,Aletheia Capital,2859,AMD-US,2026Q1,2026,0.02306513409961686,463815.06,3674,20260327,38
Dawei Wang,Bocom International,1746,AMD-US,2026Q1,2026,0.020439382755105626,463815.06,3674,20260227,66
Siyu Cai,Mega Intl Invst Serv,1175,AMD-US,2026Q1,2026,0.02331118844247601,463815.06,3674,20260204,89
Barney Yao,Haitong International Research,2898,AMD-US,2026Q1,2026,0.020710042532250696,463815.06,3674,20260204,89
Purdy Ho,Huatai Research,1271,AMD-US,2026Q1,2026,0.031149776793560402,463815.06,3674,20260224,69
Cody Acree,"Benchmark, a StoneX Company",1124,AMD-US,2026Q1,2026,0.020780343773067596,463815.06,3674,20260203,90
William Stein,Truist Securities,852,AMD-US,2026Q1,2026,0.02029350768041056,463815.06,3674,20260204,89
Gary Mobley,Loop Capital Markets,1009,AMD-US,2026Q1,2026,0.020499138809799995,463815.06,3674,20260126,98
Simon Leopold,Raymond James,402,AMD-US,2026Q1,2026,0.01965798446342578,463815.06,3674,20260204,89
Ling Ji Cao,First Shanghai,1701,AMD-US,2026Q1,2026,0.02165910928327885,463815.06,3674,20251105,180
sean Hao,Fubon Securities,1084,AMD-US,2026Q1,2026,0.017405884213856377,463815.06,3674,20260204,89
Han Jing Wen,China International Capital,898,AMD-US,2026Q1,2026,0.01860100530774368,463815.06,3674,20251106,179
James Kelleher,Argus Research,376,AMD-US,2026Q1,2026,0.020674891911842245,463815.06,3674,20260204,89
Ben Reitzes,Melius Research,3130,AMD-US,2025Q4,2025,0.025067695757157647,377575.38,3674,20251003,122
Srini Pajjuri,RBC Capital Markets,1269,AMD-US,2025Q4,2025,0.02424844774060021,377575.38,3674,20260113,20
C.J. Muse,Cantor Fitzgerald,1190,AMD-US,2025Q4,2025,0.023644791307347365,377575.38,3674,20251105,89
Matthew Bryson,Wedbush Securities,590,AMD-US,2025Q4,2025,0.022351241807519837,377575.38,3674,20251105,89
Mark Lipacis,Evercore ISI,1772,AMD-US,2025Q4,2025,0.022696188340807177,377575.38,3674,20251110,84
Aaron Rakers,Wells Fargo Securities,596,AMD-US,2025Q4,2025,0.021531993790962402,377575.38,3674,20251105,89
Blayne Curtis,Jefferies,512,AMD-US,2025Q4,2025,0.025283287340462233,377575.38,3674,20260114,19
Christopher Rolland,Susquehanna Financial Group,974,AMD-US,2025Q4,2025,0.02795662297343912,377575.38,3674,20260128,5
Stacy A. Rasgon,Bernstein Research,1140,AMD-US,2025Q4,2025,,377575.38,3674,20251031,94
Gary Mobley,Loop Capital Markets,1009,AMD-US,2025Q4,2025,0.02476586754053122,377575.38,3674,20260126,7
Ross Seymore,Deutsche Bank Research,77,AMD-US,2025Q4,2025,0.02407597447395654,377575.38,3674,20251105,89
Barney Yao,Haitong International Research,2898,AMD-US,2025Q4,2025,0.03451060710589859,377575.38,3674,20260123,10
Harsh Kumar,Piper Sandler Companies,570,AMD-US,2025Q4,2025,0.021359520524318734,377575.38,3674,20251105,89
Louis Miscioscia,Daiwa Securities Co. Ltd.,467,AMD-US,2025Q4,2025,0.024507157640565713,377575.38,3674,20251111,83
Kevin Rottinghaus,Edgewater Research,3222,AMD-US,2025Q4,2025,0.02778414970679545,377575.38,3674,20260120,13
Chandler B. Converse,Cleveland Research Company,2295,AMD-US,2025Q4,2025,0.027303255432907902,377575.38,3674,20260120,13
John N. Vinh,KeyBanc Capital Markets,618,AMD-US,2025Q4,2025,0.03024189375646775,377575.38,3674,20260109,24
Kevin Cassidy,Rosenblatt Securities,2623,AMD-US,2025Q4,2025,0.028374008278716802,377575.38,3674,20251111,83
Joshua Buchalter,TD Cowen,917,AMD-US,2025Q4,2025,0.023801310796826496,377575.38,3674,20251009,116
Rick Schafer,Oppenheimer,498,AMD-US,2025Q4,2025,0.02476586754053122,377575.38,3674,20260114,19
Pierre Ferragu,New Street Research,1634,AMD-US,2025Q4,2025,0.02601629872369783,377575.38,3674,20260106,27
Purdy Ho,Huatai Research,1271,AMD-US,2025Q4,2025,0.030198775439806834,377575.38,3674,20251105,89
Vijay Rakesh,Mizuho Securities USA,1802,AMD-US,2025Q4,2025,0.025682994135908938,377575.38,3674,20251110,84
Stefan Chang,Aletheia Capital,2859,AMD-US,2025Q4,2025,0.030629958606416006,377575.38,3674,20260102,31
Ling Ji Cao,First Shanghai,1701,AMD-US,2025Q4,2025,0.026231890307002417,377575.38,3674,20251105,89
William Stein,Truist Securities,852,AMD-US,2025Q4,2025,0.022135650224215247,377575.38,3674,20251105,89
Dawei Wang,Bocom International,1746,AMD-US,2025Q4,2025,0.024119092790617455,377575.38,3674,20251105,89
Simon Leopold,Raymond James,402,AMD-US,2025Q4,2025,0.02321360814073819,377575.38,3674,20251119,75
Jay Goldberg,Seaport Research Partners,1321,AMD-US,2025Q4,2025,0.02196317695757158,377575.38,3674,20251105,89
Cody Acree,"Benchmark, a StoneX Company",1124,AMD-US,2025Q4,2025,0.024205329423939295,377575.38,3674,20251111,83
