firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
AMD-US,2026-03-31,2026Q1,2026,20260505,20260421,284.49,463815.06,463815.06,
AMD-US,2025-12-31,2025Q4,2025,20260203,20260120,231.92,377575.38,377575.38,
AMD-US,2025-09-30,2025Q3,2025,20251104,20251021,238.03,386285.5,386285.5,
AMD-US,2025-06-30,2025Q2,2025,20250805,20250722,154.72,250863.66,250863.66,
AMD-US,2025-03-31,2025Q1,2025,20250506,20250422,86.26,140140.88,140140.88,
AMD-US,2024-12-31,2024Q4,2024,20250204,20250121,122.28,198436.89,198436.89,
AMD-US,2024-09-30,2024Q3,2024,20241029,20241015,156.64,253518.98,253518.98,
AMD-US,2024-06-28,2024Q2,2024,20240730,20240716,177.55,286976.53,286976.53,
AMD-US,2024-03-29,2024Q1,2024,20240430,20240416,163.46,264174.25,264174.25,
AMD-US,2023-12-29,2023Q4,2023,20240130,20240116,158.74,256444.3,256444.3,
AMD-US,2023-09-29,2023Q3,2023,20231031,20231017,105.14,169871.69,169871.69,
AMD-US,2023-06-30,2023Q2,2023,20230801,20230718,117.93,189909.97,189909.97,
