analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Brian J. Pitz,10,0.022834652163803308,-0.022834652163803308,-0.0026292977376353673,28.4,BMO Capital Markets,181,1,-28.4,0.8975805903781299,0.8420033554586829,1.2385461598876437,0.9927100352414855,0.5,0.49635501762074274,0.02473327596564751,25.704715974905657,0.09893310386259004,-0.00032423122641562,-0.00023533628818960667,-0.0002507922344631494,-0.0002614374591597686,,,10,0.7842839303620108,-0.577044699260047,0.6002713516161023,0.30013567580805117
Daryl Boehringer,5,0.02611939277090276,-0.02611939277090276,-0.003394944816535121,10.6,Edgewater Research,3222,1,-10.6,0.24852886899590537,0.3837534633639978,1.8043481666423289,0.8122101663340774,0.3333333333333333,0.27073672211135913,,,,,,,,,,5,,,0.8122101663340774,0.27073672211135913
Justin Patterson,3,0.024253561308362623,-0.024253561308362623,-0.003335141747002607,9.0,KeyBanc Capital Markets,618,1,-9.0,0.6172097687763498,0.41954639056955384,1.8552067739910647,0.963987644445656,0.23076923076923078,0.22245868717976677,,,,,,,,,,3,,,0.963987644445656,0.22245868717976677
Yong-Jei Jeong,4,0.020581532767068412,-0.020581532767068412,-0.002074686494971218,73.75,Mirae Asset Securities,484,1,-73.75,1.3427880505257392,1.1739455114590214,-0.20297749215308566,0.771252023277225,0.2857142857142857,0.22035772093634998,,,,,,,,,,4,,,0.771252023277225,0.22035772093634998
Andrew Boone,4,0.024290378590948132,-0.024290378590948132,-0.0021026385076657983,51.0,Citizens,805,1,-51.0,0.6099348197021087,1.157215862572321,0.520168331086751,0.7624396711203936,0.2857142857142857,0.21783990603439815,,,,,,,,,,4,,,0.7624396711203936,0.21783990603439815
James Lee,5,0.027422399286413907,-0.027422399286413907,-0.003233930427757408,29.4,Mizuho Securities USA,1802,1,-29.4,-0.008940052609921196,0.4801227022946924,1.2067595302946839,0.5593140599931518,0.3333333333333333,0.18643801999771725,,,,,,,,,,5,,,0.5593140599931518,0.18643801999771725
Deepak Mathivanan,7,0.025901599889433403,-0.025901599889433403,-0.0036014535550058244,41.857142857142854,Cantor Fitzgerald,1190,1,-41.857142857142854,0.2915638789193544,0.26015525509185533,0.8107889445080982,0.454169359506436,0.4117647058823529,0.18701091273794423,0.027767942564765905,5.5720302103842565,0.11107177025906362,-1.259576696795888e-05,0.00013141463986194544,-0.0002680441174409017,-0.0006845100204424029,,,7,0.5477252856724815,0.44273862954977977,0.45131167701727193,0.18583421994828844
Alice Tang,2,0.025230754486522112,-0.025230754486522112,-0.00036965517465395795,59.0,First Shanghai,1701,1,-59.0,0.42412027092176935,2.19442928274987,0.26587529434307217,0.9614749493382372,0.16666666666666666,0.16024582488970618,,,,,,,,,,2,,,0.9614749493382372,0.16024582488970618
Benjamin Black,1,0.01962857142857143,-0.01962857142857143,,8.0,Deutsche Bank Research,77,1,-8.0,1.5310894329318077,,1.8869934035840246,1.7090414182579161,0.09090909090909091,0.15536740165981056,,,,,,,,,,1,,,1.7090414182579161,0.15536740165981056
Scott Devitt,6,0.02836451376461552,-0.02836451376461552,-0.0031255591175969135,16.166666666666668,Wedbush Securities,590,1,-16.166666666666668,-0.19509813842475046,0.5449843631771057,1.627402595241519,0.6590962733312914,0.375,0.2471611024992343,0.02539533984820853,6.691943522806151,0.10158135939283412,0.00030212484241714057,-0.0004441543411042023,0.0008514194346537884,0.0009306629115953599,,,6,0.797116697501038,-0.35456170549757604,0.40568177862407456,0.15213066698402797
Andrew Cheng,1,0.01995050301810865,-0.01995050301810865,,11.0,KGI Securities,671,1,-11.0,1.4674770271592372,,1.791633514805145,1.6295552709821912,0.09090909090909091,0.1481413882711083,,,,,,,,,,1,,,1.6295552709821912,0.1481413882711083
Michael Graham,3,0.029019993525708814,-0.029019993525708814,-0.003760072750613575,5.0,Canaccord Genuity,466,1,-5.0,-0.3246183405220755,0.1652195709175618,1.9823532923629041,0.6076515075861302,0.23076923076923078,0.14022727098141466,,,,,,,,,,3,,,0.6076515075861302,0.14022727098141466
Brent Thill,6,0.02401434670356008,-0.02401434670356008,-0.0025213199073931382,56.333333333333336,Jefferies,512,1,-56.333333333333336,0.6644776263025371,0.9066295134115407,0.35063963992429836,0.6405822598794587,0.375,0.24021834745479703,0.02473161506915473,10.248987391509093,0.09892646027661892,-0.00010342557217918961,-0.0002508280799960527,-7.150852678264579e-05,-0.0003561283012736083,,,6,0.8772742191293509,-0.5776028345605467,0.3360359862694574,0.12601349485104651
Helena Wang,4,0.021789016763133807,-0.021789016763133807,-0.0014840533321324504,111.5,Phillip Securities,651,1,-111.5,1.1041940000567783,1.5274472625887283,-1.4029227592873201,0.40957283445272874,0.2857142857142857,0.11702080984363677,,,,,,,,,,4,,,0.40957283445272874,0.11702080984363677
Lloyd Walmsley,3,0.023005092238706403,-0.023005092238706403,-0.0028784680067015117,70.0,Mizuho Securities USA,1802,1,-70.0,0.8639023072987074,0.6928716575008641,-0.08377763117948621,0.49099877787336177,0.23076923076923078,0.11330741027846811,,,,,,,,,,3,,,0.49099877787336177,0.11330741027846811
Ken Gawrelski,12,0.03098647168512234,-0.03098647168512234,-0.005562113841435164,31.083333333333332,Wells Fargo Securities,596,1,-31.083333333333332,-0.7131866285839319,-0.9133258296681066,1.153252037146535,-0.15775347370183454,0.5454545454545454,-0.08604734929190974,0.029882112429947014,11.757226335000434,0.11952844971978806,0.00029114987412296996,-0.0007457165720831506,-5.416038024983747e-05,-0.00047602934641380616,,,12,0.4046025178058845,1.1531939999717415,0.1699833947165595,0.09271821529994154
Maria Ripps,9,0.028729417623210733,-0.028729417623210733,-0.005306457003873027,23.22222222222222,Canaccord Genuity,466,1,-23.22222222222222,-0.267201694196656,-0.7603118347679091,1.4031302642245247,0.1252055784199865,0.47368421052631576,0.059307905567362026,0.02764840309195927,7.9414224048347295,0.11059361236783707,0.00016771173983229305,-0.0007586425586248604,-7.124600401087951e-05,-0.0005566430827609066,,,9,0.5735790064647135,0.4025680350145061,0.1945461925686164,0.09215345963776567
Jason Helfstein,7,0.026385645582374825,-0.026385645582374825,-0.0028701032106226284,47.0,Oppenheimer,498,1,-47.0,0.1959183690266552,0.6978780984658719,0.6473148494585904,0.5137037723170391,0.4117647058823529,0.21152508271878082,0.024474166932870203,5.9815374473485585,0.09789666773148081,0.0005709999712102893,-0.00039173475453527175,0.00033911793390719366,-0.00015012765030799496,,,7,0.5199432066771426,-0.6641168909950792,0.21924860648900957,0.09027883796606276
Dylan Carden,5,0.023037415020888203,-0.023037415020888203,-0.00308104108264293,87.4,William Blair,198,1,-87.4,0.8575154536854825,0.571628995248642,-0.6368649860969878,0.26409315427904556,0.3333333333333333,0.08803105142634851,,,,,,,,,,5,,,0.26409315427904556,0.08803105142634851
Ivan Feinseth,1,0.022888128772635817,-0.022888128772635817,,35.0,Tigress Financial Partners LLC,2345,1,-35.0,0.8870138244845291,,1.0287544045741086,0.9578841145293189,0.09090909090909091,0.0870803740481199,,,,,,,,,,1,,,0.9578841145293189,0.0870803740481199
Lee Horowitz,7,0.027889093711471396,-0.027889093711471396,-0.003261808322894219,36.285714285714285,Deutsche Bank Research,77,1,-36.285714285714285,-0.1011570207590533,0.46343741374552366,0.9878858808117317,0.4500554245994007,0.4117647058823529,0.18531693954092968,0.024506743100670317,15.7413962429476,0.09802697240268127,0.0003069759109209059,2.5845847815455787e-05,0.0008470792288141335,0.00038620966308102584,,,7,0.8921573028661484,-0.6531698456594506,0.17424910703468788,0.07174963230840088
Scott Bender,7,0.027724575651133756,-0.027724575651133756,-0.004785202573326012,52.142857142857146,Cleveland Research Company,2295,1,-52.142857142857146,-0.06864890427952974,-0.4483341715143667,0.4838407544090825,-0.011047440461604663,0.4117647058823529,-0.004548946072425449,0.02851976776911793,3.853412909111701,0.11407907107647172,-0.0001038593695081806,-0.00048311161146413984,-0.00029957245089872077,-0.00035386694198472686,,,7,0.4837033509539975,0.6953854309479867,0.16556077739079317,0.06817208480797365
Mark Kelley,7,0.02403063256336929,-0.02403063256336929,-0.003517755513295624,55.57142857142857,Stifel Nicolaus,548,1,-55.57142857142857,0.6612596049706518,0.310249638835018,0.3748580243760774,0.44878908939391576,0.4117647058823529,0.18479550739749473,0.02433688261676858,5.115897429389432,0.09734753046707433,0.000273617773422839,-1.2188337118695289e-05,4.864523572546334e-05,-0.0006092375654771199,,,7,0.5680311822417613,-0.7102505443289131,0.15902918096320856,0.06548260392602705
Jeffrey Wlodarczak,1,0.018179879275653923,-0.018179879275653923,,81.0,Pivotal Research Group,1662,1,-81.0,1.817345258908376,,-0.43343055670204456,0.6919573511031658,0.09090909090909091,0.06290521373665144,,,,,,,,,,1,,,0.6919573511031658,0.06290521373665144
Jun Yun Chen,1,0.025813774857045318,-0.025813774857045318,,36.0,Citic Securities,1123,1,-36.0,0.3089177571308434,,0.9969677749811487,0.6529427660559961,0.09090909090909091,0.059358433277817826,,,,,,,,,,1,,,0.6529427660559961,0.059358433277817826
Shyam Patil,5,0.021469414907137486,-0.021469414907137486,-0.004149532812422436,87.4,Susquehanna Financial Group,974,1,-87.4,1.167346059718056,-0.06787742144028007,-0.6368649860969878,0.15420121739359607,0.3333333333333333,0.05140040579786535,,,,,,,,,,5,,,0.15420121739359607,0.05140040579786535
James Kelleher,5,0.026437620363870134,-0.026437620363870134,-0.0025659887514659975,86.8,Argus Research,376,1,-86.8,0.1856483582607871,0.8798946200899375,-0.6177930083412116,0.149249990003171,0.3333333333333333,0.04974999666772366,,,,,,,,,,5,,,0.149249990003171,0.04974999666772366
Siyu Cai,2,0.025470037675466413,-0.025470037675466413,-7.534377888413456e-05,127.5,Mega Intl Invst Serv,1175,1,-127.5,0.3768388614410772,2.3705785414234164,-1.9115088327746776,0.2786361900299387,0.16666666666666666,0.04643936500498978,,,,,,,,,,2,,,0.2786361900299387,0.04643936500498978
Simeon Siegel,1,0.020030985915492957,-0.020030985915492957,,81.0,Guggenheim Securities,1515,1,-81.0,1.4515739257160947,,-0.43343055670204456,0.5090716845070251,0.09090909090909091,0.046279244046093196,,,,,,,,,,1,,,0.5090716845070251,0.046279244046093196
Tommy Wong,6,0.02600355919047215,-0.02600355919047215,-0.002628544277325812,76.5,China Merchants Securities,1788,1,-76.5,0.2714171252587771,0.842454311408319,-0.29039072353372525,0.27449357104445693,0.375,0.10293508914167135,0.0254267314322284,16.838613793857295,0.1017069257289136,0.000248105584774026,-0.000508611922365683,2.0978826217638063e-05,-0.0001998494384840261,,,6,0.9557832848240965,-0.3440127331466444,0.1198669949966816,0.0449501231237556
Jia Qing Dong,1,0.02087605633802817,-0.02087605633802817,,81.0,Capital Securities Asia,1128,1,-81.0,1.2845913605630965,,-0.43343055670204456,0.425580401930526,0.09090909090909091,0.03868912744822964,,,,,,,,,,1,,,0.425580401930526,0.03868912744822964
Bo Tao Yu,1,0.02103702213279678,-0.02103702213279678,,81.0,China Securities,697,1,-81.0,1.2527851576768114,,-0.43343055670204456,0.40967730048738343,0.09090909090909091,0.03724339095339849,,,,,,,,,,1,,,0.40967730048738343,0.03724339095339849
Parth Talsania,2,0.032372575133479096,-0.032372575133479096,-0.00022987384611274086,88.5,Equisights,3723,1,-88.5,-0.9870751746765312,2.278090254607703,-0.6718302786492435,0.2063949337606428,0.16666666666666666,0.0343991556267738,,,,,,,,,,2,,,0.2063949337606428,0.0343991556267738
Louis Ng,1,0.033058567085412716,-0.033058567085412716,,9.0,Haitong International Research,2898,1,-9.0,-1.1226244647162202,,1.8552067739910647,0.36629115463742223,0.09090909090909091,0.0332991958761293,,,,,,,,,,1,,,0.36629115463742223,0.0332991958761293
Dan Zhao,1,0.024393849290629516,-0.024393849290629516,,63.0,SPDB International,3451,1,-63.0,0.5894894196617907,,0.13872877597123276,0.36410909781651174,0.09090909090909091,0.03310082707422834,,,,,,,,,,1,,,0.36410909781651174,0.03310082707422834
Brian J. White,5,0.024111006561992672,-0.024111006561992672,-0.0036238582756754896,87.4,"Monness, Crespi, Hardt",1080,1,-87.4,0.6453780214909307,0.24674573377030934,-0.6368649860969878,0.08508625638808405,0.3333333333333333,0.028362085462694683,,,,,,,,,,5,,,0.08508625638808405,0.028362085462694683
Rong Jin,8,0.030198878218543328,-0.030198878218543328,-0.004289068632949473,78.25,Huaan Securities,3624,1,-78.25,-0.5575612820565239,-0.15139145350808897,-0.346017325321405,-0.3516566869620059,0.4444444444444444,-0.1562918608720026,0.030186838047808903,11.414910178488142,0.12074735219123561,-0.0005478702840434758,-0.0003550946190969989,2.7611275609655748e-05,0.000683238333941497,,,8,0.7043359913214395,1.2555953988756956,0.050156334497419464,0.022291704221075317
Kadambari Daptardar,5,0.02479384303999721,-0.02479384303999721,-0.004107279698372936,76.8,ARC Independent Research,940,1,-76.8,0.5104522405895342,-0.04258837445315922,-0.2999267124116131,0.05597905124158729,0.3333333333333333,0.01865968374719576,,,,,,,,,,5,,,0.05597905124158729,0.01865968374719576
Barney Yao,4,0.026145577352501267,-0.026145577352501267,-0.0019959935373784934,112.0,Haitong International Research,2898,1,-112.0,0.2433548994826195,1.2210442862330309,-1.4188160740838,0.01519437054395012,0.2857142857142857,0.004341248726842891,,,,,,,,,,4,,,0.01519437054395012,0.004341248726842891
Ishan Majumdar,2,0.03337886724229294,-0.03337886724229294,-0.001672561329135621,82.0,Baptista Research,3454,1,-82.0,-1.1859145058636955,1.41462273590233,-0.4652171862950044,-0.07883631875212331,0.16666666666666666,-0.013139386458687218,,,,,,,,,,2,,,-0.07883631875212331,-0.013139386458687218
Egor Tolmachev,1,0.026979997202405934,-0.026979997202405934,,82.0,Freedom Broker,3713,1,-82.0,0.07847684525648743,,-0.4652171862950044,-0.19337017051925848,0.09090909090909091,-0.01757910641084168,,,,,,,,,,1,,,-0.19337017051925848,-0.01757910641084168
Joseph Feldman,5,0.025794241659091454,-0.025794241659091454,-0.004641172365712951,70.8,Telsey Advisory Group,2252,1,-70.8,0.3127774396058167,-0.3621301893978203,-0.109206934853854,-0.052853228215285875,0.3333333333333333,-0.017617742738428623,,,,,,,,,,5,,,-0.052853228215285875,-0.017617742738428623
Craig Moffett,1,0.041217411017909766,-0.041217411017909766,,15.0,MoffettNathanson Research,3177,1,-15.0,-2.7347796794782964,,1.6644869964333056,-0.5351463415224954,0.09090909090909091,-0.048649667411135945,,,,,,,,,,1,,,-0.5351463415224954,-0.048649667411135945
Curtis A Shauger,1,0.038737451958928464,-0.038737451958928464,,33.0,WestPark Capital,3079,1,-33.0,-2.2447496013922787,,1.0923276637600283,-0.5762109688161252,0.09090909090909091,-0.05238281534692048,,,,,,,,,,1,,,-0.5762109688161252,-0.05238281534692048
Michael Morton,10,0.02922785681411521,-0.02922785681411521,-0.005467839210175186,51.8,MoffettNathanson Research,3177,1,-51.8,-0.36569130222283963,-0.8569012173464188,0.4947390274123832,-0.2426178307189584,0.5,-0.1213089153594792,0.02703606381758566,9.284712388077596,0.10814425527034265,0.0005229059195155773,-0.0008122940663757287,0.00010139742338607921,-0.00040368024887699926,,,10,0.5431823112293622,0.1967947274086157,-0.13276469118706488,-0.06638234559353244
Megan Tao,1,0.03563987839155624,-0.03563987839155624,,63.0,Phillip Securities,651,1,-63.0,-1.6326813450235198,,0.13872877597123276,-0.7469762845261435,0.09090909090909091,-0.06790693495692214,,,,,,,,,,1,,,-0.7469762845261435,-0.06790693495692214
Aaron Kessler,3,0.02878875280534959,-0.02878875280534959,-0.0040320251183359425,86.66666666666667,Seaport Research Partners,1321,1,-86.66666666666667,-0.2789260909488732,0.0024524859274996772,-0.6135547910621506,-0.2966761320278414,0.23076923076923078,-0.06846372277565571,,,,,,,,,,3,,,-0.2966761320278414,-0.06846372277565571
Lun Ke Zhang,9,0.02945826460410463,-0.02945826460410463,-0.004587096777204989,88.66666666666667,Guosen Securities,1894,1,-88.66666666666667,-0.4112189680571784,-0.32976523525427487,-0.6771280502480702,-0.47270408451984114,0.47368421052631576,-0.22391246108834578,0.028845252030102946,13.100781386071189,0.11538100812041178,8.11909592544894e-05,-0.00079262360057581,-0.00018278316783976707,-0.0002612776148626503,,,9,0.7065454559904372,0.8047626598135672,-0.15333739843648905,-0.07263350452254744
