firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
AMZN-US,2026-03-31,2026Q1,2026,20260429,2.7823,5961
AMZN-US,2025-12-31,2025Q4,2025,20260205,1.9508,5961
AMZN-US,2025-09-30,2025Q3,2025,20251030,1.9536,5961
AMZN-US,2025-06-30,2025Q2,2025,20250731,1.6809,5961
AMZN-US,2025-03-31,2025Q1,2025,20250501,1.5869,5961
AMZN-US,2024-12-31,2024Q4,2024,20250206,1.8572,5961
AMZN-US,2024-09-30,2024Q3,2024,20241031,1.4278,5961
AMZN-US,2024-06-28,2024Q2,2024,20240801,1.2593,5961
AMZN-US,2024-03-29,2024Q1,2024,20240430,0.9776,5961
AMZN-US,2023-12-29,2023Q4,2023,20240201,1.0013,5961
AMZN-US,2023-09-29,2023Q3,2023,20231026,0.9357,5961
AMZN-US,2023-06-30,2023Q2,2023,20230803,0.646,5961
