firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
AMZN-US,2026-03-31,2026Q1,2026,20260429,20260415,248.5,2672431.5,2672431.5,
AMZN-US,2025-12-31,2025Q4,2025,20260205,20260122,234.34,2505145.3,2505145.3,
AMZN-US,2025-09-30,2025Q3,2025,20251030,20251016,214.47,2287303.8,2287303.8,
AMZN-US,2025-06-30,2025Q2,2025,20250731,20250717,223.88,2376789.0,2376789.0,
AMZN-US,2025-03-31,2025Q1,2025,20250501,20250416,174.33,1850053.5,1850053.5,
AMZN-US,2024-12-31,2024Q4,2024,20250206,20250123,235.42,2475443.8,2475443.8,
AMZN-US,2024-09-30,2024Q3,2024,20241031,20241017,187.53,1968233.5,1968233.5,
AMZN-US,2024-06-28,2024Q2,2024,20240801,20240718,183.75,1912217.8,1912217.8,
AMZN-US,2024-03-29,2024Q1,2024,20240430,20240416,183.32,1906012.3,1906012.3,
AMZN-US,2023-12-29,2023Q4,2023,20240201,20240118,153.5,1593790.5,1593790.5,
AMZN-US,2023-09-29,2023Q3,2023,20231026,20231012,132.33,1357752.6,1357752.6,
AMZN-US,2023-06-30,2023Q2,2023,20230803,20230720,129.96,1333435.6,1333435.6,
