analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Glenn Schorr,5,0.05634978704619451,-0.05634978704619451,-0.008940606622029742,33.0,Evercore ISI,1772,1,-33.0,0.6294250674768349,0.24525495993990518,0.8453214933174656,0.5733338402447353,0.3333333333333333,0.19111128008157843
Brian McKenna,5,0.053388245175529245,-0.053388245175529245,-0.008412384903499076,47.8,Citizens,805,1,-47.8,1.0754202628579705,0.3266199108305839,0.16123761882030407,0.5210925975029528,0.3333333333333333,0.17369753250098424
Bill Katz,5,0.05786474222099911,-0.05786474222099911,-0.008812706078880033,32.0,TD Cowen,917,1,-32.0,0.4012794734964729,0.26495619721809766,0.8915433767294361,0.5192596824813355,0.3333333333333333,0.17308656082711182
Brennan Hawken,2,0.05695563510566064,-0.05695563510566064,-0.0048648270408884545,30.5,BMO Capital Markets,181,1,-30.5,0.5381870112705998,0.873070125100592,0.9608762018473916,0.7907111127395278,0.16666666666666666,0.13178518545658796
Daniel T. Fannon,7,0.05801719785497221,-0.05801719785497221,-0.008735542370077306,52.285714285714285,Jefferies,512,1,-52.285714285714285,0.37832032477253025,0.2768421556272689,-0.04610054391339175,0.20302064549546908,0.4117647058823529,0.08359673638048727
Brian Bedell,9,0.06376897099867716,-0.06376897099867716,-0.012327112972861168,26.555555555555557,Deutsche Bank Research,77,1,-26.555555555555557,-0.4878714425714209,-0.27638758761159954,1.143195853083497,0.12631227430015882,0.47368421052631576,0.059832129931654175
Kyle Voigt,7,0.060954049547672584,-0.060954049547672584,-0.01143818783452909,41.857142857142854,Keefe Bruyette & Woods,525,1,-41.857142857142854,-0.06395663827344203,-0.13946146797556977,0.4359276688114424,0.0775031875208102,0.4117647058823529,0.03191307721445126
John Barnidge,4,0.059237970504348536,-0.059237970504348536,-0.0073394532591259274,61.5,Piper Sandler Companies,570,1,-61.5,0.19447732674926202,0.49188958356632967,-0.47200218392369037,0.07145490879730045,0.2857142857142857,0.020415688227800127
Chris Kotowski,6,0.05400071152641808,-0.05400071152641808,-0.007782575414337468,82.66666666666667,Oppenheimer,498,1,-82.66666666666667,0.9831855210382718,0.4236329952199617,-1.450365382810397,-0.01451562218405448,0.375,-0.0054433583190204304
Wilma Burdis,4,0.06174207696595684,-0.06174207696595684,-0.006727902353099294,63.25,Raymond James,402,1,-63.25,-0.18263010558607198,0.5860901960939995,-0.5528904798946386,-0.04981012979557035,0.2857142857142857,-0.014231465655877242
Etienne Ricard,4,0.06443933043491895,-0.06443933043491895,-0.012619944402704792,47.25,BMO Capital Markets,181,1,-47.25,-0.5888246287153276,-0.3214940534622469,0.18665965469688767,-0.24121967582689563,0.2857142857142857,-0.06891990737911304
Steve Biggar,4,0.06058764465198725,-0.06058764465198725,-0.008054463946539935,101.25,Argus Research,376,1,-101.25,-0.008777670635521852,0.3817524812344163,-2.3093220495495133,-0.6454490796502063,0.2857142857142857,-0.18441402275720178
Michael C. Brown,6,0.07957529568677896,-0.07957529568677896,-0.030870734408261217,46.833333333333336,Wells Fargo Securities,596,2,-46.833333333333336,-2.868234501880135,-3.132765495781743,0.20591877278520854,-1.9316937416255564,0.375,-0.7243851531095836
