analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Brian Bedell,Deutsche Bank Research,77,APO-US,2025Q4,2025,0.06197248403770143,76360.39,6282,20260112,25
Glenn Schorr,Evercore ISI,1772,APO-US,2025Q4,2025,0.06144040741866829,76360.39,6282,20260121,16
Brian McKenna,Citizens,805,APO-US,2025Q4,2025,0.05992018850714502,76360.39,6282,20260126,11
John Barnidge,Piper Sandler Companies,570,APO-US,2025Q4,2025,0.05992018850714502,76360.39,6282,20251104,94
Brennan Hawken,BMO Capital Markets,181,APO-US,2025Q4,2025,0.06182046214654909,76360.39,6282,20260109,28
Bill Katz,TD Cowen,917,APO-US,2025Q4,2025,0.06174445120097293,76360.39,6282,20260113,24
Chris Kotowski,Oppenheimer,498,APO-US,2025Q4,2025,0.06030024323502584,76360.39,6282,20250805,185
Wilma Burdis,Raymond James,402,APO-US,2025Q4,2025,0.06280860443903921,76360.39,6282,20251124,74
Daniel T. Fannon,Jefferies,512,APO-US,2025Q4,2025,0.06098434174521131,76360.39,6282,20251104,94
Steve Biggar,Argus Research,376,APO-US,2025Q4,2025,0.062200516874429915,76360.39,6282,20250818,172
Glenn Schorr,Evercore ISI,1772,APO-US,2025Q3,2025,0.05034449912684553,72487.17,6282,20251021,13
John Barnidge,Piper Sandler Companies,570,APO-US,2025Q3,2025,0.05010636608985553,72487.17,6282,20251006,28
Brennan Hawken,BMO Capital Markets,181,APO-US,2025Q3,2025,0.05209080806477218,72487.17,6282,20251001,33
Chris Kotowski,Oppenheimer,498,APO-US,2025Q3,2025,0.050265121447848865,72487.17,6282,20250805,90
Kyle Voigt,Keefe Bruyette & Woods,525,APO-US,2025Q3,2025,0.0492332116208922,72487.17,6282,20251010,24
Brian McKenna,Citizens,805,APO-US,2025Q3,2025,0.0485188125099222,72487.17,6282,20250805,90
Brian Bedell,Deutsche Bank Research,77,APO-US,2025Q3,2025,0.048756945546912206,72487.17,6282,20251008,26
Bill Katz,TD Cowen,917,APO-US,2025Q3,2025,0.05240831878075884,72487.17,6282,20251007,27
Wilma Burdis,Raymond James,402,APO-US,2025Q3,2025,0.054551516113668826,72487.17,6282,20250702,124
Daniel T. Fannon,Jefferies,512,APO-US,2025Q3,2025,0.049709477694872196,72487.17,6282,20250811,84
Steve Biggar,Argus Research,376,APO-US,2025Q3,2025,0.05105889823781552,72487.17,6282,20250818,77
Bill Katz,TD Cowen,917,APO-US,2025Q2,2025,0.05660407617774808,85524.11,6282,20250708,27
Brian McKenna,Citizens,805,APO-US,2025Q2,2025,0.05185967256932843,85524.11,6282,20250506,90
Kyle Voigt,Keefe Bruyette & Woods,525,APO-US,2025Q2,2025,0.05500033411293017,85524.11,6282,20250502,94
Glenn Schorr,Evercore ISI,1772,APO-US,2025Q2,2025,0.05520080187103241,85524.11,6282,20250709,26
Brian Bedell,Deutsche Bank Research,77,APO-US,2025Q2,2025,0.054398930838623454,85524.11,6282,20250709,26
Daniel T. Fannon,Jefferies,512,APO-US,2025Q2,2025,0.05319612429001001,85524.11,6282,20250509,87
John Barnidge,Piper Sandler Companies,570,APO-US,2025Q2,2025,0.05653725359171399,85524.11,6282,20250502,94
Wilma Burdis,Raymond James,402,APO-US,2025Q2,2025,0.05740594721015703,85524.11,6282,20250702,33
Chris Kotowski,Oppenheimer,498,APO-US,2025Q2,2025,0.051592382225192114,85524.11,6282,20250502,94
Steve Biggar,Argus Research,376,APO-US,2025Q2,2025,0.056336785833611756,85524.11,6282,20250513,83
Brian Bedell,Deutsche Bank Research,77,APO-US,2025Q1,2025,0.06928379870642058,72456.336,6282,20250407,24
Bill Katz,TD Cowen,917,APO-US,2025Q1,2025,0.07228111689540938,72456.336,6282,20250221,69
Chris Kotowski,Oppenheimer,498,APO-US,2025Q1,2025,0.06581321975074933,72456.336,6282,20250414,17
Glenn Schorr,Evercore ISI,1772,APO-US,2025Q1,2025,0.07030919703423252,72456.336,6282,20250411,20
Wilma Burdis,Raymond James,402,APO-US,2025Q1,2025,0.0722022401009623,72456.336,6282,20250409,22
Kyle Voigt,Keefe Bruyette & Woods,525,APO-US,2025Q1,2025,0.07007256665089132,72456.336,6282,20250408,23
