analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Krisztina Katai,5,0.03410651377676074,-0.03410651377676074,-0.0026717566148070095,35.4,Deutsche Bank Research,77,1,-35.4,0.7717536669615408,0.41156930393247165,1.1097036815564674,0.7643422174834932,0.3333333333333333,0.2547807391611644
Scott Bender,5,0.03548252861084823,-0.03548252861084823,-0.003191120061634766,21.4,Cleveland Research Company,2295,1,-21.4,0.4674191167986411,0.26355761081354473,1.427379804970824,0.71945217752767,0.3333333333333333,0.23981739250922332
Edward Kelly,5,0.03444696223939572,-0.03444696223939572,-0.002954345684297739,38.4,Wells Fargo Securities,596,1,-38.4,0.696456346639861,0.3310351676013555,1.0416302265391053,0.6897072469267739,0.3333333333333333,0.22990241564225794
Chuck Grom,5,0.03507159747260533,-0.03507159747260533,-0.00224852286537604,42.0,Gordon Haskett,2467,1,-42.0,0.5583051595992009,0.5321853084298478,0.9599420805182707,0.6834775161824398,0.3333333333333333,0.2278258387274799
Greg Melich,6,0.03561806309443221,-0.03561806309443221,-0.0028005281965440255,47.833333333333336,Evercore ISI,1772,1,-47.833333333333336,0.4374428221604773,0.3748711112604351,0.827577029095622,0.5466303208388448,0.375,0.2049863703145668
Oliver Chen,6,0.03598815003805095,-0.03598815003805095,-0.0026310462962539326,66.33333333333333,TD Cowen,917,1,-66.33333333333333,0.3555903299363934,0.4231712047078455,0.40779072315522236,0.39551741926648704,0.375,0.14831903222493265
Robert Drbul,3,0.03732943772950385,-0.03732943772950385,-0.0002763126662442527,74.0,BTIG,1538,1,-74.0,0.0589364159631096,1.0942390543045013,0.2338252269997413,0.4623335657557841,0.23076923076923078,0.10669236132825788
Rupesh Parikh,6,0.03520761593598986,-0.03520761593598986,-0.002739525472572305,89.5,Oppenheimer,498,1,-89.5,0.5282218226739634,0.3922560784064101,-0.1178876239232964,0.26753009238569236,0.375,0.10032378464463464
Karen Short,2,0.03894913949707972,-0.03894913949707972,-0.0023796414275816524,82.5,Melius Research,3130,1,-82.5,-0.2992946122366278,0.49481825745637364,0.0409504377838819,0.07882469433454259,0.16666666666666666,0.013137449055757098
Christopher Graja,5,0.035406500654619276,-0.035406500654619276,-0.003064482869226459,118.0,Argus Research,376,1,-118.0,0.4842342944301294,0.299647530839043,-0.7645854465882366,0.006432126226978603,0.3333333333333333,0.0021440420756595343
Corey Tarlowe,5,0.035608894440734506,-0.035608894440734506,-0.002687411999975826,121.8,Jefferies,512,1,-121.8,0.4394706622894978,0.4071077268241506,-0.850811822943562,-0.00141114460997116,0.3333333333333333,-0.0004703815366570533
Jacob Aiken-Phillips,4,0.03674732631915257,-0.03674732631915257,-0.002282418849591657,116.0,Melius Research,3130,1,-116.0,0.18768256740371567,0.5225254025501995,-0.7192031432433286,-0.0029983910964711167,0.2857142857142857,-0.000856683170420319
Phillip Blee,5,0.03586336331568478,-0.03586336331568478,-0.0029077870266397657,188.6,William Blair,198,1,-188.6,0.3831895316868563,0.3443037674448607,-2.366580754663492,-0.5463624851772583,0.3333333333333333,-0.18212082839241941
Scott Mushkin,5,0.039433400126493115,-0.039433400126493115,-0.009620113776452369,95.4,R5 Capital,3399,1,-95.4,-0.40639901050560573,-1.5686203189063996,-0.25176541879077535,-0.7422615827342601,0.3333333333333333,-0.2474205275780867
Laura Champine,8,0.05141770290207172,-0.05141770290207172,-0.011581625292408592,77.375,Loop Capital Markets,1009,1,-77.375,-3.0569790070798226,-2.1276250819913893,0.15724259010520888,-1.675787166322001,0.4444444444444444,-0.7447942961431115
Michael Baker,12,0.044857398758728385,-0.044857398758728385,-0.011818187326157433,134.33333333333334,DA Davidson,556,1,-134.33333333333334,-1.6060301067213478,-2.195042123673252,-1.135207590571653,-1.645426606988751,0.5454545454545454,-0.8975054219938642
