analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Krisztina Katai,5,0.03410651377676074,-0.03410651377676074,-0.0026717566148070095,35.4,Deutsche Bank Research,77,1,-35.4,0.7717536669615408,0.41156930393247165,1.1097036815564674,0.7643422174834932,0.3333333333333333,0.2547807391611644,,,,,,,,,,5,,,0.7643422174834932,0.2547807391611644
Scott Bender,5,0.03548252861084823,-0.03548252861084823,-0.003191120061634766,21.4,Cleveland Research Company,2295,1,-21.4,0.4674191167986411,0.26355761081354473,1.427379804970824,0.71945217752767,0.3333333333333333,0.23981739250922332,,,,,,,,,,5,,,0.71945217752767,0.23981739250922332
Edward Kelly,5,0.03444696223939572,-0.03444696223939572,-0.002954345684297739,38.4,Wells Fargo Securities,596,1,-38.4,0.696456346639861,0.3310351676013555,1.0416302265391053,0.6897072469267739,0.3333333333333333,0.22990241564225794,,,,,,,,,,5,,,0.6897072469267739,0.22990241564225794
Chuck Grom,5,0.03507159747260533,-0.03507159747260533,-0.00224852286537604,42.0,Gordon Haskett,2467,1,-42.0,0.5583051595992009,0.5321853084298478,0.9599420805182707,0.6834775161824398,0.3333333333333333,0.2278258387274799,,,,,,,,,,5,,,0.6834775161824398,0.2278258387274799
Robert Drbul,3,0.03732943772950385,-0.03732943772950385,-0.0002763126662442527,74.0,BTIG,1538,1,-74.0,0.0589364159631096,1.0942390543045013,0.2338252269997413,0.4623335657557841,0.23076923076923078,0.10669236132825788,,,,,,,,,,3,,,0.4623335657557841,0.10669236132825788
Greg Melich,6,0.03561806309443221,-0.03561806309443221,-0.0028005281965440255,47.833333333333336,Evercore ISI,1772,1,-47.833333333333336,0.4374428221604773,0.3748711112604351,0.827577029095622,0.5466303208388448,0.375,0.2049863703145668,0.03312545289028829,6.473156830325642,0.13250181156115315,0.00029544201368694126,-0.00011443091936134102,0.0005376175199359426,-3.401217040320466e-05,,,6,0.4077059362941069,-0.756967330188708,0.22073090808195658,0.08277409053073372
Oliver Chen,6,0.03598815003805095,-0.03598815003805095,-0.0026310462962539326,66.33333333333333,TD Cowen,917,1,-66.33333333333333,0.3555903299363934,0.4231712047078455,0.40779072315522236,0.39551741926648704,0.375,0.14831903222493265,0.034143754511449464,7.592074051843163,0.13657501804579786,0.00013119789787545736,-6.64255051726533e-05,0.0004219250419290652,7.93841202887125e-05,,,6,0.4817126755544767,-0.5654371413750908,0.15527877910609258,0.05822954216478472
Karen Short,2,0.03894913949707972,-0.03894913949707972,-0.0023796414275816524,82.5,Melius Research,3130,1,-82.5,-0.2992946122366278,0.49481825745637364,0.0409504377838819,0.07882469433454259,0.16666666666666666,0.013137449055757098,,,,,,,,,,2,,,0.07882469433454259,0.013137449055757098
Rupesh Parikh,6,0.03520761593598986,-0.03520761593598986,-0.002739525472572305,89.5,Oppenheimer,498,1,-89.5,0.5282218226739634,0.3922560784064101,-0.1178876239232964,0.26753009238569236,0.375,0.10032378464463464,0.033221113114059335,6.4074902132988605,0.13288445245623734,0.00019192921832705302,-0.00011117544293956693,0.00043205118491536403,1.955321680362359e-05,,,6,0.36462860422669163,-0.7389748019042797,0.015903868813199357,0.005963950804949759
Christopher Graja,5,0.035406500654619276,-0.035406500654619276,-0.003064482869226459,118.0,Argus Research,376,1,-118.0,0.4842342944301294,0.299647530839043,-0.7645854465882366,0.006432126226978603,0.3333333333333333,0.0021440420756595343,,,,,,,,,,5,,,0.006432126226978603,0.0021440420756595343
Corey Tarlowe,5,0.035608894440734506,-0.035608894440734506,-0.002687411999975826,121.8,Jefferies,512,1,-121.8,0.4394706622894978,0.4071077268241506,-0.850811822943562,-0.00141114460997116,0.3333333333333333,-0.0004703815366570533,,,,,,,,,,5,,,-0.00141114460997116,-0.0004703815366570533
