firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
BJ-US,2026-04-30,2026Q2,2026,20260522,1.1031,5331
BJ-US,2026-01-30,2026Q1,2026,20260305,0.9602,5331
BJ-US,2025-10-31,2025Q4,2025,20251121,1.1526,5331
BJ-US,2025-07-31,2025Q3,2025,20250822,1.1373,5331
BJ-US,2025-04-30,2025Q2,2025,20250522,1.1282,5331
BJ-US,2025-01-31,2025Q1,2025,20250306,0.9214,5331
BJ-US,2024-10-31,2024Q4,2024,20241121,1.1681,5331
BJ-US,2024-07-31,2024Q3,2024,20240822,1.0832,5331
BJ-US,2024-04-30,2024Q2,2024,20240523,0.8278,5331
BJ-US,2024-01-31,2024Q1,2024,20240307,1.0845,5331
BJ-US,2023-10-31,2023Q4,2023,20231117,0.9665,5331
BJ-US,2023-07-31,2023Q3,2023,20230822,0.9718,5331
