firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Greg Melich,Evercore ISI,1772,4.55,20260515,6,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Scott Bender,Cleveland Research Company,2295,4.4960046,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Michael Baker,DA Davidson,556,4.54,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Krisztina Katai,Deutsche Bank Research,77,4.499815,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Chuck Grom,Gordon Haskett,2467,4.4,20260511,10,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Edward Kelly,Wells Fargo Securities,596,4.5,20260511,10,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Jacob Aiken-Phillips,Melius Research,3130,4.57,20260311,71,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Oliver Chen,TD Cowen,917,4.54,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Chuck Cerankosky,Northcoast Research,1406,,20260312,70,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Phillip Blee,William Blair,198,4.55,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Christopher Graja,Argus Research,376,4.55,20260402,49,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Rupesh Parikh,Oppenheimer,498,4.5,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Robert Drbul,BTIG,1538,4.55,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-04-30,2026Q2,2026,20260522,20260521,Corey Tarlowe,Jefferies,512,4.4,20260305,77,1.1031,92.97,11871.565
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Greg Melich,Evercore ISI,1772,4.6,20251121,103,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Chuck Cerankosky,Northcoast Research,1406,,20260130,33,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Krisztina Katai,Deutsche Bank Research,77,4.57,20260227,5,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Edward Kelly,Wells Fargo Securities,596,4.65,20260226,6,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Scott Bender,Cleveland Research Company,2295,4.7908945,20260223,9,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Chuck Grom,Gordon Haskett,2467,4.55,20260209,23,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Jacob Aiken-Phillips,Melius Research,3130,4.64,20260206,26,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Corey Tarlowe,Jefferies,512,4.65,20260203,29,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Oliver Chen,TD Cowen,917,4.77,20260202,30,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Michael Baker,DA Davidson,556,4.91,20251121,103,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Robert Drbul,BTIG,1538,4.65,20251121,103,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Christopher Graja,Argus Research,376,4.68,20250613,264,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Scott Mushkin,R5 Capital,3399,4.68,20251202,92,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Rupesh Parikh,Oppenheimer,498,4.6,20251121,103,0.9602,99.19,12978.785
BJ-US,2026-01-30,2026Q1,2026,20260305,20260304,Phillip Blee,William Blair,198,4.72,20250306,363,0.9602,99.19,12978.785
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Greg Melich,Evercore ISI,1772,4.75,20250804,108,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Jacob Aiken-Phillips,Melius Research,3130,4.76,20250818,94,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Scott Bender,Cleveland Research Company,2295,4.7053723,20251114,6,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Edward Kelly,Wells Fargo Securities,596,4.5,20251111,9,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Chuck Grom,Gordon Haskett,2467,4.65,20251110,10,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Michael Baker,DA Davidson,556,4.81,20250807,105,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Corey Tarlowe,Jefferies,512,4.78,20250306,259,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Oliver Chen,TD Cowen,917,4.7,20251107,13,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Chuck Cerankosky,Northcoast Research,1406,,20250312,253,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Robert Drbul,BTIG,1538,4.6,20251009,42,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Scott Mushkin,R5 Capital,3399,4.62,20250828,84,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Christopher Graja,Argus Research,376,4.7,20250613,160,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Rupesh Parikh,Oppenheimer,498,4.7,20250822,90,1.1526,91.41,12043.576
BJ-US,2025-10-31,2025Q4,2025,20251121,20251120,Phillip Blee,William Blair,198,4.75,20250306,259,1.1526,91.41,12043.576
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Jacob Aiken-Phillips,Melius Research,3130,4.72,20241121,273,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Oliver Chen,TD Cowen,917,4.75,20250331,143,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Greg Melich,Evercore ISI,1772,4.75,20250804,17,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Chuck Grom,Gordon Haskett,2467,4.8,20250522,91,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Edward Kelly,Wells Fargo Securities,596,4.6,20250522,91,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Scott Bender,Cleveland Research Company,2295,4.6027246,20250812,9,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Michael Baker,DA Davidson,556,4.79,20250305,169,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Chuck Cerankosky,Northcoast Research,1406,,20250312,162,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Christopher Graja,Argus Research,376,4.7,20250613,69,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Scott Mushkin,R5 Capital,3399,4.7,20250319,155,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Corey Tarlowe,Jefferies,512,4.79,20250306,168,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Rupesh Parikh,Oppenheimer,498,4.65,20250226,176,1.1373,108.12,14277.322
BJ-US,2025-07-31,2025Q3,2025,20250822,20250821,Phillip Blee,William Blair,198,4.75,20250306,168,1.1373,108.12,14277.322
