analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Greg Melich,Evercore ISI,1772,BJ-US,2026Q2,2026,0.03707540066688179,11871.565,5331,20260515,6
Scott Bender,Cleveland Research Company,2295,BJ-US,2026Q2,2026,0.03649461761858664,11871.565,5331,20260305,77
Michael Baker,DA Davidson,556,BJ-US,2026Q2,2026,0.03696783908787781,11871.565,5331,20260305,77
Krisztina Katai,Deutsche Bank Research,77,BJ-US,2026Q2,2026,0.036535602882650314,11871.565,5331,20260305,77
Chuck Grom,Gordon Haskett,2467,BJ-US,2026Q2,2026,0.035461976981822095,11871.565,5331,20260511,10
Edward Kelly,Wells Fargo Securities,596,BJ-US,2026Q2,2026,0.036537592771861895,11871.565,5331,20260511,10
Jacob Aiken-Phillips,Melius Research,3130,BJ-US,2026Q2,2026,0.03729052382488975,11871.565,5331,20260311,71
Oliver Chen,TD Cowen,917,BJ-US,2026Q2,2026,0.03696783908787781,11871.565,5331,20260305,77
Chuck Cerankosky,Northcoast Research,1406,BJ-US,2026Q2,2026,,11871.565,5331,20260312,70
Phillip Blee,William Blair,198,BJ-US,2026Q2,2026,0.03707540066688179,11871.565,5331,20260305,77
Christopher Graja,Argus Research,376,BJ-US,2026Q2,2026,0.03707540066688179,11871.565,5331,20260402,49
Rupesh Parikh,Oppenheimer,498,BJ-US,2026Q2,2026,0.036537592771861895,11871.565,5331,20260305,77
Robert Drbul,BTIG,1538,BJ-US,2026Q2,2026,0.03707540066688179,11871.565,5331,20260305,77
Corey Tarlowe,Jefferies,512,BJ-US,2026Q2,2026,0.035461976981822095,11871.565,5331,20260305,77
Greg Melich,Evercore ISI,1772,BJ-US,2026Q1,2026,0.03669523137413046,12978.785,5331,20251121,103
Chuck Cerankosky,Northcoast Research,1406,BJ-US,2026Q1,2026,,12978.785,5331,20260130,33
Krisztina Katai,Deutsche Bank Research,77,BJ-US,2026Q1,2026,0.03639278153039621,12978.785,5331,20260227,5
Edward Kelly,Wells Fargo Securities,596,BJ-US,2026Q1,2026,0.037199314447020876,12978.785,5331,20260226,6
Scott Bender,Cleveland Research Company,2295,BJ-US,2026Q1,2026,0.03861976509728804,12978.785,5331,20260223,9
Chuck Grom,Gordon Haskett,2467,BJ-US,2026Q1,2026,0.036191148301240046,12978.785,5331,20260209,23
Jacob Aiken-Phillips,Melius Research,3130,BJ-US,2026Q1,2026,0.03709849783244278,12978.785,5331,20260206,26
Corey Tarlowe,Jefferies,512,BJ-US,2026Q1,2026,0.037199314447020876,12978.785,5331,20260203,29
Oliver Chen,TD Cowen,917,BJ-US,2026Q1,2026,0.03840911382195786,12978.785,5331,20260202,30
Michael Baker,DA Davidson,556,BJ-US,2026Q1,2026,0.03982054642605102,12978.785,5331,20251121,103
Robert Drbul,BTIG,1538,BJ-US,2026Q1,2026,0.037199314447020876,12978.785,5331,20251121,103
Christopher Graja,Argus Research,376,BJ-US,2026Q1,2026,0.037501764290755114,12978.785,5331,20250613,264
Scott Mushkin,R5 Capital,3399,BJ-US,2026Q1,2026,0.037501764290755114,12978.785,5331,20251202,92
Rupesh Parikh,Oppenheimer,498,BJ-US,2026Q1,2026,0.03669523137413046,12978.785,5331,20251121,103
Phillip Blee,William Blair,198,BJ-US,2026Q1,2026,0.037905030749067446,12978.785,5331,20250306,363
Greg Melich,Evercore ISI,1772,BJ-US,2025Q4,2025,0.03935455639426759,12043.576,5331,20250804,108
Jacob Aiken-Phillips,Melius Research,3130,BJ-US,2025Q4,2025,0.03946395361557816,12043.576,5331,20250818,94
Scott Bender,Cleveland Research Company,2295,BJ-US,2025Q4,2025,0.03886634175691937,12043.576,5331,20251114,6
Edward Kelly,Wells Fargo Securities,596,BJ-US,2025Q4,2025,0.03661962586150312,12043.576,5331,20251111,9
Chuck Grom,Gordon Haskett,2467,BJ-US,2025Q4,2025,0.0382605841811618,12043.576,5331,20251110,10
Michael Baker,DA Davidson,556,BJ-US,2025Q4,2025,0.04001093972213105,12043.576,5331,20250807,105
Corey Tarlowe,Jefferies,512,BJ-US,2025Q4,2025,0.039682748058199324,12043.576,5331,20250306,259
