firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
BJ-US,2026-04-30,2026Q2,2026,20260522,20260508,92.97,11871.565,11871.565,
BJ-US,2026-01-30,2026Q1,2026,20260305,20260219,99.19,12978.785,12978.785,
BJ-US,2025-10-31,2025Q4,2025,20251121,20251107,91.41,12043.576,12043.576,
BJ-US,2025-07-31,2025Q3,2025,20250822,20250808,108.12,14277.322,14277.322,
BJ-US,2025-04-30,2025Q2,2025,20250522,20250508,114.73,15150.293,15150.293,
BJ-US,2025-01-31,2025Q1,2025,20250306,20250220,103.6,13684.909,13684.909,
BJ-US,2024-10-31,2024Q4,2024,20241121,20241107,89.33,11843.868,11843.868,
BJ-US,2024-07-31,2024Q3,2024,20240822,20240808,84.22,11176.759,11176.759,
BJ-US,2024-04-30,2024Q2,2024,20240523,20240509,77.74,10336.4,10336.4,
BJ-US,2024-01-31,2024Q1,2024,20240307,20240222,69.44,9261.978,9261.978,
BJ-US,2023-10-31,2023Q4,2023,20231117,20231103,68.76,9195.382,9195.382,
BJ-US,2023-07-31,2023Q3,2023,20230822,20230808,68.35,9184.15,9184.15,
