analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Bill Katz,6,0.03314837388388326,-0.03314837388388326,-0.0024613096149015703,34.666666666666664,TD Cowen,917,1,-34.666666666666664,0.37703969203134713,0.7057650578666248,0.5296702429920129,0.5374916642966617,0.375,0.20155937411124814
Patrick Moley,6,0.032542261411667515,-0.032542261411667515,-0.0021152913506041183,63.833333333333336,Piper Sandler Companies,570,1,-63.833333333333336,0.7006875704630025,1.265310610386464,-0.6346167861020657,0.44379379824913356,0.375,0.1664226743434251
Chris Allen,1,0.03038836233942076,-0.03038836233942076,,15.0,Keefe Bruyette & Woods,525,1,-15.0,1.850812171166549,,1.3147323540383058,1.5827722626024274,0.09090909090909091,0.1438883875093116
Owen Lau,4,0.034417231157866136,-0.034417231157866136,-0.002048090765080476,46.75,Oppenheimer,498,1,-46.75,-0.30049621686669115,1.3739805640746858,0.04732275951018034,0.37360236890605836,0.2857142857142857,0.10674353397315953
Brian Bedell,10,0.03493077145570463,-0.03493077145570463,-0.0032327413707918407,20.0,Deutsche Bank Research,77,1,-20.0,-0.574713025633215,-0.5417159355352306,1.1151402919078923,-0.0004295564201844589,0.5,-0.00021477821009222944
Daniel T. Fannon,8,0.03365944164288221,-0.03365944164288221,-0.003494257397290798,34.375,Jefferies,512,1,-34.375,0.10414315299435625,-0.9646130616082069,0.5413131132829536,-0.10638559844363234,0.4444444444444444,-0.047282488197169924
Kevin Heal,5,0.03297578193213737,-0.03297578193213737,-0.0027023020852370272,86.6,Argus Research,376,1,-86.6,0.46919918647754133,0.3160565399051143,-1.5434259756692146,-0.252723416428853,0.3333333333333333,-0.08424113880961766
Ashish Sabadra,7,0.03335475954076361,-0.03335475954076361,-0.003495013006237781,48.714285714285715,RBC Capital Markets,1269,1,-48.714285714285715,0.2668352612532365,-0.9658349555639695,-0.03108840775533927,-0.2433627006886908,0.4117647058823529,-0.10020817087181384
Kyle Voigt,7,0.03632555951926889,-0.03632555951926889,-0.00281738503956544,41.142857142857146,Keefe Bruyette & Woods,525,1,-41.142857142857146,-1.3194926141213512,0.12995608825395205,0.27115100061357245,-0.3061285084179422,0.4117647058823529,-0.12605291523091738
Patrick O'Shaughnessy,11,0.03680221736430773,-0.03680221736430773,-0.003713348495620207,88.27272727272727,Raymond James,402,1,-88.27272727272727,-1.5740151777648066,-1.3189049077794335,-1.6101985928182985,-1.5010395594541794,0.5238095238095238,-0.7862588168569512
