firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
CME-US,2026-03-31,2026Q1,2026,20260422,3.1781,6200
CME-US,2025-12-31,2025Q4,2025,20260204,3.2424,6200
CME-US,2025-09-30,2025Q3,2025,20251022,2.4876,6200
CME-US,2025-06-30,2025Q2,2025,20250723,2.8089,6200
CME-US,2025-03-31,2025Q1,2025,20250423,2.6211,6200
CME-US,2024-12-31,2024Q4,2024,20250212,2.3988,6200
CME-US,2024-09-30,2024Q3,2024,20241023,2.5037,6200
CME-US,2024-06-28,2024Q2,2024,20240724,2.4234,6200
CME-US,2024-03-29,2024Q1,2024,20240424,2.3466,6200
CME-US,2023-12-29,2023Q4,2023,20240214,2.2361,6200
CME-US,2023-09-29,2023Q3,2023,20231025,2.06,6200
CME-US,2023-06-30,2023Q2,2023,20230726,2.1362,6200
