firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Patrick Moley,Piper Sandler Companies,570,12.43,20260413,8,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Simon Clinch,Rothschild & Co Redburn,1652,,20260413,8,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Daniel T. Fannon,Jefferies,512,12.220789,20260410,11,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Bill Katz,TD Cowen,917,12.35,20260408,13,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Brian Bedell,Deutsche Bank Research,77,12.43,20260407,14,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Chris Allen,Keefe Bruyette & Woods,525,12.38,20260406,15,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Patrick O'Shaughnessy,Raymond James,402,12.3468,20260402,19,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Ashish Sabadra,RBC Capital Markets,1269,11.75,20260204,76,3.1781,302.81,109725.08
CME-US,2026-03-31,2026Q1,2026,20260422,20260421,Kevin Heal,Argus Research,376,11.99,20260303,49,3.1781,302.81,109725.08
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Ashish Sabadra,RBC Capital Markets,1269,11.32,20260108,26,3.2424,279.07,100631.71
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Patrick Moley,Piper Sandler Companies,570,11.63,20260113,21,3.2424,279.07,100631.71
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Brian Bedell,Deutsche Bank Research,77,12.0,20260112,22,3.2424,279.07,100631.71
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Simon Clinch,Rothschild & Co Redburn,1652,,20260127,7,3.2424,279.07,100631.71
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Bill Katz,TD Cowen,917,11.88,20260113,21,3.2424,279.07,100631.71
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Daniel T. Fannon,Jefferies,512,11.6,20260109,25,3.2424,279.07,100631.71
CME-US,2025-12-31,2025Q4,2025,20260204,20260203,Kevin Heal,Argus Research,376,11.82,20251030,96,3.2424,279.07,100631.71
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Patrick Moley,Piper Sandler Companies,570,11.38,20250407,197,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Kyle Voigt,Keefe Bruyette & Woods,525,11.51,20250723,90,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Patrick O'Shaughnessy,Raymond James,402,11.7,20250307,228,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Daniel T. Fannon,Jefferies,512,11.47,20250711,102,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Simon Clinch,Rothschild & Co Redburn,1652,,20250609,134,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Brian Bedell,Deutsche Bank Research,77,11.23,20251008,13,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Bill Katz,TD Cowen,917,11.67,20251007,14,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Ashish Sabadra,RBC Capital Markets,1269,11.43,20251003,18,2.4876,264.94,95536.48
CME-US,2025-09-30,2025Q3,2025,20251022,20251021,Kevin Heal,Argus Research,376,12.14,20250505,169,2.4876,264.94,95536.48
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Simon Clinch,Rothschild & Co Redburn,1652,,20250609,43,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Ashish Sabadra,RBC Capital Markets,1269,11.7,20250618,34,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Patrick Moley,Piper Sandler Companies,570,11.38,20250407,106,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Owen Lau,Oppenheimer,498,11.5,20250603,49,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Kyle Voigt,Keefe Bruyette & Woods,525,11.66,20250423,90,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Daniel T. Fannon,Jefferies,512,11.37,20250711,11,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Brian Bedell,Deutsche Bank Research,77,11.45,20250709,13,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Bill Katz,TD Cowen,917,11.37,20250423,90,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Patrick O'Shaughnessy,Raymond James,402,11.8,20250423,90,2.8089,275.64,99334.336
CME-US,2025-06-30,2025Q2,2025,20250723,20250722,Kevin Heal,Argus Research,376,12.07,20250505,78,2.8089,275.64,99334.336
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Bill Katz,TD Cowen,917,11.63,20250408,14,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Kyle Voigt,Keefe Bruyette & Woods,525,11.35,20250408,14,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Daniel T. Fannon,Jefferies,512,10.85,20250219,62,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Owen Lau,Oppenheimer,498,11.16,20250409,13,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Patrick Moley,Piper Sandler Companies,570,11.32,20250407,15,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Brian Bedell,Deutsche Bank Research,77,11.568264,20250407,15,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Simon Clinch,Rothschild & Co Redburn,1652,,20250402,20,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Patrick O'Shaughnessy,Raymond James,402,11.65,20250307,46,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Ashish Sabadra,RBC Capital Markets,1269,11.59,20250401,21,2.6211,255.03,91907.6
CME-US,2025-03-31,2025Q1,2025,20250423,20250422,Kevin Heal,Argus Research,376,11.55,20250312,41,2.6211,255.03,91907.6
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Brian Bedell,Deutsche Bank Research,77,10.66,20250106,36,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Patrick Moley,Piper Sandler Companies,570,10.74,20250106,36,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Bill Katz,TD Cowen,917,10.91,20241217,56,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Kyle Voigt,Keefe Bruyette & Woods,525,11.12,20241219,54,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Owen Lau,Oppenheimer,498,10.76,20241023,111,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Simon Clinch,Rothschild & Co Redburn,1652,,20241209,64,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Daniel T. Fannon,Jefferies,512,10.55,20250107,35,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Patrick O'Shaughnessy,Raymond James,402,11.1,20250103,39,2.3988,232.5,83783.484
CME-US,2024-12-31,2024Q4,2024,20250212,20250211,Ashish Sabadra,RBC Capital Markets,1269,10.95,20240925,139,2.3988,232.5,83783.484
