analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Patrick Moley,Piper Sandler Companies,570,CME-US,2026Q1,2026,0.030553482381691487,109725.08,6200,20260413,8
Simon Clinch,Rothschild & Co Redburn,1652,CME-US,2026Q1,2026,,109725.08,6200,20260413,8
Daniel T. Fannon,Jefferies,512,CME-US,2026Q1,2026,0.02986258379842145,109725.08,6200,20260410,11
Bill Katz,TD Cowen,917,CME-US,2026Q1,2026,0.030289290314058318,109725.08,6200,20260408,13
Brian Bedell,Deutsche Bank Research,77,CME-US,2026Q1,2026,0.030553482381691487,109725.08,6200,20260407,14
Chris Allen,Keefe Bruyette & Woods,525,CME-US,2026Q1,2026,0.03038836233942076,109725.08,6200,20260406,15
Patrick O'Shaughnessy,Raymond James,402,CME-US,2026Q1,2026,0.03027872263135299,109725.08,6200,20260402,19
Ashish Sabadra,RBC Capital Markets,1269,CME-US,2026Q1,2026,0.02830784980680955,109725.08,6200,20260204,76
Kevin Heal,Argus Research,376,CME-US,2026Q1,2026,0.02910042600970906,109725.08,6200,20260303,49
Ashish Sabadra,RBC Capital Markets,1269,CME-US,2025Q4,2025,0.028944709212742326,100631.71,6200,20260108,26
Patrick Moley,Piper Sandler Companies,570,CME-US,2025Q4,2025,0.030055541620381987,100631.71,6200,20260113,21
Brian Bedell,Deutsche Bank Research,77,CME-US,2025Q4,2025,0.03138137384885513,100631.71,6200,20260112,22
Simon Clinch,Rothschild & Co Redburn,1652,CME-US,2025Q4,2025,,100631.71,6200,20260127,7
Bill Katz,TD Cowen,917,CME-US,2025Q4,2025,0.030951374207188163,100631.71,6200,20260113,21
Daniel T. Fannon,Jefferies,512,CME-US,2025Q4,2025,0.02994804170996524,100631.71,6200,20260109,25
Kevin Heal,Argus Research,376,CME-US,2025Q4,2025,0.03073637438635468,100631.71,6200,20251030,96
Patrick Moley,Piper Sandler Companies,570,CME-US,2025Q3,2025,0.03356382577187288,95536.48,6200,20250407,197
Kyle Voigt,Keefe Bruyette & Woods,525,CME-US,2025Q3,2025,0.03405450290631841,95536.48,6200,20250723,90
Patrick O'Shaughnessy,Raymond James,402,CME-US,2025Q3,2025,0.034771646410508034,95536.48,6200,20250307,228
Daniel T. Fannon,Jefferies,512,CME-US,2025Q3,2025,0.03390352532648902,95536.48,6200,20250711,102
Simon Clinch,Rothschild & Co Redburn,1652,CME-US,2025Q3,2025,,95536.48,6200,20250609,134
Brian Bedell,Deutsche Bank Research,77,CME-US,2025Q3,2025,0.03299765984751264,95536.48,6200,20251008,13
Bill Katz,TD Cowen,917,CME-US,2025Q3,2025,0.03465841322563599,95536.48,6200,20251007,14
Ashish Sabadra,RBC Capital Markets,1269,CME-US,2025Q3,2025,0.03375254774665962,95536.48,6200,20251003,18
Kevin Heal,Argus Research,376,CME-US,2025Q3,2025,0.03643239978863139,95536.48,6200,20250505,169
