firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
CME-US,2026-03-31,2026Q1,2026,20260422,20260408,302.81,109725.08,109725.08,"%FQL-E-ERROR, The value 20260408 is not valid.

"
CME-US,2025-12-31,2025Q4,2025,20260204,20260121,279.07,100631.71,100631.71,"%FQL-E-ERROR, The value 20260121 is not valid.

"
CME-US,2025-09-30,2025Q3,2025,20251022,20251008,264.94,95536.48,95536.48,"%FQL-E-ERROR, The value 20251008 is not valid.

"
CME-US,2025-06-30,2025Q2,2025,20250723,20250709,275.64,99334.336,99334.336,"%FQL-E-ERROR, The value 20250709 is not valid.

"
CME-US,2025-03-31,2025Q1,2025,20250423,20250408,255.03,91907.6,91907.6,"%FQL-E-ERROR, The value 20250408 is not valid.

"
CME-US,2024-12-31,2024Q4,2024,20250212,20250129,232.5,83783.484,83783.484,"%FQL-E-ERROR, The value 20250129 is not valid.

"
CME-US,2024-09-30,2024Q3,2024,20241023,20241009,221.46,79805.125,79805.125,"%FQL-E-ERROR, The value 20241009 is not valid.

"
CME-US,2024-06-28,2024Q2,2024,20240724,20240710,193.58,69706.92,69706.92,"%FQL-E-ERROR, The value 20240710 is not valid.

"
CME-US,2024-03-29,2024Q1,2024,20240424,20240410,212.0,76325.34,76325.34,"%FQL-E-ERROR, The value 20240410 is not valid.

"
CME-US,2023-12-29,2023Q4,2023,20240214,20240131,205.84,74100.305,74100.305,"%FQL-E-ERROR, The value 20240131 is not valid.

"
CME-US,2023-09-29,2023Q3,2023,20231025,20231011,217.1,78100.91,78100.91,"%FQL-E-ERROR, The value 20231011 is not valid.

"
CME-US,2023-06-30,2023Q2,2023,20230726,20230712,181.31,65219.836,65219.836,"%FQL-E-ERROR, The value 20230712 is not valid.

"
