analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Steven Gojak,9,0.023707675769787925,-0.023707675769787925,-0.0022741116201313335,40.333333333333336,Cleveland Research Company,2295,1,-40.333333333333336,0.6879933260860911,0.21516900839484737,1.214443981928882,0.7058687721366068,0.47368421052631576,0.3343588920647085,0.023317025237124908,21.28143011122926,0.09326810094849963,5.626805698985089e-05,-7.218013369511409e-05,0.0003415373417251949,-0.00011429288910918338,,,9,0.704346189740006,-0.19292652683681488,0.48116994739325136,0.22792260665996117
David Palmer,6,0.02450343560050704,-0.02450343560050704,-0.0019051985934047245,31.5,Evercore ISI,1772,1,-31.5,0.05681452062918607,0.6038827550004532,1.601388803113213,0.7540286929142841,0.375,0.28276075984285653,0.023808994260123464,13.382675566804846,0.09523597704049386,-5.945746073086948e-06,-7.471849039354905e-06,0.0002789331813518725,-3.61370476514258e-05,,,6,0.8831673122509691,0.1267026235390877,0.597197175570485,0.22394894083893188
Brian Vaccaro,6,0.022874640668652937,-0.022874640668652937,-0.0020054916879621775,42.833333333333336,Raymond James,402,1,-42.833333333333336,1.3487380379206941,0.49820661531512633,1.1049312966880336,0.983958649974618,0.375,0.36898449374048176,0.022370709856616898,10.307010914927824,0.08948283942646759,6.18305036674365e-05,0.00018561644931558828,0.00034835853150534495,-0.0002377598867281759,,,6,0.8430717988701311,-0.8077416207137964,0.5360335823025144,0.2010125933634429
Zachary Fadem,7,0.024358685023881298,-0.024358685023881298,-0.0022151707679722616,36.42857142857143,Wells Fargo Securities,596,1,-36.42857142857143,0.17162742336300565,0.2772734010593514,1.3854923664955405,0.6114643969726324,0.4117647058823529,0.2517794575769663,0.023625752730810676,8.822553392466,0.0945030109232427,2.364451583965866e-05,4.602134401606238e-05,0.00033486803121560654,-9.287879527284973e-05,,,7,0.6548039961765151,0.007651765477238604,0.460511239098784,0.1896222749230287
Nick Setyan,4,0.024861598306165664,-0.024861598306165664,-0.0012298103037602635,49.0,Mizuho Securities USA,1802,2,-49.0,-0.22727208438646593,1.315521253675118,0.8348000064272745,0.6410163919053088,0.2857142857142857,0.18314754054437393,,,,,,,,,,4,,,0.6410163919053088,0.18314754054437393
Jake Bartlett,4,0.023731090408968765,-0.023731090408968765,-0.002186236506333762,51.5,Truist Securities,852,1,-51.5,0.669421360754527,0.30776065532240815,0.7252873211864261,0.5674897790877871,0.2857142857142857,0.16213993688222486,,,,,,,,,,4,,,0.5674897790877871,0.16213993688222486
Gregory Paul Francfort,9,0.02165568411571568,-0.02165568411571568,-0.002395093124856531,65.66666666666667,Guggenheim Securities,1515,1,-65.66666666666667,2.3155869680702943,0.08769404664304725,0.10471543815495195,0.8359988176227645,0.47368421052631576,0.39599943992657266,0.0216587394140177,16.973994177665798,0.0866349576560708,-3.742018609667351e-05,0.0001101489818179776,0.00029809688200560204,-3.0108999646135648e-05,,,9,0.6384937466162319,-1.2703042964565032,0.30942303910294755,0.14656880799613303
Lynne Collier,3,0.025303183132563373,-0.025303183132563373,-0.0005289285399602261,60.666666666666664,Freedom Capital Markets,3772,1,-60.666666666666664,-0.5775272398668915,2.0540215412677196,0.32374080863664895,0.6000783700124923,0.23076923076923078,0.1384796238490367,,,,,,,,,,3,,,0.6000783700124923,0.1384796238490367
Sarang Vora,2,0.025311483906164757,-0.025311483906164757,-0.000714048008728858,54.0,Telsey Advisory Group,2252,1,-54.0,-0.5841112268486858,1.8589661296624775,0.6157746359455778,0.6302098462531232,0.16666666666666666,0.10503497437552052,,,,,,,,,,2,,,0.6302098462531232,0.10503497437552052
Logan Reich,6,0.024340221896338127,-0.024340221896338127,-0.0019625843257397874,51.5,RBC Capital Markets,1269,1,-51.5,0.18627196099588114,0.5434169503212393,0.7252873211864261,0.4849920775011822,0.375,0.1818720290629433,0.022981898340399706,9.494098172788133,0.09192759336159882,0.00010856188378415748,-0.00017948533835397494,0.0003268569140036982,8.875518336329765e-05,,,6,0.7961755022641578,-0.4106563436767335,0.26107997220670326,0.09790498957751373
Jeff Farmer,9,0.02250234537452339,-0.02250234537452339,-0.002456624976648956,66.44444444444444,Gordon Haskett,2467,1,-66.44444444444444,1.6440342943471609,0.022859587263710963,0.0706448249689105,0.5791795688599274,0.47368421052631576,0.2743482168283866,0.02216921533212604,19.785120488723447,0.08867686132850416,6.064522162888926e-05,4.264416560141774e-05,0.00039580628813166735,-9.473220634638684e-05,,,9,0.7350231783472927,-0.9386513338414014,0.1997218431845952,0.09460508361375562
Eric Gonzalez,3,0.023508806546369703,-0.023508806546369703,-0.0023818252907218127,65.0,KeyBanc Capital Markets,618,1,-65.0,0.8457319226244759,0.10167400707331443,0.13391882088584503,0.3604415835278785,0.23076923076923078,0.08317882696797196,,,,,,,,,,3,,,0.3604415835278785,0.08317882696797196
Brian Mullan,8,0.02380400520074521,-0.02380400520074521,-0.002685212492788426,80.25,Piper Sandler Companies,570,1,-80.25,0.6115869873707799,-0.21799693822756938,-0.5341085590833299,-0.04683950331337313,0.4444444444444444,-0.020817557028165835,0.024790750848913964,12.66059755777794,0.09916300339565585,-0.00030176113243291674,0.00016975156865099502,0.00016308560431690713,-0.000282785524987135,,,8,0.7891156794437215,0.7645436453954019,0.15600628386382062,0.06933612616169806
