firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
CMG-US,2026-03-31,2026Q1,2026,20260429,0.2326,5812
CMG-US,2025-12-31,2025Q4,2025,20260203,0.2507,5812
CMG-US,2025-09-30,2025Q3,2025,20251029,0.2852,5812
CMG-US,2025-06-30,2025Q2,2025,20250723,0.323,5812
CMG-US,2025-03-31,2025Q1,2025,20250423,0.2841,5812
CMG-US,2024-12-31,2024Q4,2024,20250204,0.2424,5812
CMG-US,2024-09-30,2024Q3,2024,20241029,0.2818,5812
CMG-US,2024-06-28,2024Q2,2024,20240724,0.3298,5812
CMG-US,2024-03-29,2024Q1,2024,20240424,0.2601,5812
CMG-US,2023-12-29,2023Q4,2023,20240206,0.2043,5812
CMG-US,2023-09-29,2023Q3,2023,20231026,0.2263,5812
CMG-US,2023-06-30,2023Q2,2023,20230726,0.2464,5812
