firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Sarang Vora,Telsey Advisory Group,2252,1.15,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,David Palmer,Evercore ISI,1772,1.15,20260423,5,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Danilo Gargiulo,Bernstein Research,1140,,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Steven Gojak,Cleveland Research Company,2295,1.1255789,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Nick Setyan,Mizuho Securities USA,1802,1.12,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Chris Luyckx,Rothschild & Co Redburn,1652,,20260303,56,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Peter Saleh,BTIG,1538,1.1067,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Jeff Farmer,Gordon Haskett,2467,1.14,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Chris O'Cull,Stifel Nicolaus,548,1.15,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Jim Salera,Stephens Inc,472,1.15,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Brian Vaccaro,Raymond James,402,1.0714,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Jacob Aiken-Phillips,Melius Research,3130,1.13,20260209,78,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Christopher Carril,KeyBanc Capital Markets,618,1.17,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Matt Curtis,DA Davidson,556,1.18,20260303,56,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Zachary Fadem,Wells Fargo Securities,596,1.1526933,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Sharon Zackfia,William Blair,198,1.11,20260204,83,0.2326,35.25,45910.41
CMG-US,2026-03-31,2026Q1,2026,20260429,20260428,Logan Reich,RBC Capital Markets,1269,1.13,20260406,22,0.2326,35.25,45910.41
