analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Sarang Vora,Telsey Advisory Group,2252,CMG-US,2026Q1,2026,0.026025531914893613,45910.41,5812,20260204,83
David Palmer,Evercore ISI,1772,CMG-US,2026Q1,2026,0.026025531914893613,45910.41,5812,20260423,5
Danilo Gargiulo,Bernstein Research,1140,CMG-US,2026Q1,2026,,45910.41,5812,20260204,83
Steven Gojak,Cleveland Research Company,2295,CMG-US,2026Q1,2026,0.02533273475177305,45910.41,5812,20260204,83
Nick Setyan,Mizuho Securities USA,1802,CMG-US,2026Q1,2026,0.025174468085106386,45910.41,5812,20260204,83
Chris Luyckx,Rothschild & Co Redburn,1652,CMG-US,2026Q1,2026,,45910.41,5812,20260303,56
Peter Saleh,BTIG,1538,CMG-US,2026Q1,2026,0.024797163120567376,45910.41,5812,20260204,83
Jeff Farmer,Gordon Haskett,2467,CMG-US,2026Q1,2026,0.025741843971631203,45910.41,5812,20260204,83
Chris O'Cull,Stifel Nicolaus,548,CMG-US,2026Q1,2026,0.026025531914893613,45910.41,5812,20260204,83
Jim Salera,Stephens Inc,472,CMG-US,2026Q1,2026,0.026025531914893613,45910.41,5812,20260204,83
Brian Vaccaro,Raymond James,402,CMG-US,2026Q1,2026,0.02379574468085106,45910.41,5812,20260204,83
Jacob Aiken-Phillips,Melius Research,3130,CMG-US,2026Q1,2026,0.02545815602836879,45910.41,5812,20260209,78
Christopher Carril,KeyBanc Capital Markets,618,CMG-US,2026Q1,2026,0.026592907801418438,45910.41,5812,20260204,83
Matt Curtis,DA Davidson,556,CMG-US,2026Q1,2026,0.026876595744680848,45910.41,5812,20260303,56
Zachary Fadem,Wells Fargo Securities,596,CMG-US,2026Q1,2026,0.02610193758865248,45910.41,5812,20260204,83
Sharon Zackfia,William Blair,198,CMG-US,2026Q1,2026,0.024890780141843975,45910.41,5812,20260204,83
Logan Reich,RBC Capital Markets,1269,CMG-US,2026Q1,2026,0.02545815602836879,45910.41,5812,20260406,22
Andrew M. Charles,TD Cowen,917,CMG-US,2026Q1,2026,0.02531914893617021,45910.41,5812,20260204,83
Lauren Silberman,Deutsche Bank Research,77,CMG-US,2026Q1,2026,0.02557225531914894,45910.41,5812,20260413,15
Mark Kalinowski,Kalinowski Equity Research,3202,CMG-US,2026Q1,2026,0.025174468085106386,45910.41,5812,20260204,83
Brian Bittner,Oppenheimer,498,CMG-US,2026Q1,2026,0.02460709219858156,45910.41,5812,20260204,83
Lynne Collier,Freedom Capital Markets,3772,CMG-US,2026Q1,2026,0.026025531914893613,45910.41,5812,20260204,83
Gregory Paul Francfort,Guggenheim Securities,1515,CMG-US,2026Q1,2026,0.025174468085106386,45910.41,5812,20260204,83
Jim Sanderson,Northcoast Research,1406,CMG-US,2026Q1,2026,,45910.41,5812,20260204,83
Alton Stump,Loop Capital Markets,1009,CMG-US,2026Q1,2026,0.026025531914893613,45910.41,5812,20260204,83
Brian Mullan,Piper Sandler Companies,570,CMG-US,2026Q1,2026,0.026876595744680848,45910.41,5812,20260204,83
Andy Barish,Jefferies,512,CMG-US,2026Q1,2026,0.025741843971631203,45910.41,5812,20260204,83
John Staszak,Argus Research,376,CMG-US,2026Q1,2026,0.027443971631205672,45910.41,5812,20260204,83
Andrew Strelzik,BMO Capital Markets,181,CMG-US,2026Q1,2026,0.024890780141843975,45910.41,5812,20260204,83
Danilo Gargiulo,Bernstein Research,1140,CMG-US,2025Q4,2025,,51568.84,5812,20260102,31
Brian Bittner,Oppenheimer,498,CMG-US,2025Q4,2025,0.024597435897435897,51568.84,5812,20251030,95
Lauren Silberman,Deutsche Bank Research,77,CMG-US,2025Q4,2025,0.024084615384615385,51568.84,5812,20251231,33
Jim Salera,Stephens Inc,472,CMG-US,2025Q4,2025,0.024597435897435897,51568.84,5812,20251030,95
Jim Sanderson,Northcoast Research,1406,CMG-US,2025Q4,2025,,51568.84,5812,20251030,95
Andrew M. Charles,TD Cowen,917,CMG-US,2025Q4,2025,0.02332820512820513,51568.84,5812,20251030,95
Sharon Zackfia,William Blair,198,CMG-US,2025Q4,2025,0.02421794871794872,51568.84,5812,20260123,10
Jacob Aiken-Phillips,Melius Research,3130,CMG-US,2025Q4,2025,0.025110256410256413,51568.84,5812,20251110,84
Alton Stump,Loop Capital Markets,1009,CMG-US,2025Q4,2025,0.025623076923076925,51568.84,5812,20251030,95
Brian Mullan,Piper Sandler Companies,570,CMG-US,2025Q4,2025,0.02587948717948718,51568.84,5812,20251030,95
Logan Reich,RBC Capital Markets,1269,CMG-US,2025Q4,2025,0.02305897435897436,51568.84,5812,20251030,95
Eric Gonzalez,KeyBanc Capital Markets,618,CMG-US,2025Q4,2025,0.02536666666666667,51568.84,5812,20251030,95
Zachary Fadem,Wells Fargo Securities,596,CMG-US,2025Q4,2025,0.02434102564102564,51568.84,5812,20260121,12
Brian Vaccaro,Raymond James,402,CMG-US,2025Q4,2025,0.023315384615384616,51568.84,5812,20260120,13
