firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
CMG-US,2026-03-31,2026Q1,2026,20260429,20260415,35.25,45910.41,45910.41,
CMG-US,2025-12-31,2025Q4,2025,20260203,20260120,39.0,51568.84,51568.84,
CMG-US,2025-09-30,2025Q3,2025,20251029,20251015,41.77,56008.766,56008.766,
CMG-US,2025-06-30,2025Q2,2025,20250723,20250709,55.94,75371.54,75371.54,
CMG-US,2025-03-31,2025Q1,2025,20250423,20250408,45.98,62318.395,62318.395,
CMG-US,2024-12-31,2024Q4,2024,20250204,20250121,56.2,76577.73,76577.73,
CMG-US,2024-09-30,2024Q3,2024,20241029,20241015,59.81,81908.36,81908.36,
CMG-US,2024-06-28,2024Q2,2024,20240724,20240710,58.3,80066.305,80066.305,
CMG-US,2024-03-29,2024Q1,2024,20240424,20240410,59.313797,81322.69,81322.69,
CMG-US,2023-12-29,2023Q4,2023,20240206,20240123,46.4364,63721.563,63721.563,
CMG-US,2023-09-29,2023Q3,2023,20231026,20231012,35.8736,49483.348,49483.348,
CMG-US,2023-06-30,2023Q2,2023,20230726,20230712,41.52,57276.508,57276.508,
