analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Ralph M. Profiti,4,0.028816953749776084,-0.028816953749776084,-0.004108561078086777,20.5,Stifel Canada,416,1,-20.5,1.8785469097515872,1.7478401791770886,0.8692165791773692,1.4985345560353485,0.2857142857142857,0.4281527302958138
Sam Crittenden,9,0.039877884060054186,-0.039877884060054186,-0.01150489397499457,23.77777777777778,RBC Capital Markets,1269,1,-23.77777777777778,0.7596059155420425,0.16611282709071148,0.7456135536466123,0.5571107654264554,0.47368421052631576,0.263894573096742
Katja Jancic,9,0.04704190234717222,-0.04704190234717222,-0.009136822508461553,20.333333333333332,BMO Capital Markets,181,1,-20.333333333333332,0.03488263098482669,0.6725318137045406,0.875501478780628,0.5276386411566651,0.47368421052631576,0.24993409317947296
Brian Macarthur,5,0.041870029355815956,-0.041870029355815956,-0.008977778658148897,44.4,Raymond James,402,1,-44.4,0.5580773844583404,0.7065438047448347,-0.03203802392994556,0.4108610550910765,0.3333333333333333,0.13695368503035882
Timna Tanners,3,0.04853705816501557,-0.04853705816501557,-0.010508764587216175,18.0,Wells Fargo Securities,596,1,-18.0,-0.11636966790735966,0.3791380006229712,0.9634900732262515,0.40875280198062103,0.23076923076923078,0.09432756968783562
Vitaly Kononov,2,0.05148908398149446,-0.05148908398149446,-0.013442443482764379,38.0,Freedom Broker,3713,1,-38.0,-0.41500121239451415,-0.24823778356693768,0.20930212083519306,-0.15131229170875293,0.16666666666666666,-0.025218715284792154
Hans Lund,2,0.05663209529910221,-0.05663209529910221,-0.007652881469096037,73.0,Clarksons Securities,1728,1,-73.0,-0.9352762738518234,0.9898769310165565,-1.1105267958491591,-0.35197537956147534,0.16666666666666666,-0.05866256326024589
Christopher LaFemina,9,0.05359934323486128,-0.05359934323486128,-0.013997471206649697,27.11111111111111,Jefferies,512,1,-27.11111111111111,-0.6284783359966779,-0.36693208035861935,0.6199155615814359,-0.12516495159128713,0.47368421052631576,-0.05928866128008337
Yijie Wu,2,0.06993272812677334,-0.06993272812677334,-0.009840116478286014,50.5,Haitong International Research,2898,1,-50.5,-2.2807890745229504,0.5221303479871399,-0.2620653494092184,-0.6735746919816763,0.16666666666666666,-0.11226244866361271
Tingshuai Feng,6,0.046235856987851015,-0.046235856987851015,-0.016342997512631952,48.166666666666664,China International Capital,898,1,-48.166666666666664,0.11642343907569512,-0.8685297186641232,-0.17407675496359484,-0.30872767818400765,0.375,-0.11577287931900287
Liam Fitzpatrick,10,0.05552912835386222,-0.05552912835386222,-0.016059441638867418,22.7,Deutsche Bank Research,77,1,-22.7,-0.8236984141540467,-0.8078904684262621,0.7862559044143528,-0.28177765938865196,0.5,-0.14088882969432598
Roald Ross,4,0.04010520698664303,-0.04010520698664303,-0.02041387520927093,59.25,Clarksons Securities,1728,1,-59.25,0.7366095730691509,-1.7390987816742858,-0.5920225785803065,-0.5315039290618139,0.2857142857142857,-0.15185826544623252
Alexandra Yates,5,0.0436845904603231,-0.0436845904603231,-0.009989445258138096,114.8,Argus Research,376,1,-114.8,0.37451354765841893,0.4901959530865981,-2.6867796163464712,-0.6073567052004848,0.3333333333333333,-0.20245223506682825
Orest Wowkodaw,12,0.040062265724115254,-0.040062265724115254,-0.019967691172793484,49.166666666666664,Scotiabank GBM,810,1,-49.166666666666664,0.7409535782873009,-1.6436810247402067,-0.21178615258314776,-0.37150453301201786,0.5454545454545454,-0.20263883618837336
