analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Ralph M. Profiti,4,0.028816953749776084,-0.028816953749776084,-0.004108561078086777,20.5,Stifel Canada,416,1,-20.5,1.8785469097515872,1.7478401791770886,0.8692165791773692,1.4985345560353485,0.2857142857142857,0.4281527302958138,,,,,,,,,,4,,,1.4985345560353485,0.4281527302958138
Sam Crittenden,9,0.039877884060054186,-0.039877884060054186,-0.01150489397499457,23.77777777777778,RBC Capital Markets,1269,1,-23.77777777777778,0.7596059155420425,0.16611282709071148,0.7456135536466123,0.5571107654264554,0.47368421052631576,0.263894573096742,0.0492755935591676,7.72973367712991,0.1971023742366704,-0.0028000397776677395,0.0006950265313931101,-0.001591792751968588,0.0006053594452563183,,,9,0.6089504472968954,-0.2882747031523922,0.34576439828174355,0.1637831360281943
Brian Macarthur,5,0.041870029355815956,-0.041870029355815956,-0.008977778658148897,44.4,Raymond James,402,1,-44.4,0.5580773844583404,0.7065438047448347,-0.03203802392994556,0.4108610550910765,0.3333333333333333,0.13695368503035882,,,,,,,,,,5,,,0.4108610550910765,0.13695368503035882
Katja Jancic,9,0.04704190234717222,-0.04704190234717222,-0.009136822508461553,20.333333333333332,BMO Capital Markets,181,1,-20.333333333333332,0.03488263098482669,0.6725318137045406,0.875501478780628,0.5276386411566651,0.47368421052631576,0.24993409317947296,0.04785502176309779,8.280072654657383,0.19142008705239116,0.0003214669629848147,-0.0005760283128855768,0.000490895153190095,-0.0012383701922264278,,,9,0.4903656033884014,-0.4865668045056758,0.27408727974107994,0.1298308167194589
Liam Fitzpatrick,10,0.05552912835386222,-0.05552912835386222,-0.016059441638867418,22.7,Deutsche Bank Research,77,1,-22.7,-0.8236984141540467,-0.8078904684262621,0.7862559044143528,-0.28177765938865196,0.5,-0.14088882969432598,0.06433056391319683,6.4557331110622025,0.2573222556527873,-0.0013550306562764842,-0.000881856274838447,-0.0011787486334886113,-0.0013204059316230888,,,10,0.379835267633551,1.8131901545696898,0.24196429410093348,0.12098214705046674
Timna Tanners,3,0.04853705816501557,-0.04853705816501557,-0.010508764587216175,18.0,Wells Fargo Securities,596,1,-18.0,-0.11636966790735966,0.3791380006229712,0.9634900732262515,0.40875280198062103,0.23076923076923078,0.09432756968783562,,,,,,,,,,3,,,0.40875280198062103,0.09432756968783562
Christopher LaFemina,9,0.05359934323486128,-0.05359934323486128,-0.013997471206649697,27.11111111111111,Jefferies,512,1,-27.11111111111111,-0.6284783359966779,-0.36693208035861935,0.6199155615814359,-0.12516495159128713,0.47368421052631576,-0.05928866128008337,0.05338298826006977,5.355282679461475,0.21353195304027908,-0.00031811892311043384,-0.0015402854961631953,-0.0010413581800498572,-4.9815003909341705e-05,,,9,0.3540421743048707,0.2850605753478217,-0.022608569856509914,-0.010709322563609958
Vitaly Kononov,2,0.05148908398149446,-0.05148908398149446,-0.013442443482764379,38.0,Freedom Broker,3713,1,-38.0,-0.41500121239451415,-0.24823778356693768,0.20930212083519306,-0.15131229170875293,0.16666666666666666,-0.025218715284792154,,,,,,,,,,2,,,-0.15131229170875293,-0.025218715284792154
Hans Lund,2,0.05663209529910221,-0.05663209529910221,-0.007652881469096037,73.0,Clarksons Securities,1728,1,-73.0,-0.9352762738518234,0.9898769310165565,-1.1105267958491591,-0.35197537956147534,0.16666666666666666,-0.05866256326024589,,,,,,,,,,2,,,-0.35197537956147534,-0.05866256326024589
Tingshuai Feng,6,0.046235856987851015,-0.046235856987851015,-0.016342997512631952,48.166666666666664,China International Capital,898,1,-48.166666666666664,0.11642343907569512,-0.8685297186641232,-0.17407675496359484,-0.30872767818400765,0.375,-0.11577287931900287,0.04994343312914115,2.8530954279932046,0.1997737325165646,-0.0015112576471445923,-0.003538236105974537,-0.00298892311546922,0.002377799307740522,,,6,0.8462874132771666,-0.1950535706032978,-0.2803091512888302,-0.10511593173331132
Yijie Wu,2,0.06993272812677334,-0.06993272812677334,-0.009840116478286014,50.5,Haitong International Research,2898,1,-50.5,-2.2807890745229504,0.5221303479871399,-0.2620653494092184,-0.6735746919816763,0.16666666666666666,-0.11226244866361271,,,,,,,,,,2,,,-0.6735746919816763,-0.11226244866361271
Roald Ross,4,0.04010520698664303,-0.04010520698664303,-0.02041387520927093,59.25,Clarksons Securities,1728,1,-59.25,0.7366095730691509,-1.7390987816742858,-0.5920225785803065,-0.5315039290618139,0.2857142857142857,-0.15185826544623252,,,,,,,,,,4,,,-0.5315039290618139,-0.15185826544623252
Alexandra Yates,5,0.0436845904603231,-0.0436845904603231,-0.009989445258138096,114.8,Argus Research,376,1,-114.8,0.37451354765841893,0.4901959530865981,-2.6867796163464712,-0.6073567052004848,0.3333333333333333,-0.20245223506682825,,,,,,,,,,5,,,-0.6073567052004848,-0.20245223506682825
Orest Wowkodaw,12,0.040062265724115254,-0.040062265724115254,-0.019967691172793484,49.166666666666664,Scotiabank GBM,810,1,-49.166666666666664,0.7409535782873009,-1.6436810247402067,-0.21178615258314776,-0.37150453301201786,0.5454545454545454,-0.20263883618837336,0.043257223217053935,4.014949988443069,0.17302889286821574,-0.00010107817463256578,-0.00027658753507642274,5.370120510941268e-05,-0.0019479672484933913,,,12,0.16981439149123834,-1.1283556516561408,-0.5607173126730486,-0.30584580691257196
