firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
FCX-US,2026-03-31,2026Q1,2026,20260423,0.6053,1000
FCX-US,2025-12-31,2025Q4,2025,20260122,0.2814,1000
FCX-US,2025-09-30,2025Q3,2025,20251023,0.4622,1000
FCX-US,2025-06-30,2025Q2,2025,20250723,0.5308,1000
FCX-US,2025-03-31,2025Q1,2025,20250424,0.2396,1000
FCX-US,2024-12-31,2024Q4,2024,20250123,0.1896,1000
FCX-US,2024-09-30,2024Q3,2024,20241022,0.3601,1000
FCX-US,2024-06-28,2024Q2,2024,20240723,0.4222,1000
FCX-US,2024-03-29,2024Q1,2024,20240423,0.3241,1000
FCX-US,2023-12-29,2023Q4,2023,20240124,0.268,1000
FCX-US,2023-09-29,2023Q3,2023,20231019,0.3112,1000
FCX-US,2023-06-30,2023Q2,2023,20230720,0.2344,1000
