firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Katja Jancic,BMO Capital Markets,181,3.19,20260407,15,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Timna Tanners,Wells Fargo Securities,596,2.85,20260414,8,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Orest Wowkodaw,Scotiabank GBM,810,2.36,20260413,9,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Martin W. Malloy,Johnson Rice & Company,591,,20260413,9,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Ralph M. Profiti,Stifel Canada,416,2.76,20260413,9,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Liam Fitzpatrick,Deutsche Bank Research,77,3.01,20260413,9,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Christopher LaFemina,Jefferies,512,2.69,20260408,14,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Sam Crittenden,RBC Capital Markets,1269,3.82,20260406,16,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Brian Macarthur,Raymond James,402,2.99,20260401,21,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Vitaly Kononov,Freedom Broker,3713,4.92,20260219,62,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Alexandra Yates,Argus Research,376,2.7,20260212,69,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Tingshuai Feng,China International Capital,898,3.26,20260123,89,0.6053,66.45,95502.05
FCX-US,2026-03-31,2026Q1,2026,20260423,20260422,Roald Ross,Clarksons Securities,1728,3.12,20260122,90,0.6053,66.45,95502.05
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Martin W. Malloy,Johnson Rice & Company,591,,20260107,14,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Katja Jancic,BMO Capital Markets,181,3.41,20260112,9,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Brian Macarthur,Raymond James,402,2.92,20260113,8,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Timna Tanners,Wells Fargo Securities,596,3.3,20251222,30,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Christopher LaFemina,Jefferies,512,2.52,20251205,47,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Sam Crittenden,RBC Capital Markets,1269,1.84,20260108,13,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Orest Wowkodaw,Scotiabank GBM,810,1.95,20260107,14,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Liam Fitzpatrick,Deutsche Bank Research,77,2.98079,20260106,15,0.2814,55.5,79694.15
FCX-US,2025-12-31,2025Q4,2025,20260122,20260121,Tingshuai Feng,China International Capital,898,2.57,20251119,63,0.2814,55.5,79694.15
