analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Katja Jancic,BMO Capital Markets,181,FCX-US,2026Q1,2026,0.038896914973664404,95502.05,1000,20260407,15
Timna Tanners,Wells Fargo Securities,596,FCX-US,2026Q1,2026,0.033780285929270126,95502.05,1000,20260414,8
Orest Wowkodaw,Scotiabank GBM,810,FCX-US,2026Q1,2026,0.02640632054176072,95502.05,1000,20260413,9
Martin W. Malloy,Johnson Rice & Company,591,FCX-US,2026Q1,2026,,95502.05,1000,20260413,9
Ralph M. Profiti,Stifel Canada,416,FCX-US,2026Q1,2026,0.032425884123401055,95502.05,1000,20260413,9
Liam Fitzpatrick,Deutsche Bank Research,77,FCX-US,2026Q1,2026,0.03618811136192626,95502.05,1000,20260413,9
Christopher LaFemina,Jefferies,512,FCX-US,2026Q1,2026,0.03137246049661399,95502.05,1000,20260408,14
Sam Crittenden,RBC Capital Markets,1269,FCX-US,2026Q1,2026,0.04837772761474792,95502.05,1000,20260406,16
Brian Macarthur,Raymond James,402,FCX-US,2026Q1,2026,0.03588713318284425,95502.05,1000,20260401,21
Vitaly Kononov,Freedom Broker,3713,FCX-US,2026Q1,2026,0.06493152746425884,95502.05,1000,20260219,62
Alexandra Yates,Argus Research,376,FCX-US,2026Q1,2026,0.03152294958615501,95502.05,1000,20260212,69
Tingshuai Feng,China International Capital,898,FCX-US,2026Q1,2026,0.03995033860045147,95502.05,1000,20260123,89
Roald Ross,Clarksons Securities,1728,FCX-US,2026Q1,2026,0.03784349134687735,95502.05,1000,20260122,90
Martin W. Malloy,Johnson Rice & Company,591,FCX-US,2025Q4,2025,,79694.15,1000,20260107,14
Katja Jancic,BMO Capital Markets,181,FCX-US,2025Q4,2025,0.05637117117117117,79694.15,1000,20260112,9
Brian Macarthur,Raymond James,402,FCX-US,2025Q4,2025,0.047542342342342336,79694.15,1000,20260113,8
Timna Tanners,Wells Fargo Securities,596,FCX-US,2025Q4,2025,0.05438918918918918,79694.15,1000,20251222,30
