firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
FCX-US,2026-03-31,2026Q1,2026,20260423,20260409,66.45,95502.05,95502.05,
FCX-US,2025-12-31,2025Q4,2025,20260122,20260107,55.5,79694.15,79694.15,
FCX-US,2025-09-30,2025Q3,2025,20251023,20251009,43.31,62183.383,62183.383,
FCX-US,2025-06-30,2025Q2,2025,20250723,20250709,45.59,65476.367,65476.367,
FCX-US,2025-03-31,2025Q1,2025,20250424,20250409,33.74,48486.844,48486.844,
FCX-US,2024-12-31,2024Q4,2024,20250123,20250107,38.74,55666.582,55666.582,
FCX-US,2024-09-30,2024Q3,2024,20241022,20241008,48.59,69816.85,69816.85,
FCX-US,2024-06-28,2024Q2,2024,20240723,20240709,50.8,72973.69,72973.69,
FCX-US,2024-03-29,2024Q1,2024,20240423,20240409,51.3,73585.18,73585.18,
FCX-US,2023-12-29,2023Q4,2023,20240124,20240109,41.7,59796.855,59796.855,
FCX-US,2023-09-29,2023Q3,2023,20231019,20231005,35.37,50707.69,50707.69,
FCX-US,2023-06-30,2023Q2,2023,20230720,20230706,37.91,54335.883,54335.883,
