analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Kevin Garrigan,3,0.03359874872460205,-0.03359874872460205,-0.006930966404654996,63.666666666666664,Jefferies,512,1,-63.666666666666664,0.9930168714781574,1.194750512738393,1.7554961888224678,1.3144211910130061,0.23076923076923078,0.30332796715684757
James Kelleher,4,0.03635598145218863,-0.03635598145218863,-0.006498393424411404,76.25,Argus Research,376,1,-76.25,0.5940386811442259,1.3595622700743852,0.7644197013641207,0.906006884194244,0.2857142857142857,0.258859109769784
Matthew Bryson,5,0.03522137891997066,-0.03522137891997066,-0.007517128614293389,79.0,Wedbush Securities,590,1,-79.0,0.7582183894885616,0.9714207435048858,0.5478268266215681,0.759155319871672,0.3333333333333333,0.2530517732905573
Krish Sankar,5,0.039023900726821416,-0.039023900726821416,-0.0074409639200439855,88.6,TD Cowen,917,1,-88.6,0.20798436171732856,1.0004397476487275,-0.20827920884334253,0.33338163350757116,0.3333333333333333,0.11112721116919039
Charles Shi,1,0.02724955692463499,-0.02724955692463499,,82.0,Needham,477,1,-82.0,1.9117601567615903,,0.3115436905387834,1.1116519236501867,0.09090909090909091,0.10105926578638061
Mark Lipacis,5,0.040329975054829416,-0.040329975054829416,-0.012378030664280868,75.6,Evercore ISI,1772,1,-75.6,0.018992273158175633,-0.8805992523936714,0.8156143808487245,-0.015330866128923759,0.3333333333333333,-0.005110288709641253
N. Quinn Bolton,4,0.04326677342131191,-0.04326677342131191,-0.009480619917853738,86.25,Needham,477,1,-86.25,-0.40596949590527354,0.22332396669860194,-0.023190752245161633,-0.06861209381727774,0.2857142857142857,-0.01960345537636507
Blayne Curtis,2,0.05298083750615261,-0.05298083750615261,-0.011065204751810175,86.5,Jefferies,512,1,-86.5,-1.8116178732005779,-0.38040817344861116,-0.04288101358539369,-0.7449690200781943,0.16666666666666666,-0.12416150334636572
Melissa Fairbanks,5,0.04307422143895562,-0.04307422143895562,-0.01248261953572292,88.6,Raymond James,402,1,-88.6,-0.3781067621225619,-0.9204479634491929,-0.20827920884334253,-0.5022779781383658,0.3333333333333333,-0.1674259927127886
C.J. Muse,5,0.040410655654146824,-0.040410655654146824,-0.010444592172896191,108.2,Cantor Fitzgerald,1190,1,-108.2,0.007317596882701301,-0.1439526978938568,-1.7519956979175366,-0.6295435996428974,0.3333333333333333,-0.20984786654763246
Mehdi Hosseini,5,0.04718005029897249,-0.04718005029897249,-0.013137633409152735,88.6,Susquehanna Financial Group,974,1,-88.6,-0.9722300481261446,-1.1700104476770143,-0.20827920884334253,-0.7835065682155005,0.3333333333333333,-0.2611688560718335
Ross Seymore,5,0.046842627442259886,-0.046842627442259886,-0.013358283061514344,108.2,Deutsche Bank Research,77,1,-108.2,-0.9234041512761764,-1.2540787058026472,-1.7519956979175366,-1.3098261849987867,0.3333333333333333,-0.43660872833292885
