analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
C.J. Muse,Cantor Fitzgerald,1190,GFS-US,2026Q1,2026,0.02640560384842603,32490.932,3674,20260211,82
Matthew Bryson,Wedbush Securities,590,GFS-US,2026Q1,2026,0.028093510000843955,32490.932,3674,20260211,82
Ross Seymore,Deutsche Bank Research,77,GFS-US,2026Q1,2026,0.02910625369229471,32490.932,3674,20260211,82
Mark Lipacis,Evercore ISI,1772,GFS-US,2026Q1,2026,0.027418347539876785,32490.932,3674,20260211,82
Krish Sankar,TD Cowen,917,GFS-US,2026Q1,2026,0.028937463077052916,32490.932,3674,20260211,82
Mehdi Hosseini,Susquehanna Financial Group,974,GFS-US,2026Q1,2026,0.02758713815511858,32490.932,3674,20260211,82
Kevin Garrigan,Jefferies,512,GFS-US,2026Q1,2026,0.026068022617942443,32490.932,3674,20260211,82
Charles Shi,Needham,477,GFS-US,2026Q1,2026,0.02724955692463499,32490.932,3674,20260211,82
Melissa Fairbanks,Raymond James,402,GFS-US,2026Q1,2026,0.02657439446366782,32490.932,3674,20260211,82
James Kelleher,Argus Research,376,GFS-US,2026Q1,2026,0.029443834922778293,32490.932,3674,20260211,82
C.J. Muse,Cantor Fitzgerald,1190,GFS-US,2025Q4,2025,0.02930989298973575,25454.13,3674,20251112,90
Mark Lipacis,Evercore ISI,1772,GFS-US,2025Q4,2025,0.028873116400960904,25454.13,3674,20251112,90
Kevin Garrigan,Jefferies,512,GFS-US,2025Q4,2025,0.0319305525223848,25454.13,3674,20251112,90
Ross Seymore,Deutsche Bank Research,77,GFS-US,2025Q4,2025,0.03520637693819611,25454.13,3674,20251112,90
Krish Sankar,TD Cowen,917,GFS-US,2025Q4,2025,0.03476960034942127,25454.13,3674,20251112,90
Matthew Bryson,Wedbush Securities,590,GFS-US,2025Q4,2025,0.028217951517798646,25454.13,3674,20251112,90
Mehdi Hosseini,Susquehanna Financial Group,974,GFS-US,2025Q4,2025,0.03957414282594453,25454.13,3674,20251112,90
N. Quinn Bolton,Needham,477,GFS-US,2025Q4,2025,0.03367765887748417,25454.13,3674,20251112,90
Melissa Fairbanks,Raymond James,402,GFS-US,2025Q4,2025,0.03367765887748417,25454.13,3674,20251112,90
James Kelleher,Argus Research,376,GFS-US,2025Q4,2025,0.037608648176457746,25454.13,3674,20251112,90
C.J. Muse,Cantor Fitzgerald,1190,GFS-US,2025Q3,2025,0.04958369723435225,18992.555,3674,20250805,98
Mark Lipacis,Evercore ISI,1772,GFS-US,2025Q3,2025,0.04259679767103348,18992.555,3674,20250805,98
Ross Seymore,Deutsche Bank Research,77,GFS-US,2025Q3,2025,0.05249490538573508,18992.555,3674,20250805,98
Krish Sankar,TD Cowen,917,GFS-US,2025Q3,2025,0.042168850072780206,18992.555,3674,20250805,98
Kevin Garrigan,Jefferies,512,GFS-US,2025Q3,2025,0.04279767103347889,18992.555,3674,20251023,19
Matthew Bryson,Wedbush Securities,590,GFS-US,2025Q3,2025,0.03386317321688501,18992.555,3674,20250805,98
N. Quinn Bolton,Needham,477,GFS-US,2025Q3,2025,0.040954876273653566,18992.555,3674,20250821,82
Mehdi Hosseini,Susquehanna Financial Group,974,GFS-US,2025Q3,2025,0.05249490538573508,18992.555,3674,20250805,98
Melissa Fairbanks,Raymond James,402,GFS-US,2025Q3,2025,0.046381368267831145,18992.555,3674,20250805,98
James Kelleher,Argus Research,376,GFS-US,2025Q3,2025,0.046381368267831145,18992.555,3674,20250805,98
C.J. Muse,Cantor Fitzgerald,1190,GFS-US,2025Q2,2025,0.04563771712158809,22282.387,3674,20250506,90
Mark Lipacis,Evercore ISI,1772,GFS-US,2025Q2,2025,0.04092307692307692,22282.387,3674,20250506,90
Ross Seymore,Deutsche Bank Research,77,GFS-US,2025Q2,2025,0.05067280397022332,22282.387,3674,20250506,90
Krish Sankar,TD Cowen,917,GFS-US,2025Q2,2025,0.038124069478908194,22282.387,3674,20250506,90
