analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Christopher McGratty,4,0.051777683648229454,-0.051777683648229454,-0.0025857555531537935,13.0,Keefe Bruyette & Woods,525,1,-13.0,0.8651585326181237,1.4921899059871424,1.1585014259823854,1.1719499548625505,0.2857142857142857,0.334842844246443
Glenn Schorr,6,0.05599266240568266,-0.05599266240568266,-0.005522617484490437,24.166666666666668,Evercore ISI,1772,1,-24.166666666666668,0.3601590399348765,0.48485099640012047,0.7926470096441222,0.5458856819930397,0.375,0.2047071307473899
Daniel T. Fannon,7,0.058121151820929286,-0.058121151820929286,-0.007910239724133551,19.285714285714285,Jefferies,512,1,-19.285714285714285,0.10514326483031107,-0.334099584056065,0.9525620530329153,0.24120191126905377,0.4117647058823529,0.0993184340519633
Jim Mitchell,6,0.056285213966678245,-0.056285213966678245,-0.005984603053718427,47.333333333333336,Seaport Research Partners,1321,1,-47.333333333333336,0.32510823698000474,0.3263906906617236,0.03363560858414306,0.22837817874195712,0.375,0.08564181702823392
Alec Huang,1,0.05004448236632537,-0.05004448236632537,,29.0,Mega Intl Invst Serv,1175,1,-29.0,1.0728145656483767,,0.6342921130200978,0.8535533393342373,0.09090909090909091,0.0775957581212943
Gerard Cassidy,6,0.056025532393445356,-0.056025532393445356,-0.007453079817262488,42.333333333333336,RBC Capital Markets,1269,1,-42.333333333333336,0.35622086418124693,-0.17729447272936108,0.19745101888485797,0.1254591367789146,0.375,0.04704717629209297
Mikhail Paramonov,4,0.05028638967246265,-0.05028638967246265,-0.004101480187488339,100.5,Freedom Broker,3713,1,-100.5,1.0438314855653084,0.97229879905661,-1.7082682542801253,0.10262067678059772,0.2857142857142857,0.02932019336588506
Chris Kotowski,6,0.05711403938617072,-0.05711403938617072,-0.00892377905643054,31.166666666666668,Oppenheimer,498,1,-31.166666666666668,0.22580609562838835,-0.6817419416778732,0.5633054352231213,0.035789863057878825,0.375,0.01342119864670456
Peng Rui Huang,1,0.04773331340532327,-0.04773331340532327,,85.0,Capital Securities Asia,1128,1,-85.0,1.3497173022867321,,-1.2004404823479091,0.07463840996941151,0.09090909090909091,0.006785309997219229
James Fotheringham,2,0.07473723034125351,-0.07473723034125351,-0.001918676980996216,46.0,BMO Capital Markets,181,1,-46.0,-1.8856404866443586,1.7209967812154405,0.07731971799766711,-0.029107995810416978,0.16666666666666666,-0.004851332635069496
David Konrad,3,0.07170177994095543,-0.07170177994095543,-0.0058022214880223445,22.0,Keefe Bruyette & Woods,525,1,-22.0,-1.5219610945465663,0.3889472737808523,0.8636336874410986,-0.08979337777487177,0.23076923076923078,-0.0207215487172781
Parth Talsania,1,0.0717061256076032,-0.0717061256076032,,31.0,Equisights,3723,1,-31.0,-1.5224817518449245,,0.5687659488998118,-0.47685790147255636,0.09090909090909091,-0.043350718315686945
Steve Biggar,5,0.051664164528835474,-0.051664164528835474,-0.0057026156870383805,106.4,Argus Research,376,1,-106.4,0.8787593360865728,0.42311190299992574,-1.901570438434969,-0.19989973311615686,0.3333333333333333,-0.06663324437205229
Devin Ryan,6,0.05779492713507386,-0.05779492713507386,-0.007057414106821927,75.83333333333333,Citizens,805,1,-75.83333333333333,0.14422846794466432,-0.04158177167815096,-0.9001122301299317,-0.26582184462113945,0.375,-0.09968319173292729
Pei Feng Li,5,0.05404656834052903,-0.05404656834052903,-0.008417573330868733,96.0,China International Capital,898,1,-96.0,0.5933219031826804,-0.5081141935793917,-1.560834385009482,-0.4918755584687311,0.3333333333333333,-0.16395851948957701
Matthew O'Connor,7,0.06099524849798032,-0.06099524849798032,-0.009859626643042104,48.57142857142857,Deutsche Bank Research,77,1,-48.57142857142857,-0.23920422713910522,-1.002736155732697,-0.006928207299843346,-0.4162895300572152,0.4117647058823529,-0.17141333590591212
Mike Mayo,9,0.0694127014122449,-0.0694127014122449,-0.009766029448185757,22.444444444444443,Wells Fargo Securities,596,1,-22.444444444444443,-1.2477050277355897,-0.9706324687323057,0.8490723176365907,-0.4564217262771015,0.47368421052631576,-0.216199765078627
Kazuya Nishimura,9,0.0665379284283242,-0.0665379284283242,-0.013037045671355108,30.444444444444443,Daiwa Securities Co. Ltd.,467,1,-30.444444444444443,-0.9032765069767702,-2.0925857619159665,0.5869676611554469,-0.8029648692457633,0.47368421052631576,-0.38035178016904575
