analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Devin Ryan,Citizens,805,GS-US,2026Q1,2026,0.05287723100300166,236847.67,6211,20260115,85
Christopher McGratty,Keefe Bruyette & Woods,525,GS-US,2026Q1,2026,0.0519431055312683,236847.67,6211,20260407,3
Nicholas Watts,Rothschild & Co Redburn,1652,GS-US,2026Q1,2026,,236847.67,6211,20260407,3
Glenn Schorr,Evercore ISI,1772,GS-US,2026Q1,2026,0.05163173037402384,236847.67,6211,20260402,8
Daniel T. Fannon,Jefferies,512,GS-US,2026Q1,2026,0.05069458331776457,236847.67,6211,20260115,85
Mike Mayo,Wells Fargo Securities,596,GS-US,2026Q1,2026,0.05922928421078852,236847.67,6211,20260401,9
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,GS-US,2026Q1,2026,0.05214238563190474,236847.67,6211,20260127,73
Matthew O'Connor,Deutsche Bank Research,77,GS-US,2026Q1,2026,0.05229184570738209,236847.67,6211,20260326,15
Jim Mitchell,Seaport Research Partners,1321,GS-US,2026Q1,2026,0.05144490527967717,236847.67,6211,20260116,84
Chris Kotowski,Oppenheimer,498,GS-US,2026Q1,2026,0.04760876334242549,236847.67,6211,20260326,15
Gerard Cassidy,RBC Capital Markets,1269,GS-US,2026Q1,2026,0.047123018097124145,236847.67,6211,20260324,17
Mikhail Paramonov,Freedom Broker,3713,GS-US,2026Q1,2026,0.05066023988342114,236847.67,6211,20260126,74
Steve Biggar,Argus Research,376,GS-US,2026Q1,2026,0.04803223355627795,236847.67,6211,20260116,84
Peng Rui Huang,Capital Securities Asia,1128,GS-US,2026Q1,2026,0.04773331340532327,236847.67,6211,20260115,85
Daniel T. Fannon,Jefferies,512,GS-US,2025Q4,2025,0.047485680318543805,263637.16,6211,20260105,9
Gerard Cassidy,RBC Capital Markets,1269,GS-US,2025Q4,2025,0.047826052332195675,263637.16,6211,20251210,35
Devin Ryan,Citizens,805,GS-US,2025Q4,2025,0.04720034129692833,263637.16,6211,20250716,182
Matthew O'Connor,Deutsche Bank Research,77,GS-US,2025Q4,2025,0.04921588964732651,263637.16,6211,20260109,5
Glenn Schorr,Evercore ISI,1772,GS-US,2025Q4,2025,0.04930500568828214,263637.16,6211,20260105,9
Christopher McGratty,Keefe Bruyette & Woods,525,GS-US,2025Q4,2025,0.04776916951080774,263637.16,6211,20251215,30
Jim Mitchell,Seaport Research Partners,1321,GS-US,2025Q4,2025,0.04890682593856655,263637.16,6211,20251017,89
Mike Mayo,Wells Fargo Securities,596,GS-US,2025Q4,2025,0.055505233219567685,263637.16,6211,20260102,12
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,GS-US,2025Q4,2025,0.048952332195676906,263637.16,6211,20251104,71
Chris Kotowski,Oppenheimer,498,GS-US,2025Q4,2025,0.04904334470989761,263637.16,6211,20251216,29
Alec Huang,Mega Intl Invst Serv,1175,GS-US,2025Q4,2025,0.05004448236632537,263637.16,6211,20251216,29
Nicholas Watts,Rothschild & Co Redburn,1652,GS-US,2025Q4,2025,,263637.16,6211,20251212,33
Mikhail Paramonov,Freedom Broker,3713,GS-US,2025Q4,2025,0.044060409556314,263637.16,6211,20250728,170
Pei Feng Li,China International Capital,898,GS-US,2025Q4,2025,0.04278623435722412,263637.16,6211,20251014,92
Steve Biggar,Argus Research,376,GS-US,2025Q4,2025,0.0456872582480091,263637.16,6211,20251014,92
Christopher McGratty,Keefe Bruyette & Woods,525,GS-US,2025Q3,2025,0.05242167388710994,241071.94,6211,20251008,5
Devin Ryan,Citizens,805,GS-US,2025Q3,2025,0.05367740315188046,241071.94,6211,20250716,89
Daniel T. Fannon,Jefferies,512,GS-US,2025Q3,2025,0.05247982294217367,241071.94,6211,20251003,10
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,GS-US,2025Q3,2025,0.05483267407546933,241071.94,6211,20251006,7
Jim Mitchell,Seaport Research Partners,1321,GS-US,2025Q3,2025,0.05298675205625668,241071.94,6211,20251003,10
Matthew O'Connor,Deutsche Bank Research,77,GS-US,2025Q3,2025,0.05296163747096126,241071.94,6211,20250716,89
