analyst,n_observations,mean_fe,accuracy_score,consistency_score,current_broker,current_broker_code,n_brokers,accuracy_score_z,consistency_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Srini Pajjuri,2,0.023080425949414722,-0.023080425949414722,-0.00015624187909696156,RBC Capital Markets,1269,1,1.1977532041342285,1.263924304594913,1.2308387543645707,0.16666666666666666,0.2051397923940951
C.J. Muse,2,0.023604402167953703,-0.023604402167953703,-0.0009776821819940124,Cantor Fitzgerald,1190,1,1.0519907977539624,0.9959934215640439,1.0239921096590032,0.16666666666666666,0.17066535160983387
Chandler B. Converse,2,0.02448316750422847,-0.02448316750422847,-0.0004331447997101886,Cleveland Research Company,2295,1,0.8075313251158074,1.1736063061085071,0.9905688156121573,0.16666666666666666,0.1650948026020262
James Kelleher,3,0.023326047994297966,-0.023326047994297966,-0.003399422512906424,Argus Research,376,1,1.1294247971274134,0.2060893676182625,0.6677570823728379,0.23076923076923078,0.15409778823988568
Brian Chin,2,0.02464418057081874,-0.02464418057081874,-0.0017085555741795135,Stifel Nicolaus,548,1,0.7627398799805589,0.7576029351691124,0.7601714075748356,0.16666666666666666,0.12669523459580592
Krish Sankar,4,0.02567279260009734,-0.02567279260009734,-0.0030353154133152425,TD Cowen,917,1,0.4765952815913421,0.32485093357407874,0.40072310758271046,0.2857142857142857,0.11449231645220298
Charles Shi,3,0.02724624891363207,-0.02724624891363207,-0.002779062943543795,Needham,477,1,0.03888309069353665,0.40843333178678215,0.2236582112401594,0.23076923076923078,0.051613433363113706
Pierre Ferragu,4,0.027168034039689662,-0.027168034039689662,-0.0032581593710553102,New Street Research,1634,1,0.06064130764537415,0.2521654588477761,0.1564033832465751,0.2857142857142857,0.044686680927592884
Blayne Curtis,3,0.026743030742203466,-0.026743030742203466,-0.004430528814940514,Jefferies,512,1,0.17887091648882827,-0.13022870811816897,0.02432110418532965,0.23076923076923078,0.005612562504306843
Mehdi Hosseini,2,0.0287220523766198,-0.0287220523766198,-0.002914754873293065,Susquehanna Financial Group,974,1,-0.3716635266877593,0.36417441433451664,-0.0037445561766213387,0.16666666666666666,-0.0006240926961035564
Joe Quatrochi,6,0.031046386260033646,-0.031046386260033646,-0.007866048642203026,Wells Fargo Securities,596,1,-1.0182587119087203,-1.2507993177439116,-1.1345290148263159,0.375,-0.42544838055986844
Melissa Weathers,6,0.032020420362956555,-0.032020420362956555,-0.008222237656900094,Deutsche Bank Research,77,1,-1.2892205413107631,-1.3669782255685026,-1.3280993834396329,0.375,-0.4980372687898623
Edward H. Yang,7,0.03149877697333095,-0.03149877697333095,-0.008713849234653313,Oppenheimer,498,1,-1.144107093306958,-1.5273281909537861,-1.335717642130372,0.4117647058823529,-0.5500013820536825
Steve Barger,8,0.03414835627929926,-0.03414835627929926,-0.00854270594841989,KeyBanc Capital Markets,618,1,-1.881180727316866,-1.4715060312136248,-1.6763433792652453,0.4444444444444444,-0.7450415018956645
