analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code
Pierre Ferragu,New Street Research,1634,KLAC-US,2026Q1,2026,0.0226267199859596,229136.36,3827
C.J. Muse,Cantor Fitzgerald,1190,KLAC-US,2026Q1,2026,0.0226267199859596,229136.36,3827
Blayne Curtis,Jefferies,512,KLAC-US,2026Q1,2026,0.0234161439021407,229136.36,3827
Melissa Weathers,Deutsche Bank Research,77,KLAC-US,2026Q1,2026,0.0223804712082796,229136.36,3827
Stacy A. Rasgon,Bernstein Research,1140,KLAC-US,2026Q1,2026,,229136.36,3827
Chandler B. Converse,Cleveland Research Company,2295,KLAC-US,2026Q1,2026,0.0240500227045182,229136.36,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2026Q1,2026,0.0226152790596382,229136.36,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2026Q1,2026,,229136.36,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2026Q1,2026,0.0224665470174591,229136.36,3827
Krish Sankar,TD Cowen,917,KLAC-US,2026Q1,2026,0.0206646011218285,229136.36,3827
Joe Quatrochi,Wells Fargo Securities,596,KLAC-US,2026Q1,2026,0.0227239678596921,229136.36,3827
Charles Shi,Needham,477,KLAC-US,2026Q1,2026,0.0233188960284082,229136.36,3827
Mehdi Hosseini,Susquehanna Financial Group,974,KLAC-US,2026Q1,2026,0.0258072975033267,229136.36,3827
Brian Chin,Stifel Nicolaus,548,KLAC-US,2026Q1,2026,0.0229356249966392,229136.36,3827
Srini Pajjuri,RBC Capital Markets,1269,KLAC-US,2026Q1,2026,0.0229241840703177,229136.36,3827
James Kelleher,Argus Research,376,KLAC-US,2026Q1,2026,0.0202355663847736,229136.36,3827
Tammy Qiu,Berenberg,577,KLAC-US,2026Q1,2026,,229136.36,3827
Chandler B. Converse,Cleveland Research Company,2295,KLAC-US,2025Q4,2025,0.0249163123039386,188482.3,3827
C.J. Muse,Cantor Fitzgerald,1190,KLAC-US,2025Q4,2025,0.0245820843499477,188482.3,3827
Tammy Qiu,Berenberg,577,KLAC-US,2025Q4,2025,,188482.3,3827
Blayne Curtis,Jefferies,512,KLAC-US,2025Q4,2025,0.0238082955733705,188482.3,3827
Pierre Ferragu,New Street Research,1634,KLAC-US,2025Q4,2025,0.0256835134193098,188482.3,3827
Stacy A. Rasgon,Bernstein Research,1140,KLAC-US,2025Q4,2025,,188482.3,3827
Joe Quatrochi,Wells Fargo Securities,596,KLAC-US,2025Q4,2025,0.0233346810735447,188482.3,3827
Melissa Weathers,Deutsche Bank Research,77,KLAC-US,2025Q4,2025,0.0240744161728825,188482.3,3827
Krish Sankar,TD Cowen,917,KLAC-US,2025Q4,2025,0.0261611711397699,188482.3,3827
Charles Shi,Needham,477,KLAC-US,2025Q4,2025,0.0290806552805855,188482.3,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2025Q4,2025,0.0225744161728825,188482.3,3827
Srini Pajjuri,RBC Capital Markets,1269,KLAC-US,2025Q4,2025,0.0232366678285116,188482.3,3827
Brian Chin,Stifel Nicolaus,548,KLAC-US,2025Q4,2025,0.0263527361449982,188482.3,3827
Mehdi Hosseini,Susquehanna Financial Group,974,KLAC-US,2025Q4,2025,0.0316368072499128,188482.3,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2025Q4,2025,,188482.3,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2025Q4,2025,0.0221840362495643,188482.3,3827
James Kelleher,Argus Research,376,KLAC-US,2025Q4,2025,0.021682119205298,188482.3,3827
Krish Sankar,TD Cowen,917,KLAC-US,2025Q3,2025,0.0271210006487152,143142.4,3827
Melissa Weathers,Deutsche Bank Research,77,KLAC-US,2025Q3,2025,0.0290443315500563,143142.4,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2025Q3,2025,,143142.4,3827
Charles Shi,Needham,477,KLAC-US,2025Q3,2025,0.0293391954319023,143142.4,3827
Joe Quatrochi,Wells Fargo Securities,596,KLAC-US,2025Q3,2025,0.0268645172771357,143142.4,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2025Q3,2025,0.0285848325743155,143142.4,3827
Pierre Ferragu,New Street Research,1634,KLAC-US,2025Q3,2025,0.0293207963378148,143142.4,3827
Tammy Qiu,Berenberg,577,KLAC-US,2025Q3,2025,,143142.4,3827
James Kelleher,Argus Research,376,KLAC-US,2025Q3,2025,0.0280604583928222,143142.4,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2025Q3,2025,0.0263401430956424,143142.4,3827
Melissa Weathers,Deutsche Bank Research,77,KLAC-US,2025Q2,2025,0.0307212745976864,123920.8,3827
Pierre Ferragu,New Street Research,1634,KLAC-US,2025Q2,2025,0.0310411064156742,123920.8,3827
Krish Sankar,TD Cowen,917,KLAC-US,2025Q2,2025,0.0287443974900755,123920.8,3827
Joe Quatrochi,Wells Fargo Securities,596,KLAC-US,2025Q2,2025,0.0301980620651385,123920.8,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2025Q2,2025,0.0264737268963162,123920.8,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2025Q2,2025,,123920.8,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2025Q2,2025,0.0310090920732488,123920.8,3827
Tammy Qiu,Berenberg,577,KLAC-US,2025Q2,2025,,123920.8,3827
Blayne Curtis,Jefferies,512,KLAC-US,2025Q2,2025,0.0330046527510991,123920.8,3827
Melissa Weathers,Deutsche Bank Research,77,KLAC-US,2025Q1,2025,0.0427736768163736,89859.34,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2025Q1,2025,0.0428786915307375,89859.34,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2025Q1,2025,0.0356472101861847,89859.34,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2025Q1,2025,,89859.34,3827
Joe Quatrochi,Wells Fargo Securities,596,KLAC-US,2025Q1,2025,0.0426864435604324,89859.34,3827
Tammy Qiu,Berenberg,577,KLAC-US,2025Q1,2025,,89859.34,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2024Q4,2024,0.0423636998254799,95805.44,3827
Melissa Weathers,Deutsche Bank Research,77,KLAC-US,2024Q4,2024,0.0431283518324607,95805.44,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2024Q4,2024,,95805.44,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2024Q4,2024,0.0444160558464223,95805.44,3827
Tammy Qiu,Berenberg,577,KLAC-US,2024Q4,2024,,95805.44,3827
Joe Quatrochi,Wells Fargo Securities,596,KLAC-US,2024Q4,2024,0.0404706457242582,95805.44,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2024Q3,2024,,91450.56,3827
Tammy Qiu,Berenberg,577,KLAC-US,2024Q3,2024,,91450.56,3827
Edward H. Yang,Oppenheimer,498,KLAC-US,2024Q3,2024,0.0448673435004907,91450.56,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2024Q2,2024,,120145.96,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2024Q2,2024,0.0387628172802151,120145.96,3827
Steve Barger,KeyBanc Capital Markets,618,KLAC-US,2024Q1,2024,0.042494397739113,94746.05,3827
Timm Schulze-Melander,Rothschild & Co Redburn,1652,KLAC-US,2024Q1,2024,,94746.05,3827
