firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
LH-US,2023Q3,0.08032091777429626,,,17531.281,8071,Healthcare
LH-US,2023Q4,0.08812608676267332,,,18817.932,8071,Healthcare
LH-US,2024Q1,0.07388958837772397,,,17366.65,8071,Healthcare
LH-US,2024Q2,0.06994921965991148,,,18093.627,8071,Healthcare
LH-US,2024Q3,0.0707961842717543,,,18043.709,8071,Healthcare
LH-US,2024Q4,0.06445194826457105,,,20434.744,8071,Healthcare
LH-US,2025Q1,0.06584782932818806,,,19079.781,8071,Healthcare
LH-US,2025Q2,0.057764059850964,,,21220.86,8071,Healthcare
LH-US,2025Q3,0.05146561584101794,,,23249.717,8071,Healthcare
LH-US,2025Q4,0.0574582855451552,,,22407.043,8071,Healthcare
LH-US,2026Q1,0.05452770686289232,,,21891.34,8071,Healthcare
