analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Andrew F. Brackmann,5,0.056856014756948,-0.056856014756948,-0.004733391122447527,116.4,William Blair,198,1,-116.4,1.368719841209343,1.0164090385203897,0.4954937417447572,0.9602075404914966,0.3333333333333333,0.3200691801638322
David Toung,5,0.057890747775316956,-0.057890747775316956,-0.004732333719254082,160.0,Argus Research,376,1,-160.0,1.062797663025493,1.01685316451831,-0.41179473704736375,0.5559520301654798,0.3333333333333333,0.18531734338849326
Tycho Peterson,6,0.05871806377541061,-0.05871806377541061,-0.004897309304454001,169.16666666666666,Jefferies,512,1,-169.16666666666666,0.8181990000834781,0.9475608199674338,-0.6025472841940251,0.3877375119522956,0.375,0.14540156698211085
Ann Hynes,9,0.061724657089329206,-0.061724657089329206,-0.007551290052751943,100.0,Mizuho Securities USA,1802,1,-100.0,-0.07071008001607018,-0.16715290097254992,0.8367673897307846,0.1996348029140548,0.47368421052631576,0.09456385401192069
Pito Chickering,8,0.062025000129107555,-0.062025000129107555,-0.0069316175939441085,115.75,Deutsche Bank Research,77,1,-115.75,-0.15950747538302557,0.0931192930758464,0.5090198314515206,0.14754388304811383,0.4444444444444444,0.06557505913249503
Michael Cherny,9,0.06329806001338488,-0.06329806001338488,-0.007058001627101402,109.11111111111111,Leerink Partners,1079,1,-109.11111111111111,-0.5358917656712578,0.04003600829372456,0.647170918627436,0.050438387083300916,0.47368421052631576,0.023891867565774116
David S. MacDonald,7,0.0612108181588726,-0.0612108181588726,-0.006636968522668781,174.14285714285714,Truist Securities,852,1,-174.14285714285714,0.08120806896571191,0.21687654445134077,-0.7060986669307844,-0.13600468450457723,0.4117647058823529,-0.05600192891364945
David Westenberg,7,0.059891503599915415,-0.059891503599915415,-0.006562620213759867,243.28571428571428,Piper Sandler Companies,570,1,-243.28571428571428,0.47126770408014307,0.2481040053598651,-2.1449178796941744,-0.4751820567513887,0.4117647058823529,-0.1956631998388071
Elizabeth Anderson,10,0.06562695469691762,-0.06562695469691762,-0.010775718993346175,76.8,Evercore ISI,1772,1,-76.8,-1.2244370442110044,-1.5214638486241037,1.3195447454183353,-0.4754520491389242,0.5,-0.2377260245694621
Jack Meehan,11,0.06761309511953467,-0.06761309511953467,-0.011653967663375961,137.45454545454547,Nephron Research,3154,1,-137.45454545454547,-1.8116459120828008,-1.890342124590253,0.05736194089351593,-1.214875365259846,0.5238095238095238,-0.6363632865646813
