analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Andrew F. Brackmann,5,0.056856014756948,-0.056856014756948,-0.004733391122447527,116.4,William Blair,198,1,-116.4,1.368719841209343,1.0164090385203897,0.4954937417447572,0.9602075404914966,0.3333333333333333,0.3200691801638322,,,,,,,,,,5,,,0.9602075404914966,0.3200691801638322
David Toung,5,0.057890747775316956,-0.057890747775316956,-0.004732333719254082,160.0,Argus Research,376,1,-160.0,1.062797663025493,1.01685316451831,-0.41179473704736375,0.5559520301654798,0.3333333333333333,0.18531734338849326,,,,,,,,,,5,,,0.5559520301654798,0.18531734338849326
Tycho Peterson,6,0.05871806377541061,-0.05871806377541061,-0.004897309304454001,169.16666666666666,Jefferies,512,1,-169.16666666666666,0.8181990000834781,0.9475608199674338,-0.6025472841940251,0.3877375119522956,0.375,0.14540156698211085,0.0632274522642964,23.979029713358226,0.2529098090571856,-0.0011551787587353811,-0.0006691750228035379,-0.0011598861896380194,-3.91156220570022e-05,,,6,0.9611597733404222,0.10796001911678525,0.317793138743418,0.11917242702878175
David S. MacDonald,7,0.0612108181588726,-0.0612108181588726,-0.006636968522668781,174.14285714285714,Truist Securities,852,1,-174.14285714285714,0.08120806896571191,0.21687654445134077,-0.7060986669307844,-0.13600468450457723,0.4117647058823529,-0.05600192891364945,0.06758972719214885,5.5628178279186615,0.2703589087685954,-0.0012015663419968643,0.00016426845686052602,-0.0011301986434480945,-0.0006059561889362271,,,7,0.2083564812878692,1.5527876060694876,0.28619338813893896,0.11784433629250428
Ann Hynes,9,0.061724657089329206,-0.061724657089329206,-0.007551290052751943,100.0,Mizuho Securities USA,1802,1,-100.0,-0.07071008001607018,-0.16715290097254992,0.8367673897307846,0.1996348029140548,0.47368421052631576,0.09456385401192069,0.06153793093166162,12.814221805809447,0.24615172372664648,-0.0004980412912090261,-0.0008746252119732858,-0.0007600595639311827,0.0004153345103382138,,,9,0.484864631235735,-0.4516257636476096,0.03681966127363871,0.017440892182249916
Michael Cherny,9,0.06329806001338488,-0.06329806001338488,-0.007058001627101402,109.11111111111111,Leerink Partners,1079,1,-109.11111111111111,-0.5358917656712578,0.04003600829372456,0.647170918627436,0.050438387083300916,0.47368421052631576,0.023891867565774116,0.06241646607905832,14.22531865045459,0.24966586431623328,-0.0002608060530925347,-0.0008623913479700608,-0.0006363893098957819,0.0003747564280971936,,,9,0.5077641908453276,-0.16064643793803118,-0.0023328191720321106,-0.001105019607804684
Pito Chickering,8,0.062025000129107555,-0.062025000129107555,-0.0069316175939441085,115.75,Deutsche Bank Research,77,1,-115.75,-0.15950747538302557,0.0931192930758464,0.5090198314515206,0.14754388304811383,0.4444444444444444,0.06557505913249503,0.06142451748842574,11.02683492867374,0.24569806995370297,-0.00031354118573588915,-0.0008247283801543269,-0.0005523380272958932,0.00031948491686443624,,,8,0.48621870291381397,-0.48918939139428186,-0.01163943556248509,-0.0051730824722155955
David Westenberg,7,0.059891503599915415,-0.059891503599915415,-0.006562620213759867,243.28571428571428,Piper Sandler Companies,570,1,-243.28571428571428,0.47126770408014307,0.2481040053598651,-2.1449178796941744,-0.4751820567513887,0.4117647058823529,-0.1956631998388071,0.06643262920676153,5.6144878109745076,0.2657305168270461,-0.0012643820910608083,0.0001285547949593009,-0.0011826393178479137,-0.0005516656458429731,,,7,0.23213386179216677,1.1695455780577348,-0.06400014804910781,-0.02635300213786792
Elizabeth Anderson,10,0.06562695469691762,-0.06562695469691762,-0.010775718993346175,76.8,Evercore ISI,1772,1,-76.8,-1.2244370442110044,-1.5214638486241037,1.3195447454183353,-0.4754520491389242,0.5,-0.2377260245694621,0.05790867105824626,8.331957858476859,0.23163468423298503,0.0013305109384249504,-0.0010303015995826736,0.0008735474867132007,3.2104418980265334e-05,,,10,0.32992267888934035,-1.6536716851119018,-0.7700069581321686,-0.3850034790660843
Jack Meehan,11,0.06761309511953467,-0.06761309511953467,-0.011653967663375961,137.45454545454547,Nephron Research,3154,1,-137.45454545454547,-1.8116459120828008,-1.890342124590253,0.05736194089351593,-1.214875365259846,0.5238095238095238,-0.6363632865646813,0.06267457000423442,8.551484416143799,0.25069828001693767,0.0008366449932474356,-0.0010298683023335752,0.0006541111093022695,-0.00014736198919031835,,,11,0.16947582457826482,-0.07515992515219258,-0.9299465052329327,-0.4871148360743933
