firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
LH-US,2026-03-31,2026Q1,2026,20260430,3.351,8071
LH-US,2025-12-31,2025Q4,2025,20260217,1.9796,8071
LH-US,2025-09-30,2025Q3,2025,20251028,3.1195,8071
LH-US,2025-06-30,2025Q2,2025,20250724,2.8355,8071
LH-US,2025-03-31,2025Q1,2025,20250429,2.5243,8071
LH-US,2024-12-31,2024Q4,2024,20250206,1.7031,8071
LH-US,2024-09-30,2024Q3,2024,20241024,2.0059,8071
LH-US,2024-06-28,2024Q2,2024,20240801,2.4354,8071
LH-US,2024-03-29,2024Q1,2024,20240425,2.6918,8071
LH-US,2023-12-29,2023Q4,2023,20240215,-1.9682,8071
LH-US,2023-09-29,2023Q3,2023,20231026,2.1069,8071
LH-US,2023-06-30,2023Q2,2023,20230727,2.1225,8071
