firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Ann Hynes,Mizuho Securities USA,1802,17.6,20260217,71,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Michael Cherny,Leerink Partners,1079,17.95,20250724,279,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,David S. MacDonald,Truist Securities,852,17.85,20250724,279,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Jack Meehan,Nephron Research,3154,17.9,20260217,71,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Elizabeth Anderson,Evercore ISI,1772,17.71,20260407,22,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,David Toung,Argus Research,376,17.9,20260331,29,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Tycho Peterson,Jefferies,512,17.93,20260217,71,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,David Westenberg,Piper Sandler Companies,570,17.58,20250725,278,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Jamie Clark,Rothschild & Co Redburn,1652,,20251030,181,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Andrew F. Brackmann,William Blair,198,17.85,20260217,71,3.351,266.36,21891.34
LH-US,2026-03-31,2026Q1,2026,20260430,20260429,Pito Chickering,Deutsche Bank Research,77,17.9,20260217,71,3.351,266.36,21891.34
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Andrew F. Brackmann,William Blair,198,17.52,20260213,0,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Ann Hynes,Mizuho Securities USA,1802,16.9968,20250729,199,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Jack Meehan,Nephron Research,3154,17.5,20260122,22,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Pito Chickering,Deutsche Bank Research,77,17.4003,20251028,108,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Elizabeth Anderson,Evercore ISI,1772,16.87,20251028,108,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Michael Cherny,Leerink Partners,1079,17.88,20250724,204,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,David S. MacDonald,Truist Securities,852,17.85,20250724,204,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,David Westenberg,Piper Sandler Companies,570,17.42,20241025,476,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,David Toung,Argus Research,376,17.71,20250306,344,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Jamie Clark,Rothschild & Co Redburn,1652,,20251030,106,1.9796,270.29,22407.043
LH-US,2025-12-31,2025Q4,2025,20260217,20260213,Tycho Peterson,Jefferies,512,17.61,20250206,372,1.9796,270.29,22407.043
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,David S. MacDonald,Truist Securities,852,17.85,20250724,95,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Tycho Peterson,Jefferies,512,17.6071,20250206,263,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Andrew F. Brackmann,William Blair,198,17.2007,20250206,263,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Ann Hynes,Mizuho Securities USA,1802,16.95,20250729,90,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Elizabeth Anderson,Evercore ISI,1772,17.4,20251001,26,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Michael Cherny,Leerink Partners,1079,18.0,20250724,95,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Jack Meehan,Nephron Research,3154,17.0,20250520,160,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,David Westenberg,Piper Sandler Companies,570,17.43,20241025,367,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Jamie Clark,Rothschild & Co Redburn,1652,,20250811,77,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,David Toung,Argus Research,376,17.7,20250306,235,3.1195,279.78,23249.717
LH-US,2025-09-30,2025Q3,2025,20251028,20251027,Pito Chickering,Deutsche Bank Research,77,17.653616,20250206,263,3.1195,279.78,23249.717
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Elizabeth Anderson,Evercore ISI,1772,17.4,20250707,16,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Ann Hynes,Mizuho Securities USA,1802,17.4,20250312,133,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,David S. MacDonald,Truist Securities,852,17.65,20241004,292,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Jack Meehan,Nephron Research,3154,17.0,20250520,64,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Michael Cherny,Leerink Partners,1079,17.73,20250707,16,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,David Toung,Argus Research,376,17.65,20250306,139,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Jamie Clark,Rothschild & Co Redburn,1652,,20250507,77,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Andrew F. Brackmann,William Blair,198,17.35,20250206,167,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,David Westenberg,Piper Sandler Companies,570,17.32,20241025,271,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Tycho Peterson,Jefferies,512,17.6,20250206,167,2.8355,253.63,21220.86
LH-US,2025-06-30,2025Q2,2025,20250724,20250723,Pito Chickering,Deutsche Bank Research,77,17.572397,20250206,167,2.8355,253.63,21220.86
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Ann Hynes,Mizuho Securities USA,1802,17.4,20250312,47,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Jack Meehan,Nephron Research,3154,17.9,20240425,368,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,David S. MacDonald,Truist Securities,852,17.64,20241004,206,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Elizabeth Anderson,Evercore ISI,1772,18.14,20241024,186,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Michael Cherny,Leerink Partners,1079,17.24,20250103,115,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Jamie Clark,Rothschild & Co Redburn,1652,,20250402,26,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,David Toung,Argus Research,376,17.6,20250306,53,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,David Westenberg,Piper Sandler Companies,570,17.39,20241025,185,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Andrew F. Brackmann,William Blair,198,17.3,20250206,81,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Tycho Peterson,Jefferies,512,17.6,20250206,81,2.5243,228.04,19079.781
LH-US,2025-03-31,2025Q1,2025,20250429,20250428,Pito Chickering,Deutsche Bank Research,77,17.480478,20250206,81,2.5243,228.04,19079.781
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,Ann Hynes,Mizuho Securities USA,1802,17.2,20241118,79,1.7031,244.32,20434.744
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,Jack Meehan,Nephron Research,3154,18.0,20240425,286,1.7031,244.32,20434.744
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,Tycho Peterson,Jefferies,512,17.251911,20241206,61,1.7031,244.32,20434.744
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,Elizabeth Anderson,Evercore ISI,1772,18.18,20241024,104,1.7031,244.32,20434.744
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,Michael Cherny,Leerink Partners,1079,17.28,20250103,33,1.7031,244.32,20434.744
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,David S. MacDonald,Truist Securities,852,17.64,20241004,124,1.7031,244.32,20434.744
LH-US,2024-12-31,2024Q4,2024,20250206,20250205,David Westenberg,Piper Sandler Companies,570,17.45,20241025,103,1.7031,244.32,20434.744
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,David S. MacDonald,Truist Securities,852,17.64,20241004,19,2.0059,214.9,18043.709
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,Pito Chickering,Deutsche Bank Research,77,16.8449,20241023,0,2.0059,214.9,18043.709
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,Ann Hynes,Mizuho Securities USA,1802,17.0,20240801,83,2.0059,214.9,18043.709
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,Elizabeth Anderson,Evercore ISI,1772,17.31,20240425,181,2.0059,214.9,18043.709
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,Jack Meehan,Nephron Research,3154,18.0,20240425,181,2.0059,214.9,18043.709
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,Michael Cherny,Leerink Partners,1079,17.09,20241003,20,2.0059,214.9,18043.709
LH-US,2024-09-30,2024Q3,2024,20241024,20241023,David Westenberg,Piper Sandler Companies,570,17.22,20240930,23,2.0059,214.9,18043.709
LH-US,2024-06-28,2024Q2,2024,20240801,20240731,Ann Hynes,Mizuho Securities USA,1802,17.45,20240305,148,2.4354,214.65,18093.627
LH-US,2024-06-28,2024Q2,2024,20240801,20240731,Michael Cherny,Leerink Partners,1079,17.84,20240223,159,2.4354,214.65,18093.627
LH-US,2024-06-28,2024Q2,2024,20240801,20240731,Elizabeth Anderson,Evercore ISI,1772,17.32,20240425,97,2.4354,214.65,18093.627
LH-US,2024-06-28,2024Q2,2024,20240801,20240731,Jack Meehan,Nephron Research,3154,18.0,20240425,97,2.4354,214.65,18093.627
LH-US,2024-06-28,2024Q2,2024,20240801,20240731,Pito Chickering,Deutsche Bank Research,77,17.272396,20240215,167,2.4354,214.65,18093.627
LH-US,2024-03-29,2024Q1,2024,20240425,20240424,Ann Hynes,Mizuho Securities USA,1802,17.4,20240305,50,2.6918,206.5,17366.65
LH-US,2024-03-29,2024Q1,2024,20240425,20240424,Elizabeth Anderson,Evercore ISI,1772,18.04,20240408,16,2.6918,206.5,17366.65
LH-US,2024-03-29,2024Q1,2024,20240425,20240424,Michael Cherny,Leerink Partners,1079,17.95,20240223,61,2.6918,206.5,17366.65
LH-US,2024-03-29,2024Q1,2024,20240425,20240424,Pito Chickering,Deutsche Bank Research,77,17.294535,20240215,69,2.6918,206.5,17366.65
LH-US,2024-03-29,2024Q1,2024,20240425,20240424,Jack Meehan,Nephron Research,3154,18.35,20240215,69,2.6918,206.5,17366.65
LH-US,2023-12-29,2023Q4,2023,20240215,20240214,Elizabeth Anderson,Evercore ISI,1772,17.77,20240202,12,-1.9682,224.29,18817.932
LH-US,2023-12-29,2023Q4,2023,20240215,20240214,Jack Meehan,Nephron Research,3154,18.0,20230914,153,-1.9682,224.29,18817.932
LH-US,2023-09-29,2023Q3,2023,20231026,20231025,Jack Meehan,Nephron Research,3154,18.0,20230914,41,2.1069,197.87,17531.281
