analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Ann Hynes,Mizuho Securities USA,1802,LH-US,2026Q1,2026,0.053495269559994,21891.34,8071,20260217,71
Michael Cherny,Leerink Partners,1079,LH-US,2026Q1,2026,0.054809280672773686,21891.34,8071,20250724,279
David S. MacDonald,Truist Securities,852,LH-US,2026Q1,2026,0.05443384892626521,21891.34,8071,20250724,279
Jack Meehan,Nephron Research,3154,LH-US,2026Q1,2026,0.05462156479951944,21891.34,8071,20260217,71
Elizabeth Anderson,Evercore ISI,1772,LH-US,2026Q1,2026,0.05390824448115333,21891.34,8071,20260407,22
David Toung,Argus Research,376,LH-US,2026Q1,2026,0.05462156479951944,21891.34,8071,20260331,29
Tycho Peterson,Jefferies,512,LH-US,2026Q1,2026,0.05473419432347199,21891.34,8071,20260217,71
David Westenberg,Piper Sandler Companies,570,LH-US,2026Q1,2026,0.05342018321069229,21891.34,8071,20250725,278
Jamie Clark,Rothschild & Co Redburn,1652,LH-US,2026Q1,2026,,21891.34,8071,20251030,181
Andrew F. Brackmann,William Blair,198,LH-US,2026Q1,2026,0.05443384892626521,21891.34,8071,20260217,71
Pito Chickering,Deutsche Bank Research,77,LH-US,2026Q1,2026,0.05462156479951944,21891.34,8071,20260217,71
Andrew F. Brackmann,William Blair,198,LH-US,2025Q4,2025,0.05749528284435236,22407.043,8071,20260213,0
Ann Hynes,Mizuho Securities USA,1802,LH-US,2025Q4,2025,0.05555958415035702,22407.043,8071,20250729,199
Jack Meehan,Nephron Research,3154,LH-US,2025Q4,2025,0.05742128824595804,22407.043,8071,20260122,22
Pito Chickering,Deutsche Bank Research,77,LH-US,2025Q4,2025,0.05705242517296238,22407.043,8071,20251028,108
Elizabeth Anderson,Evercore ISI,1772,LH-US,2025Q4,2025,0.055090458396537055,22407.043,8071,20251028,108
Michael Cherny,Leerink Partners,1079,LH-US,2025Q4,2025,0.05882718561545006,22407.043,8071,20250724,204
David S. MacDonald,Truist Securities,852,LH-US,2025Q4,2025,0.0587161937178586,22407.043,8071,20250724,204
David Westenberg,Piper Sandler Companies,570,LH-US,2025Q4,2025,0.05712530985238078,22407.043,8071,20241025,476
David Toung,Argus Research,376,LH-US,2025Q4,2025,0.05819823152909838,22407.043,8071,20250306,344
Jamie Clark,Rothschild & Co Redburn,1652,LH-US,2025Q4,2025,,22407.043,8071,20251030,106
Tycho Peterson,Jefferies,512,LH-US,2025Q4,2025,0.05782825853712679,22407.043,8071,20250206,372
David S. MacDonald,Truist Securities,852,LH-US,2025Q3,2025,0.052650296661662745,23249.717,8071,20250724,95
Tycho Peterson,Jefferies,512,LH-US,2025Q3,2025,0.05178211451855029,23249.717,8071,20250206,263
Andrew F. Brackmann,William Blair,198,LH-US,2025Q3,2025,0.05032954464221889,23249.717,8071,20250206,263
Ann Hynes,Mizuho Securities USA,1802,LH-US,2025Q3,2025,0.04943348345128315,23249.717,8071,20250729,90
Elizabeth Anderson,Evercore ISI,1772,LH-US,2025Q3,2025,0.051041890056472944,23249.717,8071,20251001,26
Michael Cherny,Leerink Partners,1079,LH-US,2025Q3,2025,0.053186432196726,23249.717,8071,20250724,95
Jack Meehan,Nephron Research,3154,LH-US,2025Q3,2025,0.04961219529630424,23249.717,8071,20250520,160
David Westenberg,Piper Sandler Companies,570,LH-US,2025Q3,2025,0.0511491171634856,23249.717,8071,20241025,367
Jamie Clark,Rothschild & Co Redburn,1652,LH-US,2025Q3,2025,,23249.717,8071,20250811,77
David Toung,Argus Research,376,LH-US,2025Q3,2025,0.05211416112659947,23249.717,8071,20250306,235
