firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
LH-US,2026-03-31,2026Q1,2026,20260430,20260416,266.36,21891.34,21891.34,
LH-US,2025-12-31,2025Q4,2025,20260217,20260202,270.29,22407.043,22407.043,
LH-US,2025-09-30,2025Q3,2025,20251028,20251014,279.78,23249.717,23249.717,
LH-US,2025-06-30,2025Q2,2025,20250724,20250710,253.63,21220.86,21220.86,
LH-US,2025-03-31,2025Q1,2025,20250429,20250414,228.04,19079.781,19079.781,
LH-US,2024-12-31,2024Q4,2024,20250206,20250123,244.32,20434.744,20434.744,
LH-US,2024-09-30,2024Q3,2024,20241024,20241010,214.9,18043.709,18043.709,
LH-US,2024-06-28,2024Q2,2024,20240801,20240718,214.65,18093.627,18093.627,
LH-US,2024-03-29,2024Q1,2024,20240425,20240411,206.5,17366.65,17366.65,
LH-US,2023-12-29,2023Q4,2023,20240215,20240201,224.29,18817.932,18817.932,
LH-US,2023-09-29,2023Q3,2023,20231026,20231012,197.87,17531.281,17531.281,
LH-US,2023-06-30,2023Q2,2023,20230727,20230713,211.74,18760.164,18760.164,
