analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Narumi Nakagiri,10,0.024284173362538106,-0.024284173362538106,-0.0031596307880771093,90.1,Daiwa Securities Co. Ltd.,467,1,-90.1,1.696626639562815,0.46891370016519157,-0.7368345292567691,0.47623527015707917,0.5,0.23811763507853959
Ilya Zubkov,4,0.02764209580614372,-0.02764209580614372,-0.0022277839142141147,63.25,Freedom Broker,3713,1,-63.25,0.5811544636910667,1.0850702504351073,0.15025255214834599,0.6054924220915067,0.2857142857142857,0.1729978348832876
Steve Scala,12,0.02841758376621568,-0.02841758376621568,-0.004097797008452884,50.166666666666664,TD Cowen,917,1,-50.166666666666664,0.3235442130936851,-0.151421333562133,0.5825078959739298,0.2515435918351607,0.5454545454545454,0.13720559554645126
Srikripa Devarakonda,9,0.029891348353391634,-0.029891348353391634,-0.0029794689383177467,57.111111111111114,Truist Securities,852,1,-57.111111111111114,-0.16602736528222373,0.588040465464934,0.35307300010047754,0.2583620334277293,0.47368421052631576,0.12238201583418755
Louise Chen,8,0.025832968353805733,-0.025832968353805733,-0.0037661446386960586,82.375,Scotiabank GBM,810,2,-82.375,1.182130623677025,0.06787411697800853,-0.4816111510871411,0.2561311965226309,0.4444444444444444,0.1138360873433915
Yoon-Chul Park,1,0.029142579010829766,-0.029142579010829766,,1.0,iM Securities,2140,1,-1.0,0.08270719657880135,,2.2069069587579704,1.1448070776683859,0.09090909090909091,0.104073370697126
Trung Huynh,1,0.028025310014491312,-0.028025310014491312,,20.0,RBC Capital Markets,1269,1,-20.0,0.4538540885366416,,1.5791730836482056,1.0165135860924237,0.09090909090909091,0.09241032600840215
Jonah Chen,5,0.026573142991975596,-0.026573142991975596,-0.0044764065400202105,60.0,China Merchants Securities,1788,1,-60.0,0.9362511466996247,-0.4017658369489968,0.25762808341712157,0.2640377977225832,0.3333333333333333,0.08801259924086105
Akash Tewari,9,0.030955153663148827,-0.030955153663148827,-0.004403699774162523,32.0,Jefferies,512,1,-32.0,-0.5194140927924039,-0.35369060990397705,1.1827095835788803,0.10320162696083313,0.47368421052631576,0.048884981191973584
Hui Ting Tang,2,0.029037418755830283,-0.029037418755830283,-0.0001998830581076156,134.0,Mega Intl Invst Serv,1175,1,-134.0,0.11764050442898075,2.425960509161992,-2.1872301670103838,0.1187902821935296,0.16666666666666666,0.019798380365588265
Warren Dai,1,0.02589973087835945,-0.02589973087835945,,92.0,China Merchants Securities,1788,1,-92.0,1.159952702721036,,-0.7996079167677457,0.1801723929766451,0.09090909090909091,0.016379308452422282
Jasper Hellweg,5,0.0279807885756809,-0.0279807885756809,-0.003721723631346192,83.2,Argus Research,376,1,-83.2,0.4686437172600101,0.09724621170291128,-0.5088680167169073,0.019007304082004683,0.3333333333333333,0.006335768027334894
James Shin,10,0.030956584482456757,-0.030956584482456757,-0.003422133832668547,61.3,Deutsche Bank Research,77,1,-61.3,-0.5198893983283421,0.29534122283283704,0.2146778709096114,-0.0032901015286312305,0.5,-0.0016450507643156153
Mohit Bansal,11,0.030873433845342756,-0.030873433845342756,-0.0040448808598205965,49.72727272727273,Wells Fargo Securities,596,1,-49.72727272727273,-0.49226749113292667,-0.11643207458691443,0.5970248675673773,-0.0038915660508212677,0.5238095238095238,-0.0020384393599539976
Xiaodi Gao,3,0.030002647649881004,-0.030002647649881004,-0.002443330017054098,94.33333333333333,First Shanghai,1701,1,-94.33333333333333,-0.20300000849035074,0.9425466804418523,-0.8766980417812255,-0.04571712327657462,0.23076923076923078,-0.01055010537151722
Yu Cui Dan,1,0.02799425224369512,-0.02799425224369512,,97.0,First Shanghai,1701,1,-97.0,0.46417120566771936,,-0.9648010417966312,-0.25031491806445594,0.09090909090909091,-0.022755901642223266
Jin Zhang,4,0.026173986943567602,-0.026173986943567602,-0.005260882460618663,84.25,China International Capital,898,1,-84.25,1.0688472603108563,-0.9204776452549879,-0.5435585729729732,-0.1317296526390349,0.2857142857142857,-0.03763704361115283
Robyn Karnauskas,3,0.037436701527326866,-0.037436701527326866,-0.002845111708259968,92.66666666666667,Truist Securities,852,1,-92.66666666666667,-2.6725270429855796,0.676880262751622,-0.8216336667715972,-0.939093482335185,0.23076923076923078,-0.21671388053888885
David Risinger,12,0.031492045128725304,-0.031492045128725304,-0.0047618226270314335,71.33333333333333,Leerink Partners,1079,1,-71.33333333333333,-0.6977646953961085,-0.5904888948859056,-0.1168096666483521,-0.4683544189767887,0.5454545454545454,-0.255466046714612
Carter Gould,5,0.031689472394938925,-0.031689472394938925,-0.0051673665878654235,92.2,Cantor Fitzgerald,1190,1,-92.2,-0.7633482893945599,-0.85864300356944,-0.8062156417689013,-0.8094023115776338,0.3333333333333333,-0.2698007705258779
Seamus Fernandez,12,0.032617883975811245,-0.032617883975811245,-0.005679425025920408,44.083333333333336,Guggenheim Securities,1515,1,-44.083333333333336,-1.0717584160763924,-1.197226701790816,0.7834928647590736,-0.49516408436937825,0.5454545454545454,-0.2700895005651154
Evan David Seigerman,11,0.033694879939612385,-0.033694879939612385,-0.006980806647448544,39.45454545454545,BMO Capital Markets,181,1,-39.45454545454545,-1.429526962349419,-2.0577273194312835,0.9364216517176329,-0.8502775433543565,0.5238095238095238,-0.44538347509037723
