analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Ilya Zubkov,4,0.02764209580614372,-0.02764209580614372,-0.0022277839142141147,63.25,Freedom Broker,3713,1,-63.25,0.5811544636910667,1.0850702504351073,0.15025255214834599,0.6054924220915067,0.2857142857142857,0.1729978348832876,,,,,,,,,,4,,,0.6054924220915067,0.1729978348832876
Yoon-Chul Park,1,0.029142579010829766,-0.029142579010829766,,1.0,iM Securities,2140,1,-1.0,0.08270719657880135,,2.2069069587579704,1.1448070776683859,0.09090909090909091,0.104073370697126,,,,,,,,,,1,,,1.1448070776683859,0.104073370697126
Trung Huynh,1,0.028025310014491312,-0.028025310014491312,,20.0,RBC Capital Markets,1269,1,-20.0,0.4538540885366416,,1.5791730836482056,1.0165135860924237,0.09090909090909091,0.09241032600840215,,,,,,,,,,1,,,1.0165135860924237,0.09241032600840215
Steve Scala,12,0.02841758376621568,-0.02841758376621568,-0.004097797008452884,50.166666666666664,TD Cowen,917,1,-50.166666666666664,0.3235442130936851,-0.151421333562133,0.5825078959739298,0.2515435918351607,0.5454545454545454,0.13720559554645126,0.030229881009013464,14.11508649701974,0.12091952403605385,-0.0003249660887999914,0.0001352884383752042,-9.097978319224117e-05,-0.0002711813547873322,,,12,0.22110518472694052,-0.10713503670888253,0.16187393469914985,0.08829487347226354
Jonah Chen,5,0.026573142991975596,-0.026573142991975596,-0.0044764065400202105,60.0,China Merchants Securities,1788,1,-60.0,0.9362511466996247,-0.4017658369489968,0.25762808341712157,0.2640377977225832,0.3333333333333333,0.08801259924086105,,,,,,,,,,5,,,0.2640377977225832,0.08801259924086105
Srikripa Devarakonda,9,0.029891348353391634,-0.029891348353391634,-0.0029794689383177467,57.111111111111114,Truist Securities,852,1,-57.111111111111114,-0.16602736528222373,0.588040465464934,0.35307300010047754,0.2583620334277293,0.47368421052631576,0.12238201583418755,0.02991223435106002,14.642075345443457,0.11964893740424008,-0.00016598687681324575,-0.0002251552258751146,0.00010169467130525435,-1.5781160136764075e-05,,,9,0.40120649872610115,-0.2555331077579287,0.1298882481313148,0.06152601227272806
Mohit Bansal,11,0.030873433845342756,-0.030873433845342756,-0.0040448808598205965,49.72727272727273,Wells Fargo Securities,596,1,-49.72727272727273,-0.49226749113292667,-0.11643207458691443,0.5970248675673773,-0.0038915660508212677,0.5238095238095238,-0.0020384393599539976,0.031247601382010493,12.2623054567077,0.12499040552804197,2.864644873966361e-05,-0.0001059170103588603,-4.968428334690391e-05,-0.0003074046856974062,,,11,0.11626904696387252,0.36832326401157006,0.08916214146477656,0.046703978862502014
Akash Tewari,9,0.030955153663148827,-0.030955153663148827,-0.004403699774162523,32.0,Jefferies,512,1,-32.0,-0.5194140927924039,-0.35369060990397705,1.1827095835788803,0.10320162696083313,0.47368421052631576,0.048884981191973584,0.03056170983725626,9.426081459484283,0.12224683934902504,-1.281608759708347e-05,-0.00034845354357388223,0.00024161733425851284,-0.00016403879616206515,,,9,0.3095696386858945,0.047888656431668945,0.08937338432854208,0.04233476099773046
Hui Ting Tang,2,0.029037418755830283,-0.029037418755830283,-0.0001998830581076156,134.0,Mega Intl Invst Serv,1175,1,-134.0,0.11764050442898075,2.425960509161992,-2.1872301670103838,0.1187902821935296,0.16666666666666666,0.019798380365588265,,,,,,,,,,2,,,0.1187902821935296,0.019798380365588265
Warren Dai,1,0.02589973087835945,-0.02589973087835945,,92.0,China Merchants Securities,1788,1,-92.0,1.159952702721036,,-0.7996079167677457,0.1801723929766451,0.09090909090909091,0.016379308452422282,,,,,,,,,,1,,,0.1801723929766451,0.016379308452422282
James Shin,10,0.030956584482456757,-0.030956584482456757,-0.003422133832668547,61.3,Deutsche Bank Research,77,1,-61.3,-0.5198893983283421,0.29534122283283704,0.2146778709096114,-0.0032901015286312305,0.5,-0.0016450507643156153,0.030707922171226774,11.649294175908347,0.1228316886849071,-2.03711953283077e-05,-6.295348726006843e-05,0.00010614781999021706,2.431199756474767e-05,,,10,0.044277029237902776,0.11619609106547962,0.026581446619896483,0.013290723309948241
Jasper Hellweg,5,0.0279807885756809,-0.0279807885756809,-0.003721723631346192,83.2,Argus Research,376,1,-83.2,0.4686437172600101,0.09724621170291128,-0.5088680167169073,0.019007304082004683,0.3333333333333333,0.006335768027334894,,,,,,,,,,5,,,0.019007304082004683,0.006335768027334894
