firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
LLY-US,2026-03-31,2026Q1,2026,20260430,8.2554,2834
LLY-US,2025-12-31,2025Q4,2025,20260204,7.0237,2834
LLY-US,2025-09-30,2025Q3,2025,20251030,6.2111,2834
LLY-US,2025-06-30,2025Q2,2025,20250807,6.2914,2834
LLY-US,2025-03-31,2025Q1,2025,20250501,3.0638,2834
LLY-US,2024-12-31,2024Q4,2024,20250206,4.654,2834
LLY-US,2024-09-30,2024Q3,2024,20241030,1.0722,2834
LLY-US,2024-06-28,2024Q2,2024,20240808,3.2814,2834
LLY-US,2024-03-29,2024Q1,2024,20240430,2.4816,2834
LLY-US,2023-12-29,2023Q4,2023,20240206,2.3064,2834
LLY-US,2023-09-29,2023Q3,2023,20231102,-0.0638,2834
LLY-US,2023-06-30,2023Q2,2023,20230808,1.9532,2834
