analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Seamus Fernandez,Guggenheim Securities,1515,LLY-US,2026Q1,2026,0.02790362725251385,854106.8,2834,20260420,9
Srikripa Devarakonda,Truist Securities,852,LLY-US,2026Q1,2026,0.0291757652186418,854106.8,2834,20260204,84
Akash Tewari,Jefferies,512,LLY-US,2026Q1,2026,0.02896049735063441,854106.8,2834,20260416,13
Yoon-Chul Park,iM Securities,2140,LLY-US,2026Q1,2026,0.029142579010829766,854106.8,2834,20260428,1
Courtney Breen,Bernstein Research,1140,LLY-US,2026Q1,2026,,854106.8,2834,20260420,9
Louise Chen,Scotiabank GBM,810,LLY-US,2026Q1,2026,0.02735052378897996,854106.8,2834,20260408,21
Trung Huynh,RBC Capital Markets,1269,LLY-US,2026Q1,2026,0.028025310014491312,854106.8,2834,20260409,20
David Risinger,Leerink Partners,1079,LLY-US,2026Q1,2026,0.027472206550957425,854106.8,2834,20260424,5
Carter Gould,Cantor Fitzgerald,1190,LLY-US,2026Q1,2026,0.02964037212801026,854106.8,2834,20260204,84
James Shin,Deutsche Bank Research,77,LLY-US,2026Q1,2026,0.028877089348333496,854106.8,2834,20251216,134
Mohit Bansal,Wells Fargo Securities,596,LLY-US,2026Q1,2026,0.028390358300423676,854106.8,2834,20260410,19
Kerry Holford,Berenberg,577,LLY-US,2026Q1,2026,,854106.8,2834,20260217,71
Steve Scala,TD Cowen,917,LLY-US,2026Q1,2026,0.029009834179581626,854106.8,2834,20260416,13
Steve Chesney,Rothschild & Co Redburn,1652,LLY-US,2026Q1,2026,,854106.8,2834,20260223,65
Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,LLY-US,2026Q1,2026,0.0289766479717696,854106.8,2834,20260213,75
Ilya Zubkov,Freedom Broker,3713,LLY-US,2026Q1,2026,0.02910939280301773,854106.8,2834,20260209,79
Jin Zhang,China International Capital,898,LLY-US,2026Q1,2026,0.028357172092611644,854106.8,2834,20260206,82
Jasper Hellweg,Argus Research,376,LLY-US,2026Q1,2026,0.028146992776468767,854106.8,2834,20260206,82
Mohit Bansal,Wells Fargo Securities,596,LLY-US,2025Q4,2025,0.025346122464117497,1019615.25,2834,20260116,18
Kerry Holford,Berenberg,577,LLY-US,2025Q4,2025,,1019615.25,2834,20251128,67
Courtney Breen,Bernstein Research,1140,LLY-US,2025Q4,2025,,1019615.25,2834,20260116,18
Ilya Zubkov,Freedom Broker,3713,LLY-US,2025Q4,2025,0.02414076697696844,1019615.25,2834,20260130,4
Akash Tewari,Jefferies,512,LLY-US,2025Q4,2025,0.026820364944553653,1019615.25,2834,20260107,27
James Shin,Deutsche Bank Research,77,LLY-US,2025Q4,2025,0.025271489633942816,1019615.25,2834,20251216,49
Steve Scala,TD Cowen,917,LLY-US,2025Q4,2025,0.02241618143381671,1019615.25,2834,20260123,11
Steve Chesney,Rothschild & Co Redburn,1652,LLY-US,2025Q4,2025,,1019615.25,2834,20260126,8
Louise Chen,Scotiabank GBM,810,LLY-US,2025Q4,2025,0.021709564959388795,1019615.25,2834,20251103,92
Evan David Seigerman,BMO Capital Markets,181,LLY-US,2025Q4,2025,0.02462290917182806,1019615.25,2834,20260123,11
Srikripa Devarakonda,Truist Securities,852,LLY-US,2025Q4,2025,0.029286707710566334,1019615.25,2834,20260122,12
David Risinger,Leerink Partners,1079,LLY-US,2025Q4,2025,0.023704984608537632,1019615.25,2834,20251107,88
Jonah Chen,China Merchants Securities,1788,LLY-US,2025Q4,2025,0.019078273930942406,1019615.25,2834,20260116,18
Seamus Fernandez,Guggenheim Securities,1515,LLY-US,2025Q4,2025,0.024001687497682007,1019615.25,2834,20260116,18
Carter Gould,Cantor Fitzgerald,1190,LLY-US,2025Q4,2025,0.023927511775395913,1019615.25,2834,20250812,175
Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,LLY-US,2025Q4,2025,0.023853336053109818,1019615.25,2834,20251212,53
Jin Zhang,China International Capital,898,LLY-US,2025Q4,2025,0.01861467566665431,1019615.25,2834,20251110,85
Jasper Hellweg,Argus Research,376,LLY-US,2025Q4,2025,0.021581704558098134,1019615.25,2834,20251031,95
Mohit Bansal,Wells Fargo Securities,596,LLY-US,2025Q3,2025,0.02893565866874954,775507.75,2834,20250807,83
Ilya Zubkov,Freedom Broker,3713,LLY-US,2025Q3,2025,0.027360809392467475,775507.75,2834,20250813,77
Courtney Breen,Bernstein Research,1140,LLY-US,2025Q3,2025,,775507.75,2834,20250807,83
Steve Scala,TD Cowen,917,LLY-US,2025Q3,2025,0.02902816763894652,775507.75,2834,20250825,65
Carter Gould,Cantor Fitzgerald,1190,LLY-US,2025Q3,2025,0.03269411018086846,775507.75,2834,20250812,78
David Risinger,Leerink Partners,1079,LLY-US,2025Q3,2025,0.028764309599941418,775507.75,2834,20250807,83
Kerry Holford,Berenberg,577,LLY-US,2025Q3,2025,,775507.75,2834,20250915,44
Evan David Seigerman,BMO Capital Markets,181,LLY-US,2025Q3,2025,0.027898777124167048,775507.75,2834,20250808,82
James Shin,Deutsche Bank Research,77,LLY-US,2025Q3,2025,0.031046522980790348,775507.75,2834,20251007,22
Seamus Fernandez,Guggenheim Securities,1515,LLY-US,2025Q3,2025,0.03000915326222266,775507.75,2834,20251006,23
Akash Tewari,Jefferies,512,LLY-US,2025Q3,2025,0.031559105665259095,775507.75,2834,20250807,83
Srikripa Devarakonda,Truist Securities,852,LLY-US,2025Q3,2025,0.02596951353462374,775507.75,2834,20250807,83
Steve Chesney,Rothschild & Co Redburn,1652,LLY-US,2025Q3,2025,,775507.75,2834,20250818,72
Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,LLY-US,2025Q3,2025,0.027421831140618514,775507.75,2834,20250814,76
Jasper Hellweg,Argus Research,376,LLY-US,2025Q3,2025,0.028605653054748707,775507.75,2834,20250811,79
Jonah Chen,China Merchants Securities,1788,LLY-US,2025Q3,2025,0.02556676999682687,775507.75,2834,20250808,82
Hui Ting Tang,Mega Intl Invst Serv,1175,LLY-US,2025Q3,2025,0.02883753569772267,775507.75,2834,20250506,176
Carter Gould,Cantor Fitzgerald,1190,LLY-US,2025Q2,2025,0.032266739505605706,763334.75,2834,20250417,111
Steve Scala,TD Cowen,917,LLY-US,2025Q2,2025,0.028380616565064624,763334.75,2834,20250421,107
Mohit Bansal,Wells Fargo Securities,596,LLY-US,2025Q2,2025,0.02859168394522181,763334.75,2834,20250703,34
Akash Tewari,Jefferies,512,LLY-US,2025Q2,2025,0.031062413865885305,763334.75,2834,20250722,15
Evan David Seigerman,BMO Capital Markets,181,LLY-US,2025Q2,2025,0.030280222986479276,763334.75,2834,20250501,97
Courtney Breen,Bernstein Research,1140,LLY-US,2025Q2,2025,,763334.75,2834,20250723,14
James Shin,Deutsche Bank Research,77,LLY-US,2025Q2,2025,0.030156065704033872,763334.75,2834,20250723,14
Steve Chesney,Rothschild & Co Redburn,1652,LLY-US,2025Q2,2025,,763334.75,2834,20250318,141
Srikripa Devarakonda,Truist Securities,852,LLY-US,2025Q2,2025,0.0279088188917721,763334.75,2834,20250715,22
Seamus Fernandez,Guggenheim Securities,1515,LLY-US,2025Q2,2025,0.02927454899867152,763334.75,2834,20250710,27
David Risinger,Leerink Partners,1079,LLY-US,2025Q2,2025,0.027710167239859456,763334.75,2834,20250501,97
Jonah Chen,China Merchants Securities,1788,LLY-US,2025Q2,2025,0.026394100045938198,763334.75,2834,20250508,90
Jin Zhang,China International Capital,898,LLY-US,2025Q2,2025,0.02471797673292527,763334.75,2834,20250507,91
Jasper Hellweg,Argus Research,376,LLY-US,2025Q2,2025,0.028318537923841928,763334.75,2834,20250508,90
Hui Ting Tang,Mega Intl Invst Serv,1175,LLY-US,2025Q2,2025,0.0292373018139379,763334.75,2834,20250506,92
