firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
LLY-US,2026-03-31,2026Q1,2026,20260430,20260416,903.99,854106.8,854106.8,
LLY-US,2025-12-31,2025Q4,2025,20260204,20260121,1078.52,1019615.25,1019615.25,
LLY-US,2025-09-30,2025Q3,2025,20251030,20251016,819.38,775507.75,775507.75,
LLY-US,2025-06-30,2025Q2,2025,20250807,20250724,805.43,763334.75,763334.75,
LLY-US,2025-03-31,2025Q1,2025,20250501,20250416,734.9,696677.25,696677.25,
LLY-US,2024-12-31,2024Q4,2024,20250206,20250123,766.6,727745.4,727745.4,
LLY-US,2024-09-30,2024Q3,2024,20241030,20241016,916.42,870989.2,870989.2,
LLY-US,2024-06-28,2024Q2,2024,20240808,20240725,821.19,780463.44,780463.44,
LLY-US,2024-03-29,2024Q1,2024,20240430,20240416,746.74,709975.06,709975.06,
LLY-US,2023-12-29,2023Q4,2023,20240206,20240123,629.68,597759.8,597759.8,
LLY-US,2023-09-29,2023Q3,2023,20231102,20231019,590.8,560843.56,560843.56,
LLY-US,2023-06-30,2023Q2,2023,20230808,20230725,457.54,434330.34,434330.34,
