firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
LNG-US,2026-03-31,2026Q1,2026,20260507,-16.6461,4924
LNG-US,2025-12-31,2025Q4,2025,20260226,10.6887,4924
LNG-US,2025-09-30,2025Q3,2025,20251030,4.7522,4924
LNG-US,2025-06-30,2025Q2,2025,20250807,7.3144,4924
LNG-US,2025-03-31,2025Q1,2025,20250508,1.5752,4924
LNG-US,2024-12-31,2024Q4,2024,20250220,4.3345,4924
LNG-US,2024-09-30,2024Q3,2024,20241031,3.9339,4924
LNG-US,2024-06-28,2024Q2,2024,20240808,3.8445,4924
LNG-US,2024-03-29,2024Q1,2024,20240503,2.1362,4924
LNG-US,2023-12-29,2023Q4,2023,20240222,5.7615,4924
LNG-US,2023-09-29,2023Q3,2023,20231102,7.0289,4924
LNG-US,2023-06-30,2023Q2,2023,20230803,5.6153,4924
