firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Emma Schwartz,Jefferies,512,16.040155,20260402,34,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Greg Wasikowski,Webber Research & Advisory,3412,13.16,20260504,2,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Elvira Scotto,RBC Capital Markets,1269,16.53,20260410,26,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Brandon Bingham,Scotiabank GBM,810,15.02,20260414,22,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,James Carreker,U.S. Capital Advisors,1866,13.51,20260320,47,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Jason Gabelman,TD Cowen,917,16.6159,20260416,20,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Ameet Thakkar,BMO Capital Markets,181,14.14,20260417,19,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Michael Blum,Wells Fargo Securities,596,13.22,20260324,43,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Bob Brackett,Bernstein Research,1140,,20251107,180,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,William Selesky,Argus Research,376,14.38,20260310,57,-16.6461,257.19,54045.11
LNG-US,2026-03-31,2026Q1,2026,20260507,20260506,Gabriel Moreen,Mizuho Securities USA,1802,16.03,20260223,72,-16.6461,257.19,54045.11
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Lloyd Byrne,Jefferies,512,15.772661,20260123,33,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Greg Wasikowski,Webber Research & Advisory,3412,13.36,20260223,2,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Gabriel Moreen,Mizuho Securities USA,1802,16.03,20260223,2,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Brandon Bingham,Scotiabank GBM,810,14.39,20260115,41,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Elvira Scotto,RBC Capital Markets,1269,15.02,20260127,29,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,James Carreker,U.S. Capital Advisors,1866,12.33,20260130,26,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Ameet Thakkar,BMO Capital Markets,181,11.82,20251209,78,10.6887,219.41,47224.66
LNG-US,2025-12-31,2025Q4,2025,20260226,20260225,Jason Gabelman,TD Cowen,917,13.0116,20260115,41,10.6887,219.41,47224.66
